;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,40%;13,42%;8,48%;12,01%;7,86%;3,81%;4,84%;3,26%;2,96%
Div;1.182887;3.24255;4.57542;4.170586;2.266266;1.477111;2.554235;1.514445;0.942135
P/L;7,90;4,75;4,66;3,32;4,19;8,36;9,23;9,64;8,58
PEG Ratio;-0,16;-;-;-;-;-;-;0,32;0,17
P/VP;0,69;0,77;0,91;0,62;0,58;0,95;1,53;1,45;1,04
EV/EBITDA;-;-;-;-;-;-;10,01;-;-
EV/EBIT;21,99;5,00;3,76;2,59;3,45;9,60;13,59;6,53;5,72
P/EBITDA;-;-;-;-;-;-;10,01;-;-
P/EBIT;21,99;5,00;3,76;2,59;3,45;9,60;13,59;6,53;5,72
VPA;31,78;31,34;59,06;55,58;49,82;40,74;34,51;32,10;30,55
P/Ativo;0,05;0,06;0,07;0,05;0,04;0,06;0,10;0,09;0,06
LPA;2,78;5,09;11,57;10,47;6,88;4,64;5,72;4,83;3,71
P/SR;0,41;0,51;0,58;0,42;0,66;1,13;1,23;1,11;0,62
P/Cap. Giro;2,21;1,85;2,84;1,51;1,58;0,66;-0,51;-0,62;-0,36
P/Ativo Circ. Liq.;-0,05;-0,06;-0,07;-0,05;-0,04;-0,07;-0,20;-0,20;-0,14
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,07;0,07;0,08;0,08;0,07;0,07;0,07;0,07;0,07
Passivos/Ativos;0,93;0,92;0,92;0,92;0,88;0,88;0,87;0,93;0,93
Liq. corrente;7,39;10,06;21,91;24,89;26,54;56,87;0,07;-;-
M. Bruta;32,84%;38,21%;33,43%;31,43%;47,38%;56,18%;27,50%;31,68%;21,31%
M. EBITDA;-%;-%;-%;-%;-%;-%;12,29%;-%;-%
M. EBIT;1,87%;10,13%;15,50%;16,26%;19,05%;11,73%;9,05%;16,98%;10,83%
M. Líquida;5,20%;10,67%;12,49%;12,68%;15,66%;13,47%;13,32%;11,50%;7,23%
ROE;8,73%;16,24%;19,60%;18,79%;13,82%;10,63%;15,22%;13,57%;10,92%
ROA;0,63%;1,22%;1,54%;1,49%;0,99%;0,75%;1,07%;0,99%;0,79%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,12;0,11;0,12;0,12;0,06;0,06;0,08;0,09;0,11
CAGR Receitas 5 anos;17,31%;17,31%;17,16%;9,97%;-6,50%;-11,56%;-2,23%;2,83%;9,32%
CAGR Lucros 5 anos;-0,60%;12,21%;19,12%;23,06%;22,92%;-1,13%;6,71%;5,78%;-1,12%
