;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;16,47%;13,85%;11,78%;11,01%;45,09%;3,14%;3,64%;6,09%;1,65%
Div;3.276818;2.291408;3.021925;3.271562;11.267524;2.003397;1.3942;1.929055;1.42822
P/L;6,93;5,47;5,32;3,13;1,22;15,11;-33,04;9,26;4,31
PEG Ratio;-0,19;-;-;-;-;-;-;-0,19;0,02
P/VP;0,86;0,77;1,29;1,56;1,31;1,97;1,39;1,11;1,14
EV/EBITDA;-;-;-;-;-;-;-;-;-
EV/EBIT;6,68;5,39;5,21;2,93;1,13;14,60;-31,25;8,50;3,67
P/EBITDA;-;-;-;-;-;-;-;-;-
P/EBIT;7,46;5,74;5,52;3,20;1,23;15,18;-32,06;8,94;3,85
VPA;23,21;21,58;19,93;19,02;19,09;32,34;27,47;28,62;25,19
P/Ativo;0,85;0,76;1,28;1,45;1,30;1,96;1,32;1,04;0,89
LPA;2,87;3,03;4,82;9,48;20,55;4,22;-1,16;3,42;6,66
P/SR;-;-;-;-;-;-;-;-;-
P/Cap. Giro;17,67;27,25;53,01;177,48;40,15;58,34;55,48;103,18;-14,64
P/Ativo Circ. Liq.;-0,90;-0,79;-1,32;-1,58;-1,35;-2,04;-1,39;-1,10;-1,05
Dív. líquida/PL;-0,06;-0,03;-0,03;-0,05;-0,04;-0,01;0,00;-0,03;0,00
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-0,51;-0,25;-0,13;-0,11;-0,04;-0,04;-0,05;-0,20;0,02
PL/Ativos;0,99;0,99;0,99;0,93;0,99;1,00;0,95;0,94;0,78
Passivos/Ativos;0,01;0,01;0,01;0,07;0,01;0,00;0,05;0,06;0,22
Liq. corrente;5,95;2,97;4,40;1,11;5,89;11,80;1,76;1,23;0,72
M. Bruta;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. EBITDA;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. EBIT;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. Líquida;-%;-%;-%;-%;-%;-%;-%;-%;-%
ROE;12,38%;14,05%;24,21%;49,86%;107,68%;13,03%;-4,22%;11,95%;26,44%
ROA;12,25%;13,85%;24,04%;46,24%;106,96%;12,99%;-3,99%;11,19%;20,56%
ROIC;11,41%;13,37%;23,34%;48,77%;106,86%;12,98%;-4,25%;12,06%;23,08%
Giro ativos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
CAGR Receitas 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;9,76%;9,87%;66,61%;-%;-%;-%;36,80%
