;2025;2024;2023;2022;2021;2020;2019;2018
D.Y;9,30%;14,84%;8,66%;11,51%;-%;-%;-%;-%
Div;1.86;1.95;1.32;1.38;;;;
P/L;12,16;7,12;10,32;8,56;10,94;-;-;-
PEG Ratio;-1,08;-;-;-;-;-;-;-
P/VP;2,59;1,71;1,95;1,57;1,98;-;-;-
EV/EBITDA;45,71;5,83;3,90;3,66;5,74;-;-;-
EV/EBIT;244,02;8,59;26,17;3,89;5,82;-;-;-
P/EBITDA;101,64;40,66;21,51;16,96;14,64;-;-;-
P/EBIT;542,61;59,90;144,50;18,05;14,84;-;-;-
VPA;7,71;7,66;7,82;7,66;7,33;-;-;-
P/Ativo;0,12;0,09;0,15;0,16;0,50;-;-;-
LPA;1,64;1,84;1,48;1,40;1,33;-;-;-
P/SR;6,59;3,78;6,49;5,01;6,70;-;-;-
P/Cap. Giro;3,15;2,12;2,18;1,75;1,94;-;-;-
P/Ativo Circ. Liq.;-14,71;-8,99;-18,24;-14,60;-39,69;-;-;-
Dív. líquida/PL;-1,43;-1,47;-1,60;-1,23;-1,20;-2,42;-1,70;-1,79
Dív. líquida/EBITDA;-55,93;-34,83;-17,62;-13,30;-8,90;-;-;-
Dív. líquida/EBIT;-298,59;-51,31;-118,33;-14,15;-9,02;-5,33;-5,06;-7,90
PL/Ativos;0,05;0,05;0,08;0,10;0,25;0,39;0,56;0,54
Passivos/Ativos;0,95;0,95;0,92;0,90;0,75;0,61;0,44;0,46
Liq. corrente;1,04;1,05;1,07;1,10;1,35;2,17;2,77;2,54
M. Bruta;100,00%;100,00%;100,00%;100,00%;94,47%;3,82%;5,55%;5,31%
M. EBITDA;6,48%;9,30%;30,17%;29,56%;45,75%;-%;-%;-%
M. EBIT;1,21%;6,31%;4,49%;27,79%;45,11%;10,88%;21,61%;10,77%
M. Líquida;54,18%;53,09%;62,87%;58,60%;61,19%;7,25%;16,01%;8,48%
ROE;21,33%;24,07%;18,89%;18,29%;18,07%;30,21%;24,90%;17,82%
ROA;1,02%;1,29%;1,44%;1,87%;4,55%;11,65%;13,99%;9,65%
ROIC;-0,32%;-0,18%;-0,83%;-0,20%;0,78%;29,93%;24,57%;17,84%
Giro ativos;0,02;0,02;0,02;0,03;0,07;1,61;0,87;1,14
CAGR Receitas 5 anos;-5,26%;-5,26%;-16,03%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;17,68%;20,41%;25,34%;-%;-%;-%;-%;-%
