;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;10,52%;9,75%;6,87%;9,09%;9,88%;4,51%;5,75%;6,07%;1,82%
Div;1.60296;0.99493;0.917637;0.881421;0.897915;0.65688;0.846987;1.162366;0.723661
P/L;4,91;5,73;5,39;4,71;3,64;9,61;6,98;9,99;5,57
PEG Ratio;0,08;-;-;-;-;-;-;-0,58;0,11
P/VP;0,56;0,40;0,55;0,42;0,43;0,71;1,14;1,25;0,87
EV/EBITDA;-;-;-;-;-;-;5,63;5,40;4,79
EV/EBIT;4,08;5,87;4,73;5,49;2,98;7,91;6,91;6,26;5,45
P/EBITDA;-;-;-;-;-;-;5,46;5,50;3,45
P/EBIT;3,88;5,48;4,64;5,22;2,67;7,60;6,70;6,37;3,93
VPA;27,14;25,47;24,11;23,26;22,22;20,40;19,05;17,79;17,19
P/Ativo;0,04;0,03;0,04;0,03;0,04;0,07;0,11;0,12;0,08
LPA;3,11;1,78;2,48;2,06;2,65;1,52;3,10;2,22;2,68
P/SR;0,30;0,25;0,37;0,30;0,53;0,81;1,10;1,07;0,65
P/Cap. Giro;12,51;-43,51;1,30;2,48;2,19;1,49;1,79;0,86;0,38
P/Ativo Circ. Liq.;-0,04;-0,03;-0,05;-0,04;-0,04;-0,07;-3,10;-0,25;-0,21
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,07;0,07;0,08;0,08;0,09;0,09;0,09;0,09;0,10
Passivos/Ativos;0,93;0,93;0,92;0,92;0,93;0,92;0,91;0,91;0,90
Liq. corrente;1,31;0,95;3,86;1,87;1,37;2,34;0,04;-;-
M. Bruta;29,79%;33,66%;31,00%;30,36%;55,25%;60,03%;56,18%;53,77%;49,24%
M. EBITDA;-%;-%;-%;-%;-%;-%;20,10%;19,52%;18,93%
M. EBIT;7,77%;4,63%;7,90%;5,84%;20,01%;10,61%;16,39%;16,84%;16,64%
M. Líquida;6,14%;4,43%;6,79%;6,47%;14,69%;8,40%;15,74%;10,74%;11,75%
ROE;11,45%;6,99%;10,27%;8,85%;11,94%;7,51%;16,27%;12,33%;14,88%
ROA;0,80%;0,49%;0,81%;0,74%;1,04%;0,68%;1,54%;1,16%;1,47%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,13;0,11;0,12;0,11;0,07;0,08;0,10;0,11;0,13
CAGR Receitas 5 anos;15,28%;15,28%;12,01%;6,91%;-6,73%;-5,25%;1,64%;6,29%;9,30%
CAGR Lucros 5 anos;0,02%;-10,53%;2,20%;-5,11%;8,29%;-6,76%;15,39%;3,93%;5,60%
