;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;8,16%;14,35%;9,92%;22,58%;6,95%;-%;-%;-%;-%
Div;0.44455;0.739147;0.776902;0.921119;0.468415;;;;
P/L;12,10;6,24;12,04;7,59;5,92;-;-;-;-
PEG Ratio;-0,33;-;-;-;-;-;-;-;-
P/VP;2,96;2,75;4,01;1,96;2,69;-;-;-;-
EV/EBITDA;-;-;-;-;-;-;-;-;-
EV/EBIT;4,86;4,67;6,85;5,06;3,32;-;-;-;-
P/EBITDA;-;-;-;-;-;-;-;-;-
P/EBIT;5,69;5,69;7,12;4,71;3,98;-;-;-;-
VPA;1,84;1,87;1,95;2,08;2,50;-;-;-;-
P/Ativo;0,82;0,78;1,45;0,89;1,40;-;-;-;-
LPA;0,45;0,83;0,65;0,54;1,14;-;-;-;-
P/SR;1,67;1,71;2,27;1,69;1,98;-;-;-;-
P/Cap. Giro;3,53;2,75;6,21;4,50;6,01;-;-;-;-
P/Ativo Circ. Liq.;-1,53;-1,52;-2,57;-1,45;-2,66;-;-;-;-
Dív. líquida/PL;-0,43;-0,49;-0,15;0,15;-0,44;-0,16;0,11;0,13;0,05
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-0,83;-1,02;-0,27;0,35;-0,66;-0,26;0,19;0,63;0,31
PL/Ativos;0,28;0,28;0,36;0,45;0,52;0,54;0,59;0,68;0,61
Passivos/Ativos;0,72;0,72;0,64;0,55;0,48;0,46;0,41;0,32;0,39
Liq. corrente;2,02;2,36;2,14;2,07;1,96;1,43;1,22;1,45;1,24
M. Bruta;47,64%;51,35%;47,89%;46,63%;57,94%;60,26%;61,90%;51,30%;46,63%
M. EBITDA;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. EBIT;29,29%;30,11%;31,97%;35,81%;49,74%;45,70%;46,29%;29,01%;26,45%
M. Líquida;13,79%;27,45%;18,90%;22,23%;33,46%;29,23%;31,99%;14,68%;15,94%
ROE;24,47%;44,09%;33,36%;25,89%;45,51%;38,02%;39,16%;10,27%;8,87%
ROA;6,80%;12,44%;12,02%;11,78%;23,60%;20,54%;23,08%;7,02%;5,38%
ROIC;19,37%;12,85%;6,10%;18,81%;35,46%;38,09%;34,81%;12,10%;7,91%
Giro ativos;0,49;0,45;0,64;0,53;0,71;0,70;0,72;0,48;0,34
CAGR Receitas 5 anos;7,57%;7,57%;21,15%;19,26%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-7,58%;4,32%;27,44%;27,46%;-%;-%;-%;-%;-%
