;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;18,70%;7,74%;2,10%;7,48%;5,43%;6,19%;5,87%;8,16%;-%
Div;4.82;2.06;0.47;1.17;0.69;0.81;0.88;0.612289;
P/L;9,68;7,23;11,72;12,35;13,00;17,76;22,90;-14,85;-6,03
PEG Ratio;0,27;-;-;-;-;-;-;0,32;-0,01
P/VP;3,01;2,29;1,99;1,82;1,47;1,64;1,83;0,90;0,60
EV/EBITDA;7,34;5,45;6,08;6,02;5,98;8,19;10,68;-;-
EV/EBIT;8,11;6,14;9,23;6,87;6,98;9,72;12,67;-41,82;-9,68
P/EBITDA;7,13;5,43;6,06;5,47;5,34;7,64;10,05;-;-
P/EBIT;7,88;6,11;9,19;6,25;6,23;9,07;11,92;-37,33;-6,57
VPA;4,70;11,62;11,26;8,60;8,67;7,99;8,19;8,36;9,48
P/Ativo;0,59;0,46;0,51;0,36;0,34;0,39;0,49;0,25;0,21
LPA;1,46;3,68;1,91;1,27;0,98;0,74;0,66;-0,51;-0,94
P/SR;1,82;1,38;1,65;1,08;1,07;1,34;1,58;0,99;1,15
P/Cap. Giro;1,76;1,51;1,53;1,26;0,81;0,96;1,27;0,77;0,53
P/Ativo Circ. Liq.;-1,08;-0,84;-0,97;-0,63;-0,68;-0,82;-0,99;-0,48;-0,48
Dív. líquida/PL;0,09;0,01;0,01;0,18;0,18;0,12;0,11;0,11;0,28
Dív. líquida/EBITDA;0,21;0,02;0,03;0,54;0,64;0,55;0,63;-;-
Dív. líquida/EBIT;0,23;0,02;0,04;0,62;0,74;0,65;0,74;-4,49;-3,11
PL/Ativos;0,20;0,20;0,26;0,20;0,23;0,24;0,27;0,28;0,35
Passivos/Ativos;0,78;0,78;0,72;0,77;0,74;0,74;0,71;0,70;0,61
Liq. corrente;3,93;3,03;3,44;3,02;5,70;4,66;4,52;2,95;3,35
M. Bruta;38,74%;36,39%;34,18%;33,93%;35,47%;34,82%;33,68%;27,17%;4,98%
M. EBITDA;25,51%;25,38%;27,23%;19,83%;20,10%;17,51%;15,70%;-%;-%
M. EBIT;23,09%;22,55%;17,95%;17,36%;17,22%;14,75%;13,24%;-2,64%;-17,54%
M. Líquida;18,79%;19,06%;14,08%;8,79%;8,25%;7,53%;6,89%;-6,65%;-19,12%
ROE;31,05%;31,67%;16,97%;14,73%;11,46%;9,22%;7,99%;-6,04%;-9,88%
ROA;6,12%;6,34%;4,38%;2,91%;2,58%;2,22%;2,16%;-1,67%;-3,47%
ROIC;15,67%;17,89%;9,34%;11,48%;9,97%;7,89%;7,14%;-2,23%;-5,95%
Giro ativos;0,33;0,33;0,31;0,33;0,31;0,29;0,31;0,25;0,18
CAGR Receitas 5 anos;18,09%;18,09%;15,10%;23,53%;5,52%;-0,89%;-4,50%;-7,73%;-12,29%
CAGR Lucros 5 anos;49,86%;44,74%;-%;-%;-%;-1,77%;-13,36%;-%;-%
