;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;10,53%;6,25%;5,89%;10,18%;1,72%;4,86%;6,74%;5,73%;6,11%
Div;0.729663;0.526243;2.74035;5.444347;0.839275;0.911537;1.285425;1.172399;1.250041
P/L;11,39;8,83;10,73;4,45;6,71;24,19;7,99;5,85;6,70
PEG Ratio;-0,71;-;-;-;-;-;-;0,41;0,02
P/VP;0,72;0,87;1,29;1,55;1,82;0,96;0,96;1,04;1,19
EV/EBITDA;5,16;5,60;9,88;3,42;4,75;5,72;8,65;-;-
EV/EBIT;33,22;16,54;13,29;3,78;5,44;8,22;13,83;5,39;5,35
P/EBITDA;5,65;5,69;10,05;3,68;4,70;4,21;6,16;-;-
P/EBIT;36,35;16,82;13,52;4,07;5,38;6,05;9,86;4,81;7,35
VPA;9,59;9,46;36,12;34,42;26,83;19,99;20,74;19,74;17,18
P/Ativo;0,58;0,66;1,00;1,16;1,27;0,60;0,64;0,68;0,97
LPA;0,61;0,93;4,33;12,03;7,28;0,79;2,50;3,50;3,06
P/SR;1,05;1,29;1,69;1,50;1,80;1,04;1,38;1,31;1,63
P/Cap. Giro;1,97;2,65;3,78;3,97;4,65;4,82;4,04;3,28;2,51
P/Ativo Circ. Liq.;-0,96;-1,09;-1,63;-1,99;-2,16;-0,83;-0,86;-0,98;-1,87
Dív. líquida/PL;-0,21;-0,13;-0,17;-0,17;-0,08;0,14;0,17;0,06;-0,30
Dív. líquida/EBITDA;-1,64;-0,84;-1,31;-0,41;-0,21;0,61;1,12;-;-
Dív. líquida/EBIT;-10,57;-2,48;-1,76;-0,46;-0,25;0,88;1,79;0,28;-1,82
PL/Ativos;0,80;0,76;0,78;0,75;0,70;0,63;0,67;0,66;0,82
Passivos/Ativos;0,20;0,24;0,22;0,25;0,30;0,37;0,33;0,34;0,18
Liq. corrente;3,76;2,68;3,17;3,35;2,95;1,83;2,71;3,12;5,25
M. Bruta;17,26%;21,07%;24,87%;46,29%;43,25%;27,37%;20,20%;34,95%;35,34%
M. EBITDA;18,53%;22,72%;16,78%;40,85%;38,35%;24,72%;22,41%;-%;-%
M. EBIT;2,88%;7,69%;12,47%;36,99%;33,52%;17,19%;14,01%;27,19%;22,19%
M. Líquida;9,19%;14,64%;15,71%;33,84%;26,90%;4,30%;17,29%;22,36%;24,34%
ROE;6,34%;9,81%;11,99%;34,95%;27,13%;3,95%;12,07%;17,71%;17,79%
ROA;5,08%;7,46%;9,31%;26,12%;18,93%;2,48%;8,05%;11,61%;14,54%
ROIC;0,46%;4,13%;4,68%;28,98%;26,74%;12,04%;6,23%;15,60%;13,05%
Giro ativos;0,55;0,51;0,59;0,77;0,70;0,58;0,47;0,52;0,60
CAGR Receitas 5 anos;11,82%;11,82%;12,01%;23,14%;16,87%;11,62%;9,09%;11,54%;9,40%
CAGR Lucros 5 anos;-0,58%;8,17%;4,38%;31,53%;55,97%;-16,63%;19,33%;33,26%;25,90%
