;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,44%;4,39%;14,64%;9,64%;20,39%;1,60%;1,62%;2,88%;0,35%
Div;0.4;0.45;1.59;1.25;2.32;0.18;0.12;0.11;0.02
P/L;11,36;6,73;4,38;3,58;2,44;14,02;21,54;8,54;-27,93
PEG Ratio;-0,31;-;-;-;-;-;-;-0,02;0,33
P/VP;0,62;0,52;0,67;0,81;0,84;1,05;0,91;0,73;0,67
EV/EBITDA;2,31;1,54;0,94;1,00;0,81;2,67;3,55;3,25;5,99
EV/EBIT;3,73;2,09;1,59;1,09;0,89;3,88;5,89;4,77;17,67
P/EBITDA;1,34;1,03;0,64;0,69;0,54;1,63;1,74;1,16;1,76
P/EBIT;2,16;1,39;1,08;0,76;0,59;2,36;2,88;1,70;5,20
VPA;14,62;19,75;16,23;15,92;13,56;10,76;10,15;9,50;8,66
P/Ativo;0,14;0,12;0,15;0,18;0,17;0,19;0,17;0,13;0,11
LPA;0,79;1,52;2,48;3,62;4,66;0,80;0,43;0,81;-0,21
P/SR;0,17;0,16;0,16;0,16;0,16;0,28;0,23;0,15;0,15
P/Cap. Giro;0,57;0,47;0,62;0,72;0,64;0,91;0,84;0,81;0,55
P/Ativo Circ. Liq.;-0,22;-0,19;-0,25;-0,32;-0,30;-0,31;-0,26;-0,20;-0,18
Dív. líquida/PL;0,45;0,26;0,11;0,38;0,44;0,72;0,97;1,31;1,63
Dív. líquida/EBITDA;0,98;0,52;0,30;0,32;0,28;1,12;1,85;2,07;4,30
Dív. líquida/EBIT;1,59;0,70;0,50;0,35;0,31;1,62;3,07;3,03;12,68
PL/Ativos;0,22;0,23;0,66;0,22;0,20;0,18;0,19;0,18;0,17
Passivos/Ativos;0,37;0,33;0,34;0,37;0,42;0,50;0,50;0,51;0,54
Liq. corrente;2,71;3,01;2,61;2,39;2,38;2,16;2,46;1,92;2,33
M. Bruta;11,68%;13,73%;16,44%;22,75%;26,57%;13,54%;10,60%;13,32%;9,76%
M. EBITDA;12,75%;15,13%;25,49%;23,55%;29,46%;17,19%;13,28%;12,79%;8,72%
M. EBIT;7,91%;11,15%;15,10%;21,46%;26,78%;11,84%;8,01%;8,71%;2,96%
M. Líquida;1,51%;2,30%;3,72%;4,54%;6,46%;1,99%;1,07%;1,73%;-0,55%
ROE;5,42%;7,71%;5,16%;22,75%;34,35%;7,46%;4,24%;8,55%;-2,40%
ROA;1,20%;1,78%;3,40%;5,01%;6,79%;1,35%;0,79%;1,56%;-0,40%
ROIC;6,15%;9,19%;11,05%;22,17%;28,18%;8,13%;6,28%;9,46%;1,96%
Giro ativos;0,80;0,77;0,92;1,10;1,05;0,68;0,73;0,90;0,73
CAGR Receitas 5 anos;11,07%;11,07%;8,35%;17,42%;15,78%;0,11%;-1,40%;2,98%;-0,57%
CAGR Lucros 5 anos;19,81%;29,44%;26,23%;-%;-%;-%;16,03%;9,61%;-%
