;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;12,97%;8,97%;4,36%;4,65%;4,76%;4,67%;8,76%;7,38%;0,86%
Div;4.731643;2.413265;1.25664;0.945213;0.909348;1.30356;2.80456;2.219;0.3245
P/L;9,15;6,42;8,54;7,35;6,99;14,49;11,58;7,89;10,70
PEG Ratio;0,75;-;-;-;-;-;-;1,07;1,48
P/VP;1,87;1,25;1,49;1,28;1,22;1,92;2,29;1,44;1,89
EV/EBITDA;7,36;5,23;6,03;5,54;4,22;32,56;9,73;-;-
EV/EBIT;8,44;5,94;7,75;6,26;4,65;55,77;10,84;6,99;8,63
P/EBITDA;7,09;4,88;5,54;5,17;4,03;30,56;9,02;-;-
P/EBIT;8,12;5,55;7,12;5,85;4,43;52,36;10,05;6,42;8,11
VPA;19,49;21,53;19,40;17,11;15,59;14,59;13,97;20,93;19,96
P/Ativo;0,14;0,09;0,11;0,09;0,09;0,14;0,19;0,13;0,17
LPA;3,97;4,19;3,38;2,98;2,73;1,93;2,77;3,81;3,52
P/SR;1,03;0,79;0,90;0,83;0,96;1,58;1,63;1,50;1,66
P/Cap. Giro;-1,78;7,30;-4,37;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,14;-0,09;-0,11;-0,09;-0,09;-0,14;-0,20;-0,13;-0,18
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,07;0,07;0,07;0,07;0,07;0,07;0,08;0,09;0,09
Passivos/Ativos;0,92;0,92;0,92;0,92;0,92;0,92;0,91;0,90;0,90
Liq. corrente;0,13;0,31;0,33;-;-;-;-;-;-
M. Bruta;34,81%;40,48%;39,76%;44,22%;57,23%;57,67%;60,65%;46,23%;47,63%
M. EBITDA;14,55%;16,10%;16,28%;16,02%;23,75%;5,16%;18,03%;-%;-%
M. EBIT;12,69%;14,18%;12,67%;14,17%;21,58%;3,01%;16,18%;23,31%;20,45%
M. Líquida;11,26%;12,25%;10,57%;11,28%;13,68%;10,87%;14,05%;18,97%;15,51%
ROE;20,37%;19,46%;17,41%;17,41%;17,51%;13,21%;19,80%;18,21%;17,18%
ROA;1,47%;1,44%;1,30%;1,26%;1,29%;0,94%;1,66%;1,60%;1,61%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,13;0,12;0,12;0,11;0,09;0,09;0,12;0,08;0,10
CAGR Receitas 5 anos;11,68%;11,68%;18,99%;11,61%;2,26%;6,04%;8,39%;6,73%;8,05%
CAGR Lucros 5 anos;10,06%;8,67%;5,86%;4,72%;4,35%;-5,99%;4,69%;8,68%;12,92%
