;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,32%;10,14%;8,10%;4,16%;7,06%;1,87%;2,80%;-%;-%
Div;0.342693;0.370866;0.451453;0.208703;0.39384;0.145872;0.199566;;
P/L;4,18;2,91;8,36;5,31;3,82;8,34;11,73;5,54;-40,61
PEG Ratio;0,04;-;-;-;-;-;-;-0,01;0,44
P/VP;0,86;0,46;0,79;0,70;0,86;1,43;1,25;0,45;0,43
EV/EBITDA;4,69;4,18;4,98;5,73;4,20;7,01;6,99;-;-
EV/EBIT;4,91;4,45;6,95;6,11;4,43;7,22;7,28;5,99;11,71
P/EBITDA;2,83;1,91;2,94;3,52;3,27;6,39;5,94;-;-
P/EBIT;2,97;2,03;4,11;3,76;3,44;6,58;6,19;3,08;4,84
VPA;9,23;7,97;7,08;7,20;6,51;5,45;5,69;4,23;4,04
P/Ativo;0,35;0,19;0,34;0,33;0,46;0,74;0,65;0,21;0,21
LPA;1,90;1,26;0,67;0,95;1,46;0,94;0,61;0,35;-0,04
P/SR;2,76;1,55;2,37;1,76;1,91;4,59;5,94;2,08;2,58
P/Cap. Giro;1,58;1,38;2,59;1,37;3,20;6,87;7,55;-43,79;-30,73
P/Ativo Circ. Liq.;-0,52;-0,27;-0,45;-0,48;-0,60;-0,99;-0,77;-0,24;-0,22
Dív. líquida/PL;0,56;0,55;0,55;0,45;0,25;0,14;0,22;0,43;0,62
Dív. líquida/EBITDA;1,86;2,27;2,04;2,21;0,94;0,63;1,05;-;-
Dív. líquida/EBIT;1,94;2,42;2,85;2,35;0,99;0,64;1,10;2,91;6,87
PL/Ativos;0,40;0,41;0,43;0,46;0,53;0,51;0,52;0,46;0,48
Passivos/Ativos;0,57;0,56;0,53;0,50;0,46;0,47;0,48;0,53;0,52
Liq. corrente;2,80;1,75;2,18;4,08;2,42;1,72;2,16;0,97;0,91
M. Bruta;61,76%;57,11%;59,13%;60,02%;69,44%;69,23%;48,75%;50,19%;41,37%
M. EBITDA;97,23%;81,08%;80,66%;50,00%;58,40%;71,82%;99,89%;-%;-%
M. EBIT;92,85%;76,11%;57,79%;46,89%;55,47%;69,73%;95,95%;67,65%;53,38%
M. Líquida;65,96%;53,14%;28,40%;33,17%;49,99%;54,99%;50,60%;37,54%;-6,37%
ROE;20,57%;15,78%;9,41%;13,53%;22,48%;17,17%;10,69%;8,18%;-1,07%
ROA;8,26%;6,43%;4,08%;6,22%;11,93%;8,84%;5,52%;3,79%;-0,51%
ROIC;12,72%;10,39%;5,32%;10,34%;16,85%;13,05%;10,91%;9,04%;3,51%
Giro ativos;0,13;0,12;0,14;0,19;0,24;0,16;0,11;0,10;0,08
CAGR Receitas 5 anos;20,35%;20,35%;26,82%;40,32%;39,13%;13,16%;1,62%;-6,26%;-16,91%
CAGR Lucros 5 anos;32,04%;21,53%;19,94%;-%;-%;42,81%;50,46%;-10,60%;-%
