;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;12,92%;9,14%;7,49%;10,81%;13,10%;-%;-%;-%;-%
Div;2.064745;0.684934;0.660373;0.51563;0.679883;;;;
P/L;7,27;4,36;7,60;8,28;6,08;21,09;-;-;-
PEG Ratio;0,19;-;-;-;-;-;-;-;-
P/VP;2,02;1,01;1,24;0,81;0,92;1,62;-;-;-
EV/EBITDA;-;-;6,44;-;-;-;-;-;-
EV/EBIT;6,33;3,46;7,27;6,56;3,49;9,34;-;-;-
P/EBITDA;-;-;7,08;-;-;-;-;-;-
P/EBIT;6,16;3,76;7,99;11,00;6,12;16,60;-;-;-
VPA;7,89;7,45;7,09;5,87;5,66;5,67;-;-;-
P/Ativo;0,78;0,43;0,79;0,49;0,62;1,16;-;-;-
LPA;2,20;1,72;1,16;0,58;0,85;0,44;-;-;-
P/SR;1,73;0,96;1,95;1,71;1,77;5,49;-;-;-
P/Cap. Giro;1,40;0,71;1,27;0,80;1,38;1,78;-;-;-
P/Ativo Circ. Liq.;-3,49;-1,82;-3,66;-2,31;-1,77;-6,68;-;-;-
Dív. líquida/PL;0,05;-0,08;-0,11;-0,33;-0,39;-0,71;-0,10;-0,46;-0,81
Dív. líquida/EBITDA;-;-;-0,64;-;-;-;-;-;-
Dív. líquida/EBIT;0,16;-0,30;-0,72;-4,44;-2,63;-7,26;-0,19;-0,90;1,33
PL/Ativos;0,38;0,43;0,64;0,61;0,67;0,72;0,28;0,45;0,17
Passivos/Ativos;0,55;0,50;0,36;0,35;0,29;0,23;0,68;0,52;0,81
Liq. corrente;3,52;4,93;4,93;4,53;3,17;4,77;2,58;1,82;1,36
M. Bruta;35,50%;33,76%;33,14%;33,55%;41,64%;41,67%;35,76%;31,32%;32,23%
M. EBITDA;-%;-%;27,48%;-%;-%;-%;-%;-%;-%
M. EBIT;28,05%;25,62%;24,37%;15,58%;28,98%;33,06%;27,26%;28,65%;-43,04%
M. Líquida;23,77%;22,11%;25,62%;20,69%;29,17%;26,01%;22,83%;23,51%;-40,30%
ROE;27,83%;23,05%;16,36%;9,81%;15,09%;7,68%;42,88%;41,85%;-57,03%
ROA;10,69%;9,91%;10,43%;5,96%;10,15%;5,52%;12,09%;18,75%;-9,78%
ROIC;16,77%;14,80%;10,04%;4,86%;12,75%;8,20%;28,45%;44,48%;-56,27%
Giro ativos;0,45;0,45;0,41;0,29;0,35;0,21;0,53;0,80;0,24
CAGR Receitas 5 anos;51,55%;51,55%;60,53%;122,69%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;57,55%;50,58%;63,31%;-%;-%;-%;-%;-%;-%
