;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;7,98%;8,60%;27,96%;14,60%;4,79%;0,44%;7,88%;7,14%;2,39%
Div;2.721935;2.362316;9.881483;4.492736;1.473986;0.092913;2.157097;1.235363;0.569624
P/L;7,93;6,87;6,40;6,98;6,97;21,61;14,27;11,05;12,91
PEG Ratio;-29,23;-;-;-;-;-;-;0,48;0,01
P/VP;5,27;4,84;5,25;2,49;2,30;2,00;2,83;2,38;2,26
EV/EBITDA;4,36;3,67;3,12;4,88;4,69;8,94;8,95;-;-
EV/EBIT;6,29;5,09;6,53;5,53;5,35;13,69;11,42;9,07;9,98
P/EBITDA;3,64;3,08;2,80;4,83;4,80;9,07;8,38;-;-
P/EBIT;5,26;4,28;5,87;5,48;5,47;13,90;10,70;8,55;9,96
VPA;6,47;5,67;6,73;12,37;13,36;10,51;10,16;10,57;10,56
P/Ativo;1,17;1,04;1,71;1,25;1,34;0,96;1,59;1,39;1,38
LPA;4,30;3,99;5,52;4,41;4,42;0,97;2,02;2,27;1,85
P/SR;0,86;0,82;1,10;0,93;1,09;1,12;1,46;1,24;1,35
P/Cap. Giro;7,70;6,24;7,80;4,48;5,22;4,79;7,25;5,92;4,82
P/Ativo Circ. Liq.;-3,25;-2,61;-4,25;-3,19;-2,95;-2,21;-3,00;-2,66;-2,63
Dív. líquida/PL;1,04;0,92;0,59;0,02;-0,05;-0,03;0,19;0,14;0,01
Dív. líquida/EBITDA;0,72;0,59;0,32;0,04;-0,11;-0,13;0,57;-;-
Dív. líquida/EBIT;1,04;0,82;0,66;0,05;-0,12;-0,21;0,72;0,51;0,02
PL/Ativos;0,22;0,21;0,33;0,51;0,58;0,48;0,56;0,59;0,61
Passivos/Ativos;0,78;0,79;0,67;0,50;0,42;0,52;0,44;0,42;0,39
Liq. corrente;1,31;1,38;1,58;1,85;1,90;1,55;1,87;1,97;2,49
M. Bruta;26,66%;28,50%;29,31%;26,83%;27,50%;26,09%;25,35%;26,62%;27,76%
M. EBITDA;23,54%;26,50%;39,39%;19,34%;22,77%;12,34%;17,45%;-%;-%
M. EBIT;16,29%;19,09%;18,81%;17,07%;19,99%;8,06%;13,67%;14,54%;13,58%
M. Líquida;10,80%;11,88%;17,25%;13,38%;15,68%;5,18%;10,25%;11,25%;10,48%
ROE;66,51%;70,45%;81,98%;35,62%;33,06%;9,24%;19,87%;21,50%;17,51%
ROA;14,81%;15,07%;26,71%;18,04%;19,27%;4,45%;11,13%;12,59%;10,66%
ROIC;22,93%;31,49%;7,42%;27,97%;29,02%;9,37%;17,32%;19,13%;17,06%
Giro ativos;1,37;1,27;1,55;1,35;1,23;0,86;1,09;1,12;1,02
CAGR Receitas 5 anos;12,53%;12,53%;10,86%;13,28%;11,02%;-0,25%;1,60%;1,60%;-0,24%
CAGR Lucros 5 anos;17,63%;15,89%;20,73%;18,96%;87,20%;-9,13%;4,48%;7,68%;5,78%
