;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;8,59%;13,32%;3,15%;3,47%;3,74%;3,48%;2,14%;2,04%;3,30%
Div;0.962096;1.446569;0.366469;0.313235;0.471816;0.506194;0.279992;0.280604;0.525804
P/L;10,64;11,13;12,55;14,03;17,60;21,41;31,48;25,65;16,81
PEG Ratio;1,62;-;-;-;-;-;-;-0,59;0,13
P/VP;4,74;4,89;4,63;4,55;6,00;6,43;8,06;7,11;9,16
EV/EBITDA;5,12;5,65;3,08;9,69;11,38;13,12;20,93;-;-
EV/EBIT;7,12;8,19;-;10,22;12,53;13,58;21,79;17,88;13,92
P/EBITDA;5,70;6,02;3,27;10,15;11,97;14,50;22,28;-;-
P/EBIT;7,94;8,73;-;10,70;13,18;15,01;23,20;19,15;14,68
VPA;2,36;2,22;2,51;1,98;2,10;2,26;2,09;1,93;1,74
P/Ativo;2,72;2,83;2,97;2,74;3,46;4,02;5,07;4,43;6,08
LPA;1,05;0,98;0,93;0,64;0,72;0,68;0,54;0,54;0,95
P/SR;2,55;2,63;3,03;2,77;3,63;4,38;4,95;4,59;5,88
P/Cap. Giro;-89,83;-21,85;-48,95;-17,01;-754,46;17,39;28,14;39,45;42,20
P/Ativo Circ. Liq.;-4,10;-3,68;-3,90;-3,32;-4,95;-8,30;-9,43;-7,73;-11,07
Dív. líquida/PL;-0,49;-0,30;-0,27;-0,20;-0,30;-0,61;-0,49;-0,47;-0,47
Dív. líquida/EBITDA;-0,59;-0,38;-0,19;-0,46;-0,59;-1,38;-1,35;-;-
Dív. líquida/EBIT;-0,82;-0,54;-;-0,48;-0,65;-1,43;-1,41;-1,26;-0,76
PL/Ativos;0,57;0,58;0,64;0,56;0,58;0,63;0,63;0,62;0,66
Passivos/Ativos;0,43;0,42;0,36;0,37;0,42;0,37;0,37;0,37;0,33
Liq. corrente;0,92;0,64;0,80;0,52;0,98;1,81;1,64;1,36;1,47
M. Bruta;36,85%;34,33%;30,90%;27,02%;60,30%;59,60%;55,20%;55,79%;72,51%
M. EBITDA;44,76%;43,69%;92,71%;27,28%;30,35%;30,19%;22,24%;-%;-%
M. EBIT;32,16%;30,13%;0,00%;25,86%;27,57%;29,17%;21,36%;23,97%;40,07%
M. Líquida;23,99%;23,64%;24,14%;19,73%;20,64%;20,46%;15,74%;17,89%;34,99%
ROE;44,52%;43,92%;36,87%;32,44%;34,09%;30,04%;25,62%;27,72%;54,47%
ROA;25,55%;25,41%;23,63%;18,11%;19,67%;18,80%;16,10%;17,29%;36,19%
ROIC;24,96%;20,27%;-%;29,10%;30,51%;29,39%;23,77%;25,18%;35,97%
Giro ativos;1,06;1,07;0,98;0,92;0,95;0,92;1,02;0,97;1,03
CAGR Receitas 5 anos;4,75%;4,75%;5,88%;5,23%;6,18%;7,15%;9,37%;8,28%;8,51%
CAGR Lucros 5 anos;15,07%;13,62%;12,42%;-6,17%;11,98%;10,33%;7,90%;8,65%;28,14%
