;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;8,38%;9,36%;4,70%;-%;-%;-%;-%;-%;-%
Div;0.511885;0.295801;0.185962;;;;;;
P/L;20,87;17,83;9.796,58;7,37;25,23;41,68;-;-;-
PEG Ratio;1,20;-;-;-;-;-;-;-;-
P/VP;1,42;0,68;0,81;0,83;1,99;2,06;-;-;-
EV/EBITDA;3,64;2,25;2,02;3,29;7,36;7,46;-;-;-
EV/EBIT;7,37;5,41;8,07;5,26;12,80;13,24;-;-;-
P/EBITDA;2,59;1,33;1,30;1,91;6,38;7,01;-;-;-
P/EBIT;5,24;3,20;5,19;3,05;11,09;12,44;-;-;-
VPA;4,30;4,67;4,90;5,26;4,71;4,37;3,42;3,44;3,14
P/Ativo;0,44;0,20;0,24;0,23;0,63;0,70;-;-;-
LPA;0,29;0,18;0,00;0,59;0,37;0,22;-0,02;0,31;0,27
P/SR;0,28;0,15;0,19;0,21;0,55;0,58;-;-;-
P/Cap. Giro;2,17;1,49;1,71;1,63;3,14;3,18;-;-;-
P/Ativo Circ. Liq.;-0,98;-0,42;-0,48;-0,43;-1,36;-1,54;-;-;-
Dív. líquida/PL;0,58;0,47;0,45;0,60;0,31;0,13;0,79;0,81;0,73
Dív. líquida/EBITDA;1,05;0,92;0,72;1,38;0,98;0,45;1,74;2,92;2,69
Dív. líquida/EBIT;2,13;2,21;2,88;2,21;1,71;0,80;3,77;4,68;4,05
PL/Ativos;0,31;0,30;0,30;0,27;0,32;0,34;0,21;0,31;0,32
Passivos/Ativos;0,69;0,70;0,70;0,73;0,68;0,66;0,79;0,69;0,68
Liq. corrente;1,57;1,36;1,39;1,41;1,60;1,67;1,30;1,19;1,43
M. Bruta;32,00%;31,85%;31,65%;32,11%;32,15%;30,92%;31,42%;33,27%;31,29%
M. EBITDA;10,93%;10,90%;14,72%;11,09%;8,64%;8,33%;7,29%;4,58%;4,28%
M. EBIT;5,40%;4,54%;3,69%;6,93%;4,97%;4,69%;3,36%;2,86%;2,85%
M. Líquida;1,36%;0,82%;0,00%;2,87%;2,18%;1,40%;-0,11%;1,49%;1,37%
ROE;6,78%;3,80%;0,01%;11,29%;7,87%;4,95%;-0,68%;9,02%;8,67%
ROA;2,09%;1,15%;0,00%;3,07%;2,50%;1,67%;-0,14%;2,75%;2,80%
ROIC;14,33%;9,15%;-10,73%;15,40%;10,80%;10,44%;9,82%;6,74%;8,95%
Giro ativos;1,54;1,41;1,25;1,07;1,15;1,19;1,34;1,85;2,05
CAGR Receitas 5 anos;14,51%;14,51%;12,40%;9,03%;6,32%;8,17%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-70,19%;26,45%;31,57%;25,42%;-%;-%;-%
