;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;8,45%;7,72%;7,81%;7,94%;5,13%;1,28%;0,57%;-%;1,24%
Div;0.733512;0.526684;0.853335;0.639344;0.353992;0.068869;0.0228;;0.0247
P/L;5,13;5,37;7,02;5,24;6,21;14,92;-8,38;163,34;-3,07
PEG Ratio;0,02;-;-;-;-;-;-;-1,59;0,00
P/VP;1,40;1,20;2,10;1,76;1,85;1,76;1,98;1,59;0,97
EV/EBITDA;4,17;-;-;-;-;6,70;6,32;6,34;10,04
EV/EBIT;7,17;-;-;-;-;9,82;6,82;10,05;177,43
P/EBITDA;2,71;2,80;2,00;2,90;3,35;5,70;3,01;2,63;3,27
P/EBIT;4,66;5,14;4,88;3,42;4,06;8,36;3,25;4,17;57,85
VPA;6,22;5,70;5,19;4,57;3,73;3,06;2,02;1,85;2,04
P/Ativo;0,53;0,45;0,78;0,56;0,75;0,76;0,42;0,32;0,22
LPA;1,69;1,27;1,56;1,54;1,11;0,36;-0,48;0,02;-0,65
P/SR;1,18;1,01;1,69;1,18;1,10;1,34;0,74;0,53;0,39
P/Cap. Giro;2,44;2,22;3,23;2,14;2,88;2,80;9,09;-7,51;7,59
P/Ativo Circ. Liq.;-0,79;-0,68;-1,15;-0,99;-1,26;-1,33;-0,62;-0,43;-0,29
Dív. líquida/PL;0,75;0,79;0,80;0,66;0,40;0,31;2,16;2,24;2,01
Dív. líquida/EBITDA;1,46;1,85;0,76;1,09;0,73;1,00;3,29;3,71;6,78
Dív. líquida/EBIT;2,51;3,40;1,86;1,28;0,89;1,46;3,55;5,88;119,69
PL/Ativos;0,38;0,38;0,37;0,32;0,40;0,43;0,21;0,20;0,23
Passivos/Ativos;0,62;0,62;0,63;0,68;0,60;0,57;0,79;0,80;0,77
Liq. corrente;2,85;2,49;3,75;2,61;2,78;2,78;1,17;0,86;1,14
M. Bruta;41,53%;38,43%;43,07%;47,91%;39,36%;31,60%;29,86%;28,21%;26,29%
M. EBITDA;43,55%;35,88%;84,51%;40,49%;32,90%;23,58%;24,62%;20,01%;11,79%
M. EBIT;25,36%;19,54%;34,59%;34,38%;27,14%;16,08%;22,82%;12,63%;0,67%
M. Líquida;23,03%;18,71%;24,05%;22,42%;17,77%;9,01%;-8,86%;0,32%;-12,59%
ROE;27,22%;22,28%;29,96%;33,62%;29,80%;11,80%;-23,65%;0,97%;-31,75%
ROA;10,32%;8,41%;11,06%;10,76%;12,06%;5,11%;-5,04%;0,20%;-7,20%
ROIC;12,02%;4,02%;2,23%;15,07%;17,89%;10,79%;12,70%;9,28%;-0,17%
Giro ativos;0,45;0,45;0,46;0,48;0,68;0,57;0,57;0,61;0,57
CAGR Receitas 5 anos;12,61%;12,61%;11,31%;14,44%;15,63%;6,30%;4,01%;9,07%;12,19%
CAGR Lucros 5 anos;-%;-%;163,63%;-%;-%;184,81%;-%;-46,30%;-%
