;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;11,98%;9,47%;6,04%;5,79%;5,03%;1,26%;4,17%;4,16%;2,33%
Div;4.43;2.71;1.69;1.121693;0.833385;0.340186;1.57071;1.145009;0.223695
P/L;8,85;7,00;10,29;8,03;9,54;24,18;12,81;16,77;12,60
PEG Ratio;0,52;-;-;-;-;-;-;3,88;0,02
P/VP;2,48;2,05;2,24;1,67;1,52;2,85;4,32;3,75;2,91
EV/EBITDA;5,15;3,84;4,29;5,85;7,73;14,38;9,82;10,35;10,10
EV/EBIT;6,30;4,95;7,98;6,18;8,50;16,70;10,86;12,33;12,71
P/EBITDA;5,32;3,98;4,43;6,01;7,36;14,43;9,26;9,93;9,55
P/EBIT;6,51;5,13;8,24;6,36;8,10;16,76;10,24;11,83;12,03
VPA;14,91;13,96;12,65;11,61;10,31;9,46;8,71;7,34;6,80
P/Ativo;1,75;1,42;1,56;1,15;0,99;1,73;2,52;2,24;1,56
LPA;4,18;4,09;2,75;2,41;1,64;1,12;2,94;1,64;1,57
P/SR;1,09;0,90;1,18;0,93;1,02;1,76;1,84;1,45;1,21
P/Cap. Giro;5,49;4,20;4,50;4,10;3,59;5,71;13,78;10,88;7,20
P/Ativo Circ. Liq.;-3,64;-3,06;-3,18;-2,29;-1,92;-3,50;-4,63;-3,85;-2,82
Dív. líquida/PL;-0,08;-0,07;-0,07;-0,05;0,08;-0,01;0,26;0,16;0,17
Dív. líquida/EBITDA;-0,17;-0,14;-0,14;-0,16;0,37;-0,05;0,56;0,42;0,54
Dív. líquida/EBIT;-0,21;-0,17;-0,27;-0,17;0,40;-0,06;0,62;0,50;0,68
PL/Ativos;0,71;0,69;0,70;0,69;0,65;0,61;0,58;0,60;0,54
Passivos/Ativos;0,29;0,31;0,30;0,31;0,35;0,39;0,42;0,40;0,46
Liq. corrente;2,61;2,71;3,09;2,30;2,31;2,52;1,67;1,98;1,94
M. Bruta;20,96%;21,58%;19,69%;20,04%;18,66%;19,78%;21,29%;20,58%;21,58%
M. EBITDA;20,48%;22,74%;26,62%;15,52%;13,92%;12,19%;19,92%;14,57%;12,63%
M. EBIT;16,75%;17,64%;14,31%;14,68%;12,65%;10,49%;18,01%;12,24%;10,03%
M. Líquida;12,32%;12,91%;11,46%;11,62%;10,73%;7,28%;14,40%;8,63%;9,57%
ROE;28,02%;29,28%;21,72%;20,79%;15,88%;11,79%;33,73%;22,35%;23,12%
ROA;19,81%;20,30%;15,12%;14,34%;10,35%;7,17%;19,68%;13,37%;12,38%
ROIC;17,28%;15,19%;4,34%;16,58%;12,59%;9,39%;21,59%;18,21%;14,14%
Giro ativos;1,61;1,57;1,32;1,23;0,96;0,99;1,37;1,55;1,29
CAGR Receitas 5 anos;9,18%;9,18%;4,78%;4,80%;1,74%;-2,05%;-1,32%;-4,49%;-7,88%
CAGR Lucros 5 anos;7,29%;6,82%;10,88%;8,95%;50,88%;49,29%;-%;16,96%;4,47%
