;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;21,54%;8,84%;4,54%;15,86%;14,96%;2,39%;0,85%;7,35%;31,81%
Div;12.475732;4.222453;3.480078;13.954008;15.444588;1.220858;0.301032;2.709792;5.042104
P/L;8,34;9,73;10,10;6,89;4,91;13,15;17,94;5,83;4,38
PEG Ratio;0,10;-;-;-;-;-;-;0,08;0,56
P/VP;2,65;1,94;3,28;3,95;4,26;2,80;2,11;2,29;1,34
EV/EBITDA;5,00;4,95;3,21;3,39;3,03;4,60;5,65;3,24;3,10
EV/EBIT;7,44;9,73;7,81;3,74;3,26;5,82;8,25;3,93;4,15
P/EBITDA;4,02;4,41;3,33;3,48;3,08;5,11;5,36;3,06;2,30
P/EBIT;5,98;8,65;8,12;3,84;3,31;6,46;7,83;3,71;3,07
VPA;21,83;24,66;23,32;22,31;24,24;18,27;16,90;16,13;11,86
P/Ativo;0,86;0,76;1,24;1,53;1,56;1,07;0,84;0,76;0,38
LPA;6,95;4,91;7,58;12,76;21,02;3,89;1,99;6,32;3,62
P/SR;1,18;1,00;1,62;1,26;1,55;1,25;1,02;0,89;0,44
P/Cap. Giro;3,12;2,82;4,54;8,26;9,32;7,32;7,36;6,55;-31,56
P/Ativo Circ. Liq.;-1,43;-1,29;-2,37;-2,70;-2,86;-1,84;-1,24;-1,26;-0,56
Dív. líquida/PL;0,65;0,26;-0,03;-0,01;-0,06;-0,23;0,11;0,12;0,44
Dív. líquida/EBITDA;0,98;0,60;-0,03;-0,01;-0,05;-0,42;0,28;0,17;0,76
Dív. líquida/EBIT;1,46;1,17;-0,08;-0,01;-0,05;-0,53;0,41;0,20;1,02
PL/Ativos;0,32;0,39;0,38;0,39;0,37;0,38;0,40;0,33;0,29
Passivos/Ativos;0,67;0,60;0,62;0,61;0,63;0,61;0,60;0,64;0,69
Liq. corrente;3,18;2,88;2,36;1,74;1,58;1,54;1,54;1,42;0,96
M. Bruta;30,14%;27,11%;34,66%;44,77%;44,56%;34,50%;26,79%;36,32%;29,97%
M. EBITDA;29,45%;22,59%;48,73%;36,14%;50,30%;24,47%;19,04%;29,03%;19,07%
M. EBIT;19,78%;11,51%;20,00%;32,74%;46,82%;19,35%;13,04%;23,94%;14,26%
M. Líquida;14,19%;10,23%;16,08%;18,24%;31,56%;9,50%;5,69%;15,22%;10,02%
ROE;31,82%;19,91%;32,51%;57,22%;86,72%;21,31%;11,78%;39,19%;30,54%
ROA;10,30%;7,81%;12,31%;22,12%;31,77%;8,16%;4,67%;13,06%;8,73%
ROIC;12,12%;4,96%;-1,59%;44,37%;50,39%;21,10%;14,50%;28,35%;20,91%
Giro ativos;0,73;0,76;0,77;1,21;1,01;0,86;0,82;0,86;0,87
CAGR Receitas 5 anos;12,24%;12,24%;7,14%;19,21%;47,87%;35,12%;31,46%;79,28%;53,41%
CAGR Lucros 5 anos;35,28%;26,21%;8,32%;34,37%;47,86%;33,16%;21,48%;7,96%;50,44%
