;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;14,40%;7,31%;5,95%;3,16%;-%;-%;4,12%;5,41%;1,98%
Div;3.081382;1.777419;1.22003;0.290354;;;0.7;0.973529;0.367446
P/L;7,31;5,22;7,87;31,47;11,83;-3,30;22,28;12,82;47,69
PEG Ratio;-0,23;-;-;-;-;-;-;0,05;-0,69
P/VP;1,02;1,11;1,29;0,62;0,56;0,63;1,10;1,20;1,35
EV/EBITDA;4,95;3,38;2,94;4,18;6,17;-91,52;8,54;-;-
EV/EBIT;6,10;4,12;4,98;4,14;9,29;-13,10;14,08;11,80;19,34
P/EBITDA;4,79;3,41;2,53;2,57;2,84;-42,71;5,63;-;-
P/EBIT;5,90;4,16;4,28;2,55;4,27;-6,12;9,28;8,40;14,09
VPA;21,04;21,93;15,87;14,74;15,34;14,92;15,43;15,05;13,75
P/Ativo;0,61;0,68;0,66;0,29;0,23;0,23;0,48;0,57;0,64
LPA;2,93;4,65;2,61;0,29;0,73;-2,84;0,76;1,40;0,39
P/SR;0,83;0,92;0,74;0,41;0,44;0,34;0,60;0,74;0,84
P/Cap. Giro;1,77;1,96;2,34;1,26;1,49;3,13;2,69;2,58;3,21
P/Ativo Circ. Liq.;-1,23;-1,43;-1,31;-0,57;-0,40;-0,43;-0,84;-1,00;-1,10
Dív. líquida/PL;0,03;-0,01;0,21;0,39;0,66;0,72;0,57;0,48;0,50
Dív. líquida/EBITDA;0,16;-0,03;0,41;1,61;3,34;-48,81;2,92;-;-
Dív. líquida/EBIT;0,20;-0,03;0,69;1,59;5,02;-6,99;4,81;3,40;5,25
PL/Ativos;0,60;0,61;0,51;0,46;0,41;0,37;0,44;0,48;0,48
Passivos/Ativos;0,40;0,38;0,48;0,52;0,58;0,61;0,56;0,52;0,52
Liq. corrente;3,14;2,88;2,30;1,87;1,55;1,20;1,71;2,07;1,92
M. Bruta;33,24%;35,79%;36,48%;35,63%;30,40%;17,68%;21,97%;24,40%;22,45%
M. EBITDA;17,24%;26,86%;29,43%;15,97%;15,40%;-0,81%;10,71%;-%;-%
M. EBIT;14,00%;22,02%;17,37%;16,10%;10,23%;-5,64%;6,49%;8,80%;5,95%
M. Líquida;11,30%;17,54%;9,46%;1,30%;3,69%;-10,44%;2,70%;5,77%;1,76%
ROE;13,91%;21,22%;16,43%;1,98%;4,74%;-19,05%;4,94%;9,33%;2,83%
ROA;8,33%;12,94%;8,38%;0,92%;1,93%;-7,06%;2,16%;4,45%;1,34%
ROIC;11,77%;16,92%;12,44%;13,27%;6,05%;-4,81%;5,54%;6,58%;3,18%
Giro ativos;0,74;0,74;0,89;0,71;0,52;0,68;0,80;0,77;0,76
CAGR Receitas 5 anos;1,58%;1,58%;5,40%;3,60%;-1,28%;3,44%;9,15%;8,10%;11,92%
CAGR Lucros 5 anos;34,57%;47,65%;16,35%;-2,43%;-7,53%;-%;-13,20%;1,75%;-23,08%
