;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;27,20%;20,28%;3,90%;2,96%;3,83%;-%;-%;-%;-%
Div;5.45429;3.15;0.934523;0.37;0.35;;;;
P/L;5,40;7,48;10,01;6,53;7,16;62,16;15,80;11,47;35,69
PEG Ratio;0,05;-;-;-;-;-;-;-0,59;0,08
P/VP;2,54;2,02;2,48;1,79;1,66;1,75;2,08;1,85;8,60
EV/EBITDA;7,96;6,26;6,41;6,25;6,25;18,14;10,08;7,96;22,71
EV/EBIT;9,30;7,40;9,27;7,41;7,65;56,09;15,81;10,87;27,98
P/EBITDA;7,44;6,22;6,31;5,83;5,63;17,49;10,16;8,00;22,74
P/EBIT;8,70;7,35;9,13;6,91;6,90;54,10;15,95;10,92;28,01
VPA;7,91;7,68;8,11;6,96;5,52;4,58;4,42;3,83;1,06
P/Ativo;1,50;1,43;1,78;1,22;1,13;1,17;1,67;1,32;6,02
LPA;3,71;2,07;2,01;1,91;1,28;0,13;0,58;0,62;0,26
P/SR;1,84;1,40;1,76;1,21;1,20;1,67;1,66;1,40;5,34
P/Cap. Giro;3,69;2,92;3,42;3,00;2,79;2,44;3,51;3,32;16,80
P/Ativo Circ. Liq.;-4,34;-4,93;-6,08;-3,31;-3,23;-3,45;-4,03;-3,31;-14,90
Dív. líquida/PL;0,18;0,01;0,04;0,13;0,18;0,06;-0,02;-0,01;-0,01
Dív. líquida/EBITDA;0,52;0,04;0,10;0,42;0,62;0,64;-0,09;-0,04;-0,03
Dív. líquida/EBIT;0,60;0,05;0,14;0,50;0,76;1,99;-0,13;-0,05;-0,03
PL/Ativos;0,59;0,70;0,72;0,68;0,68;0,67;0,80;0,71;0,70
Passivos/Ativos;0,41;0,29;0,28;0,32;0,32;0,33;0,20;0,29;0,30
Liq. corrente;2,65;3,18;3,83;2,80;2,63;3,64;5,32;2,91;2,51
M. Bruta;41,07%;41,93%;41,74%;36,95%;35,32%;29,53%;34,69%;35,92%;38,19%
M. EBITDA;24,66%;22,50%;27,85%;20,73%;21,36%;9,52%;16,36%;17,46%;23,48%
M. EBIT;21,09%;19,04%;19,25%;17,48%;17,44%;3,08%;10,42%;12,79%;19,06%
M. Líquida;34,01%;18,69%;17,56%;18,52%;16,81%;2,68%;10,52%;12,18%;14,96%
ROE;46,97%;27,01%;24,81%;27,46%;23,14%;2,81%;13,16%;16,16%;24,09%
ROA;27,87%;19,04%;17,83%;18,64%;15,73%;1,88%;10,56%;11,46%;16,86%
ROIC;11,49%;22,39%;18,70%;20,13%;17,54%;2,20%;12,20%;15,81%;27,13%
Giro ativos;0,82;1,02;1,02;1,01;0,94;0,70;1,00;0,94;1,13
CAGR Receitas 5 anos;17,52%;17,52%;17,67%;14,97%;10,48%;4,07%;5,57%;-1,20%;-3,16%
CAGR Lucros 5 anos;52,39%;31,84%;26,61%;19,99%;54,47%;-%;-%;-%;-%
