Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
ABCB4;Financeiro e Outros;Intermediários Financeiros;Bancos
AURE3;Utilidade Pública;Energia Elétrica;Energia Elétrica
BRSR6;Financeiro e Outros;Intermediários Financeiros;Bancos
BBSE3;Financeiro e Outros;Previdência e Seguros;Seguradoras
BRBI11;Financeiro e Outros;Intermediários Financeiros;Bancos
BBDC3;Financeiro e Outros;Intermediários Financeiros;Bancos
BBDC4;Financeiro e Outros;Intermediários Financeiros;Bancos
BRAP4;Materiais Básicos;Mineração;Minerais Metálicos
BBAS3;Financeiro e Outros;Intermediários Financeiros;Bancos
AGRO3;Consumo não Cíclico;Agropecuária;Agricultura
CXSE3;Financeiro e Outros;Previdência e Seguros;Corretoras de Seguros
CMIG4;Utilidade Pública;Energia Elétrica;Energia Elétrica
CSMG3;Utilidade Pública;Água e Saneamento;Água e Saneamento
CPFE3;Utilidade Pública;Energia Elétrica;Energia Elétrica
CMIN3;Materiais Básicos;Mineração;Minerais Metálicos
CURY3;Consumo Cíclico;Construção Civil;Incorporações
DIRR3;Consumo Cíclico;Construção Civil;Incorporações
EGIE3;Utilidade Pública;Energia Elétrica;Energia Elétrica
EVEN3;Consumo Cíclico;Construção Civil;Incorporações
FESA4;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
FLRY3;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
GOAU4;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
GRND3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados
RANI3;Materiais Básicos;Embalagens;Embalagens
ISAE4;Utilidade Pública;Energia Elétrica;Energia Elétrica
ITSA4;Financeiro e Outros;Intermediários Financeiros;Bancos
ITUB3;Financeiro e Outros;Intermediários Financeiros;Bancos
ITUB4;Financeiro e Outros;Intermediários Financeiros;Bancos
JHSF3;Consumo Cíclico;Construção Civil;Incorporações
KEPL3;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
KLBN11;Materiais Básicos;Madeira e Papel;Papel e Celulose
LAVV3;Consumo Cíclico;Construção Civil;Incorporações
POMO4;Bens Industriais;Material de Transporte;Material Rodoviário
MBRF3;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados
LEVE3;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
ODPV3;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
PGMN3;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
PETR3;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
PETR4;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
RECV3;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
SAPR11;Utilidade Pública;Água e Saneamento;Água e Saneamento
CSNA3;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
SYNE3;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis
TAEE11;Utilidade Pública;Energia Elétrica;Energia Elétrica
TGMA3;Bens Industriais;Transporte;Transporte Rodoviário
TIMS3;Comunicações;Telecomunicações;Telecomunicações
UNIP6;Materiais Básicos;Químicos;Químicos Diversos
VALE3;Materiais Básicos;Mineração;Minerais Metálicos
VLID3;Bens Industriais;Serviços;Serviços Diversos
VULC3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados
