;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,38%;0,40%;0,49%;0,70%;0,49%;0,61%;1,04%;1,79%;1,45%
Div;1.04;1.0;0.94;0.91;0.87;0.81;0.76;0.71;0.61
P/L;36.06;40.18;30.69;20.62;30.65;39.3;23.61;12.57;17.8
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;54,78;66,14;47,90;40,62;45,99;34,53;14,42;6,99;6,42
EV/EBITDA;28,27;28,22;24,16;16,36;24,60;-;16,76;9,51;12,15
EV/EBIT;30,76;30,84;26,61;17,89;27,14;33,95;19,96;10,93;14,08
P/EBITDA;27,97;27,91;23,76;15,81;24,08;-;16,67;8,93;11,60
P/EBIT;30,43;30,50;26,17;17,28;26,57;33,63;19,85;10,27;13,43
VPA;4,99;3,79;4,02;3,20;3,86;3,84;5,09;5,64;6,59
P/Ativo;11,24;10,32;8,44;5,84;8,27;6,97;3,85;2,05;2,29
LPA;7.58;6.23;6.27;6.3;5.79;3.38;3.11;3.14;2.38
P/SR;9,71;9,63;7,77;5,22;7,93;8,22;5,02;2,82;3,76
P/Cap. Giro;-228,54;-160,93;-1.708,70;-110,80;310,17;58,87;22,85;48,57;30,93
P/Ativo Circ. Liq.;-19,12;-17,77;-14,24;-9,47;-13,42;-12,52;-7,43;-3,19;-3,49
Dív. líquida/PL;0,60;0,73;0,80;1,42;0,98;0,33;0,08;0,45;0,31
Dív. líquida/EBITDA;0,30;0,31;0,40;0,55;0,52;-;0,10;0,57;0,56
Dív. líquida/EBIT;0,33;0,34;0,44;0,60;0,57;0,32;0,11;0,66;0,65
PL/Ativos;0,21;0,16;0,18;0,14;0,18;0,20;0,27;0,29;0,36
Passivos/Ativos;0,79;0,84;0,82;0,86;0,82;0,80;0,73;0,71;0,64
Liq. corrente;0,89;0,87;0,99;0,88;1,07;1,36;1,54;1,13;1,28
M. Bruta;46,91%;46,21%;44,13%;43,31%;41,78%;38,23%;37,82%;38,34%;38,47%
M. EBITDA;34,70%;34,51%;32,68%;33,02%;32,94%;-%;30,09%;31,55%;32,39%
M. EBIT;31,89%;31,58%;29,67%;30,20%;29,85%;24,44%;25,27%;27,45%;27,96%
M. Líquida;26,92%;23,97%;25,31%;25,31%;25,88%;20,91%;21,24%;22,41%;21,09%
ROE;151,91%;164,59%;156,08%;196,96%;150,07%;87,87%;61,06%;55,56%;36,07%
ROA;31,18%;25,68%;27,51%;28,29%;26,97%;17,73%;16,32%;16,28%;12,88%
ROIC;64,97%;57,30%;55,99%;58,45%;50,41%;32,29%;27,83%;26,86%;19,36%
Giro ativos;1,16;1,07;1,09;1,12;1,04;0,85;0,77;0,73;0,61
CAGR Receitas 5 anos;8,49%;7,61%;11,46%;11,15%;3,27%;7,31%;9,22%;7,93%;14,78%
CAGR Lucros 5 anos;11,15%;10,26%;15,60%;15,69%;1,46%;6,94%;9,96%;2,99%;12,00%
