;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;20.63;35.27;56.57;32.51;55.86;45.61;53.91;42.62;50.82
PEG Ratio;0,73;-;-;-;-;-;-;-;-
P/VP;12,50;13,90;18,94;10,89;18,20;18,09;15,11;11,80;10,18
EV/EBITDA;65,18;24,36;-;-;-;47,15;38,73;34,94;32,94
EV/EBIT;65,18;27,30;44,33;25,32;46,14;55,46;47,70;39,20;37,89
P/EBITDA;65,07;24,65;-;-;-;47,52;39,52;34,66;34,52
P/EBIT;65,07;27,62;44,68;25,67;46,42;55,90;48,68;38,89;39,71
VPA;28,12;31,98;31,57;30,92;31,15;27,65;21,83;19,18;17,22
P/Ativo;5,12;6,49;10,18;5,85;9,89;9,88;7,66;5,88;5,92
LPA;17.03;12.61;10.57;10.35;10.15;10.96;6.12;5.31;3.45
P/SR;6,19;9,12;15,84;9,10;17,06;18,64;14,24;12,23;11,79
P/Cap. Giro;850,39;275,81;259,07;148,86;155,07;91,08;-93,80;198,66;23,14
P/Ativo Circ. Liq.;-7,61;-10,32;-14,92;-8,57;-14,50;-14,87;-11,15;-7,94;-11,81
Dív. líquida/PL;0,02;-0,16;-0,15;-0,15;-0,11;-0,14;-0,30;0,10;-0,47
Dív. líquida/EBITDA;0,11;-0,28;-;-;-;-0,37;-0,79;0,28;-1,58
Dív. líquida/EBIT;0,11;-0,32;-0,35;-0,35;-0,29;-0,44;-0,98;0,32;-1,82
PL/Ativos;0,41;0,47;0,54;0,54;0,54;0,55;0,51;0,50;0,58
Passivos/Ativos;0,59;0,53;0,46;0,46;0,46;0,45;0,49;0,50;0,42
Liq. corrente;1,02;1,07;1,14;1,14;1,25;1,48;0,79;1,13;2,05
M. Bruta;89,27%;89,04%;87,76%;87,76%;88,18%;86,62%;85,02%;86,77%;86,16%
M. EBITDA;9,51%;37,00%;-%;-%;-%;39,24%;36,03%;35,28%;34,16%
M. EBIT;9,51%;33,02%;35,45%;35,45%;36,76%;33,35%;29,25%;31,45%;29,69%
M. Líquida;30,00%;25,85%;28,00%;28,00%;30,55%;40,88%;26,42%;28,69%;23,20%
ROE;60,58%;39,42%;33,49%;33,49%;32,59%;39,66%;28,02%;27,68%;20,02%
ROA;24,80%;18,39%;18,00%;18,00%;17,70%;21,66%;14,21%;13,80%;11,65%
ROIC;3,66%;29,03%;27,49%;27,49%;26,00%;18,46%;26,17%;19,55%;16,67%
Giro ativos;0,83;0,71;0,64;0,64;0,58;0,53;0,54;0,48;0,50
CAGR Receitas 5 anos;24,12%;21,94%;21,94%;21,94%;21,82%;21,92%;17,36%;10,64%;6,79%
CAGR Lucros 5 anos;26,83%;32,77%;32,77%;32,77%;52,89%;61,52%;54,96%;15,26%;7,01%
