;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,44%;1,96%;2,21%;1,83%;1,55%;2,08%;1,92%;2,14%;2,00%
Div;6.31;5.74;5.15;4.37;3.82;3.66;3.27;2.81;2.34
P/L;25.65;31.75;28.04;33.57;39.89;30.63;32.18;30.45;29.07
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;16,91;26,19;27,27;30,69;18,28;13,14;13,66;12,12;13,07
EV/EBITDA;14,22;17,42;15,44;18,42;21,08;15,98;16,52;15,59;13,17
EV/EBIT;18,30;22,70;20,59;25,87;30,42;23,00;23,54;23,99;18,98
P/EBITDA;14,10;17,46;15,29;18,14;21,00;15,96;16,51;15,63;13,37
P/EBIT;18,15;22,76;20,40;25,47;30,30;22,97;23,53;24,06;19,27
VPA;15,30;11,18;8,54;7,78;13,49;13,41;12,48;10,82;8,97
P/Ativo;1,96;2,19;1,88;1,57;2,13;1,93;1,76;1,48;1,40
LPA;10.09;9.22;8.31;7.12;6.18;5.75;5.3;4.31;4.03
P/SR;5,09;6,20;5,31;6,00;6,91;5,18;5,23;4,32;4,20
P/Cap. Giro;53,01;257,54;-160,27;-279,77;39,16;52,56;43,03;40,69;18,28
P/Ativo Circ. Liq.;-10,34;-13,50;-10,87;-11,98;-12,91;-9,94;-9,78;-8,17;-11,50
Dív. líquida/PL;0,15;-0,07;0,26;0,48;0,07;0,02;0,01;-0,04;-0,20
Dív. líquida/EBITDA;0,12;-0,04;0,14;0,28;0,08;0,02;0,01;-0,05;-0,20
Dív. líquida/EBIT;0,16;-0,06;0,19;0,40;0,12;0,03;0,01;-0,07;-0,29
PL/Ativos;0,12;0,08;0,07;0,05;0,12;0,15;0,13;0,12;0,11
Passivos/Ativos;0,88;0,92;0,93;0,95;0,88;0,85;0,87;0,88;0,89
Liq. corrente;1,05;1,01;0,99;0,99;1,07;1,05;1,05;1,05;1,10
M. Bruta;46,03%;45,44%;44,74%;42,65%;42,42%;42,12%;43,15%;41,56%;41,44%
M. EBITDA;36,10%;35,52%;34,73%;33,08%;32,90%;32,45%;31,67%;27,66%;31,42%
M. EBIT;28,04%;27,26%;26,04%;23,55%;22,80%;22,55%;22,22%;17,97%;21,80%
M. Líquida;19,84%;19,54%;18,94%;17,87%;17,32%;16,91%;16,25%;14,20%;14,45%
ROE;65,93%;82,51%;97,23%;91,43%;45,83%;42,88%;42,46%;39,80%;44,95%
ROA;7,64%;6,90%;6,69%;4,68%;5,33%;6,30%;5,47%;4,85%;4,81%
ROIC;30,37%;54,56%;56,41%;48,79%;30,71%;33,18%;32,73%;29,50%;31,24%
Giro ativos;0,39;0,35;0,35;0,26;0,31;0,37;0,34;0,34;0,33
CAGR Receitas 5 anos;6,36%;6,29%;5,93%;5,16%;5,93%;6,65%;7,05%;3,15%;3,48%
CAGR Lucros 5 anos;10,35%;12,60%;10,53%;11,73%;11,17%;8,63%;6,04%;5,19%;3,54%
