;2025;2024;2023;2022
D.Y;-%;-%;-%;-%
Div;;;;
P/L;146.44;424.91;147.43;
PEG Ratio;-;-;-;-
P/VP;16,96;24,56;19,07;-
EV/EBITDA;-;339,84;89,23;-1,68
EV/EBIT;-;599,52;111,83;-2,08
P/EBITDA;128,44;347,65;91,86;-
P/EBIT;161,08;613,31;115,13;-
VPA;-;5,02;3,94;-
P/Ativo;12,98;16,40;11,25;-
LPA;;0.29;0.51;
P/SR;28,94;40,22;28,84;-
P/Cap. Giro;29,73;48,30;35,54;-
P/Ativo Circ. Liq.;-28,27;-34,86;-23,21;-
Dív. líquida/PL;-;-0,55;-0,55;-0,46
Dív. líquida/EBITDA;-;-7,82;-2,63;-1,68
Dív. líquida/EBIT;-;-13,79;-3,30;-2,08
PL/Ativos;-;0,67;0,59;0,55
Passivos/Ativos;-;0,33;0,41;0,45
Liq. corrente;-;2,79;2,60;2,22
M. Bruta;-%;95,24%;96,04%;95,15%
M. EBITDA;-%;11,57%;31,39%;35,92%
M. EBIT;-%;6,56%;25,05%;29,08%
M. Líquida;-%;9,46%;19,56%;20,31%
ROE;-%;5,78%;12,94%;15,47%
ROA;-%;3,86%;7,63%;8,43%
ROIC;-%;2,23%;12,94%;19,05%
Giro ativos;-;0,41;0,39;0,42
CAGR Receitas 5 anos;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%
