;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,67%;0,98%;0,85%;1,92%;1,20%;0,59%;1,19%;1,09%;0,75%
Div;7.21;6.79;6.43;10.49;9.56;2.88;3.52;1.7;1.3
P/L;39.98;34.77;34.39;35.92;47.91;46.06;42.78;21.61;31.21
PEG Ratio;0,25;-;-;-;-;-;-;-;-
P/VP;52,12;14,25;20,04;22,93;27,79;11,81;8,81;4,81;6,19
EV/EBITDA;30,86;25,62;27,20;28,25;38,86;35,72;33,74;16,23;22,59
EV/EBIT;33,73;28,22;29,42;30,81;41,59;40,09;39,16;18,54;26,37
P/EBITDA;30,85;26,43;27,44;28,70;39,28;36,32;34,23;16,53;22,69
P/EBIT;33,72;29,11;29,68;31,29;42,03;40,76;39,74;18,88;26,48
VPA;20,64;48,65;37,77;23,83;28,64;41,31;33,60;32,35;28,07
P/Ativo;12,64;5,42;6,75;5,57;9,32;6,00;4,90;2,78;3,63
LPA;26.91;19.94;22.01;15.21;16.62;10.59;6.92;7.2;5.57
P/SR;11,74;9,31;9,78;9,54;15,14;11,71;9,38;5,12;7,30
P/Cap. Giro;102,18;24,63;33,20;39,76;47,83;17,55;14,91;8,31;11,67
P/Ativo Circ. Liq.;-31,71;-14,75;-17,32;-15,26;-23,41;-14,44;-10,56;-5,83;-7,19
Dív. líquida/PL;0,02;-0,44;-0,18;-0,35;-0,30;-0,19;-0,13;-0,09;-0,03
Dív. líquida/EBITDA;0,01;-0,81;-0,24;-0,44;-0,42;-0,59;-0,50;-0,30;-0,10
Dív. líquida/EBIT;0,01;-0,89;-0,26;-0,48;-0,45;-0,67;-0,58;-0,34;-0,12
PL/Ativos;0,24;0,38;0,34;0,24;0,34;0,51;0,56;0,58;0,59
Passivos/Ativos;0,76;0,62;0,66;0,76;0,66;0,49;0,44;0,42;0,41
Liq. corrente;1,26;1,53;1,50;1,28;1,48;2,41;2,58;2,78;2,70
M. Bruta;52,70%;51,28%;51,29%;50,54%;52,71%;48,63%;44,67%;45,95%;45,03%
M. EBITDA;38,05%;35,24%;35,65%;33,25%;38,56%;32,24%;27,41%;30,96%;32,19%
M. EBIT;34,81%;31,99%;32,96%;30,49%;36,03%;28,73%;23,61%;27,10%;27,57%
M. Líquida;29,36%;26,79%;28,45%;26,56%;31,61%;25,42%;21,93%;23,68%;23,40%
ROE;130,38%;40,98%;58,27%;63,83%;58,02%;25,63%;20,59%;22,26%;19,84%
ROA;31,62%;15,58%;19,62%;15,49%;19,46%;13,03%;11,46%;12,87%;11,64%
ROIC;87,09%;31,78%;42,29%;41,97%;38,60%;18,69%;16,55%;17,82%;15,98%
Giro ativos;1,08;0,58;0,69;0,58;0,62;0,51;0,52;0,54;0,50
CAGR Receitas 5 anos;17,19%;18,69%;17,17%;23,00%;19,63%;11,20%;13,15%;10,95%;-0,91%
CAGR Lucros 5 anos;21,98%;23,12%;20,18%;32,65%;23,07%;12,79%;17,81%;10,19%;-4,78%
