;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;175.97;120.78;110.66;80.6;-185.46;;;88.1;269.29
PEG Ratio;-13,00;-;-;-;-;-;-;-;-
P/VP;14,94;19,56;12,04;9,35;10,62;7,98;8,00;5,51;8,37
EV/EBITDA;292,49;105,20;106,64;52,63;-90,99;1.168,31;-;-;-
EV/EBIT;565,07;118,56;119,76;58,82;-75,60;-1.148,43;1.931,27;79,12;83,77
P/EBITDA;295,33;105,92;110,29;54,00;-94,76;1.259,18;-;-;-
P/EBIT;570,57;119,36;123,85;60,35;-78,73;-1.237,76;2.100,73;91,55;88,97
VPA;38,37;30,38;21,46;17,75;14,78;15,36;9,16;7,95;3,16
P/Ativo;6,80;10,18;5,71;4,16;6,59;5,64;5,14;3,58;4,15
LPA;3.26;4.92;2.33;2.06;-0.85;-0.03;0.01;0.5;0.1
P/SR;17,69;21,87;12,46;9,97;12,89;11,43;8,19;6,13;4,08
P/Cap. Giro;15,78;73,49;11,92;9,86;16,11;10,73;10,27;6,56;14,42
P/Ativo Circ. Liq.;-18,54;-20,92;-19,16;-11,33;-19,23;-19,51;-19,19;-15,94;-10,55
Dív. líquida/PL;-0,14;-0,13;-0,40;-0,24;-0,42;-0,58;-0,65;-0,75;-0,49
Dív. líquida/EBITDA;-2,85;-0,71;-3,65;-1,37;3,77;-90,87;-;-;-
Dív. líquida/EBIT;-5,50;-0,80;-4,10;-1,53;3,13;89,33;-169,46;-12,43;-5,20
PL/Ativos;0,45;0,52;0,47;0,44;0,62;0,71;0,64;0,65;0,50
Passivos/Ativos;0,55;0,48;0,53;0,56;0,38;0,29;0,36;0,35;0,50
Liq. corrente;3,12;1,37;3,14;3,00;2,65;3,83;3,17;3,36;1,90
M. Bruta;60,31%;59,61%;61,22%;61,23%;62,65%;61,13%;57,88%;61,56%;60,24%
M. EBITDA;5,99%;20,64%;11,30%;18,46%;-13,61%;0,91%;-%;-%;-%
M. EBIT;3,10%;18,32%;10,06%;16,52%;-16,37%;-0,92%;0,39%;6,69%;4,58%
M. Líquida;10,05%;18,10%;11,26%;12,37%;-6,95%;-0,25%;0,17%;6,95%;1,51%
ROE;8,49%;16,20%;10,88%;11,60%;-5,73%;-0,18%;0,16%;6,25%;3,11%
ROA;3,86%;8,43%;5,16%;5,16%;-3,56%;-0,12%;0,10%;4,06%;1,54%
ROIC;-0,16%;12,53%;6,03%;7,57%;-21,26%;-1,11%;0,16%;5,78%;3,11%
Giro ativos;0,38;0,47;0,46;0,42;0,51;0,49;0,63;0,58;1,02
CAGR Receitas 5 anos;31,44%;30,02%;28,13%;26,34%;28,04%;26,40%;24,97%;24,54%;24,40%
CAGR Lucros 5 anos;235,88%;43,19%;95,03%;-%;-%;-46,39%;9,87%;-18,79%;-%
