;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,70%;2,27%;2,15%;2,14%;3,18%;2,80%;2,81%;3,69%;4,03%
Div;1.55;1.49;1.45;1.45;;1.4;1.4;1.4;1.4
P/L;-228.04;28.85;35.03;63.82;;20.53;49.0;22.33;14.64
PEG Ratio;1,71;-;-;-;-;-;-;-;-
P/VP;7,95;4,98;5,33;5,67;4,60;4,20;4,48;3,43;2,64
EV/EBITDA;-;13,33;16,75;25,34;27,60;9,02;11,20;8,34;8,18
EV/EBIT;-559,55;21,87;27,33;61,45;201,73;14,53;25,61;17,58;14,93
P/EBITDA;-;11,86;15,01;22,53;23,86;7,90;9,78;6,74;6,54
P/EBIT;-520,45;19,47;24,49;54,63;174,40;12,71;22,37;14,21;11,95
VPA;11,59;13,16;12,63;11,95;12,67;11,91;11,13;11,09;13,15
P/Ativo;2,96;1,95;2,07;2,18;1,71;0,98;1,07;0,79;0,69
LPA;-0.4;2.27;1.92;1.06;0.04;2.43;1.02;1.7;2.37
P/SR;6,49;3,76;4,56;4,74;4,82;2,47;2,68;2,18;1,96
P/Cap. Giro;-318,18;-99,62;-38,05;-56,80;49,45;-86,00;-25,61;-68,64;-13,59
P/Ativo Circ. Liq.;-3,78;-2,60;-2,75;-2,84;-2,28;-1,39;-1,43;-1,07;-0,88
Dív. líquida/PL;0,60;0,61;0,62;0,71;0,72;0,60;0,65;0,81;0,66
Dív. líquida/EBITDA;-;1,46;1,74;2,81;3,74;1,13;1,42;1,60;1,64
Dív. líquida/EBIT;-39,10;2,40;2,83;6,82;27,33;1,82;3,24;3,37;2,99
PL/Ativos;0,37;0,39;0,39;0,38;0,37;0,23;0,24;0,23;0,26
Passivos/Ativos;0,63;0,61;0,61;0,62;0,63;0,77;0,76;0,77;0,74
Liq. corrente;0,96;0,93;0,82;0,86;1,16;0,96;0,86;0,96;0,80
M. Bruta;66,19%;81,12%;81,95%;72,06%;66,76%;80,09%;79,82%;77,66%;80,78%
M. EBITDA;-%;31,66%;30,37%;21,03%;20,22%;31,22%;27,42%;32,32%;29,88%
M. EBIT;-1,25%;19,29%;18,61%;8,67%;2,77%;19,39%;11,99%;15,33%;16,37%
M. Líquida;-2,85%;13,02%;13,01%;7,42%;0,31%;12,01%;5,47%;9,76%;13,36%
ROE;-3,49%;17,26%;15,23%;8,89%;0,29%;20,44%;9,15%;15,34%;18,03%
ROA;-1,30%;6,77%;5,90%;3,41%;0,11%;4,79%;2,18%;3,55%;4,74%
ROIC;-1,82%;12,27%;10,92%;4,37%;0,88%;13,25%;8,58%;10,60%;9,43%
Giro ativos;0,46;0,52;0,45;0,46;0,36;0,40;0,40;0,36;0,35
CAGR Receitas 5 anos;17,27%;15,71%;14,57%;10,22%;1,50%;-1,69%;-3,06%;-4,29%;-7,29%
CAGR Lucros 5 anos;39,45%;22,57%;1,87%;-49,49%;2,50%;1,60%;-3,36%;-13,62%;-18,81%
