;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,56%;2,78%;2,95%;3,07%;2,90%;4,01%;5,42%;4,75%;4,74%
Div;2.33;2.13;1.97;1.7;1.62;1.99;2.76;2.18;1.88
P/L;38.05;23.68;16.62;15.58;22.7;37.37;19.09;20.97;23.38
PEG Ratio;-9,98;-;-;-;-;-;-;-;-
P/VP;6,36;4,03;3,48;3,18;3,19;3,09;3,38;2,90;2,41
EV/EBITDA;21,89;13,94;11,67;11,41;14,50;15,49;12,04;13,15;11,98
EV/EBIT;30,51;19,83;15,53;15,76;21,79;28,93;16,84;18,15;16,46
P/EBITDA;19,09;10,88;8,72;8,02;9,60;11,88;9,30;10,26;8,95
P/EBIT;26,61;15,48;11,62;11,08;14,43;22,18;13,01;14,17;12,30
VPA;14,31;19,07;19,19;17,39;17,53;16,14;15,05;15,79;16,56
P/Ativo;1,95;1,10;0,95;0,81;0,77;0,97;1,11;1,05;0,88
LPA;2.39;3.24;4.02;3.55;2.46;1.33;2.67;2.19;1.7
P/SR;3,00;1,67;1,52;1,37;1,63;1,75;1,73;1,65;1,45
P/Cap. Giro;-164,87;-22,63;-41,19;-30,76;-67,33;-288,10;-20,56;-23,79;603,46
P/Ativo Circ. Liq.;-2,43;-1,40;-1,22;-1,04;-0,96;-1,23;-1,34;-1,25;-1,08
Dív. líquida/PL;0,93;1,13;1,17;1,34;1,63;0,94;0,99;0,82;0,81
Dív. líquida/EBITDA;2,80;3,06;2,94;3,39;4,90;3,62;2,74;2,88;3,03
Dív. líquida/EBIT;3,91;4,36;3,92;4,68;7,36;6,75;3,83;3,98;4,16
PL/Ativos;0,31;0,27;0,27;0,25;0,24;0,31;0,33;0,36;0,37
Passivos/Ativos;0,69;0,73;0,73;0,75;0,76;0,69;0,67;0,64;0,63
Liq. corrente;0,94;0,81;0,91;0,89;0,95;0,98;0,75;0,79;1,01
M. Bruta;38,70%;35,28%;36,72%;35,94%;36,96%;35,22%;38,22%;38,70%;38,78%
M. EBITDA;15,73%;15,37%;17,38%;17,06%;16,98%;14,76%;18,62%;16,12%;16,25%
M. EBIT;11,29%;10,81%;13,05%;12,35%;11,30%;7,91%;13,31%;11,68%;11,82%
M. Líquida;7,89%;7,06%;9,12%;8,78%;7,18%;4,69%;9,07%;7,89%;6,22%
ROE;16,72%;17,01%;20,93%;20,42%;14,05%;8,26%;17,71%;13,85%;10,29%
ROA;5,11%;4,64%;5,71%;5,19%;3,40%;2,59%;5,84%;4,99%;3,78%
ROIC;8,84%;8,57%;9,44%;8,68%;5,74%;4,83%;9,79%;8,57%;6,67%
Giro ativos;0,65;0,66;0,63;0,59;0,47;0,55;0,64;0,63;0,61
CAGR Receitas 5 anos;9,43%;8,95%;6,83%;10,19%;13,10%;10,30%;9,90%;10,50%;3,06%
CAGR Lucros 5 anos;4,08%;12,16%;14,46%;14,19%;0,43%;13,05%;9,27%;4,06%;-5,02%
