;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,82%;1,43%;1,05%;1,17%;0,83%;1,17%;0,89%;1,14%;0,99%
Div;2.51;2.49;2.39;2.09;1.7;1.54;1.27;0.92;0.69
P/L;17.06;21.41;27.6;21.71;27.92;23.9;27.85;18.91;20.33
PEG Ratio;-0,24;-;-;-;-;-;-;-;-
P/VP;7,06;9,81;14,92;15,09;39,12;14,53;21,37;12,47;10,79
EV/EBITDA;34,70;15,13;17,93;14,80;20,86;13,50;16,89;12,08;12,15
EV/EBIT;59,45;17,66;20,83;17,29;23,61;18,46;20,86;15,33;15,81
P/EBITDA;25,65;11,99;15,65;12,01;16,83;11,91;14,65;9,70;9,43
P/EBIT;43,95;13,99;18,18;14,04;19,05;16,28;18,10;12,31;12,28
VPA;19,51;17,74;15,23;11,83;5,24;9,07;6,68;6,50;6,44
P/Ativo;1,18;1,57;2,29;1,84;2,09;2,02;2,57;1,70;1,53
LPA;8.07;8.13;8.23;8.23;7.33;5.51;5.13;4.29;3.42
P/SR;0,81;1,10;1,43;1,02;1,33;1,02;1,14;0,75;0,72
P/Cap. Giro;8,21;12,15;24,14;14,97;19,97;9,17;24,35;12,23;12,17
P/Ativo Circ. Liq.;-2,42;-3,16;-4,63;-3,68;-4,11;-5,56;-5,60;-3,61;-2,98
Dív. líquida/PL;2,49;2,57;2,18;3,50;9,35;1,94;3,26;3,05;3,11
Dív. líquida/EBITDA;9,05;3,14;2,28;2,78;4,02;1,59;2,23;2,38;2,72
Dív. líquida/EBIT;15,51;3,67;2,65;3,25;4,56;2,18;2,76;3,02;3,54
PL/Ativos;0,17;0,16;0,15;0,12;0,05;0,14;0,12;0,14;0,14
Passivos/Ativos;0,83;0,84;0,85;0,88;0,95;0,86;0,88;0,86;0,86
Liq. corrente;1,39;1,35;1,23;1,33;1,27;1,53;1,24;1,35;1,35
M. Bruta;21,60%;21,92%;21,76%;19,73%;17,14%;17,38%;16,86%;16,67%;16,52%
M. EBITDA;3,16%;9,17%;9,11%;8,48%;7,88%;8,57%;7,77%;7,71%;7,60%
M. EBIT;1,85%;7,86%;7,84%;7,26%;6,96%;6,27%;6,29%;6,08%;5,84%
M. Líquida;4,76%;5,13%;5,17%;4,69%;4,75%;4,27%;4,09%;3,96%;3,53%
ROE;41,39%;45,81%;54,07%;69,51%;140,09%;60,79%;76,73%;65,94%;53,07%
ROA;6,92%;7,34%;8,31%;8,49%;7,49%;8,44%;9,21%;8,97%;7,51%
ROIC;0,53%;14,16%;18,81%;17,94%;15,06%;18,06%;21,70%;18,99%;17,37%
Giro ativos;1,45;1,43;1,61;1,81;1,58;1,98;2,25;2,27;2,13
CAGR Receitas 5 anos;3,09%;5,65%;9,87%;8,77%;7,29%;8,35%;8,56%;7,93%;7,32%
CAGR Lucros 5 anos;7,90%;11,42%;16,33%;18,39%;14,36%;24,64%;37,09%;34,46%;90,15%
