;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,30%;3,25%;2,60%;3,03%;1,95%;1,72%;1,40%;2,69%;1,18%
Div;0.99;1.22;1.14;1.06;0.98;0.9;0.63;0.92;0.47
P/L;4.84;8.78;11.34;27.48;16.11;22.79;15.68;13.14;8.18
PEG Ratio;0,09;-;-;-;-;-;-;-;-
P/VP;1,13;1,66;2,11;1,82;2,37;2,66;2,44;2,13;2,68
EV/EBITDA;9,71;6,22;6,82;8,99;8,59;10,62;8,87;8,68;8,73
EV/EBIT;42,89;10,26;10,80;18,42;13,67;18,08;14,30;13,55;13,43
P/EBITDA;5,34;3,78;4,48;5,47;6,14;7,56;6,01;5,19;6,71
P/EBIT;23,56;6,23;7,10;11,20;9,76;12,87;9,69;8,11;10,32
VPA;26,64;22,59;20,79;19,18;21,20;19,72;18,42;16,02;14,96
P/Ativo;0,40;0,53;0,66;0,57;0,83;0,88;0,78;0,61;0,99
LPA;6.2;4.27;3.87;1.27;3.12;2.3;2.87;2.59;4.9
P/SR;0,89;1,15;1,44;1,22;1,96;2,32;1,88;1,63;2,19
P/Cap. Giro;-28,45;-11,12;-10,76;-24,35;-50,24;-116,80;-41,79;-26,78;-32,92
P/Ativo Circ. Liq.;-0,45;-0,59;-0,72;-0,63;-0,91;-0,97;-0,86;-0,67;-1,09
Dív. líquida/PL;0,92;1,07;1,10;1,18;0,95;1,08;1,16;1,43;0,81
Dív. líquida/EBITDA;4,38;2,44;2,34;3,53;2,46;3,06;2,86;3,49;2,02
Dív. líquida/EBIT;19,33;4,02;3,70;7,23;3,91;5,21;4,61;5,45;3,11
PL/Ativos;0,36;0,32;0,31;0,31;0,35;0,33;0,32;0,29;0,37
Passivos/Ativos;0,64;0,68;0,69;0,68;0,65;0,67;0,68;0,71;0,63
Liq. corrente;0,88;0,68;0,60;0,78;0,85;0,93;0,84;0,79;0,74
M. Bruta;17,75%;70,08%;69,76%;68,53%;66,96%;68,02%;38,27%;38,86%;40,25%
M. EBITDA;16,62%;30,40%;32,00%;22,24%;31,94%;30,66%;31,28%;31,41%;32,58%
M. EBIT;3,77%;18,43%;20,21%;10,85%;20,08%;18,01%;19,39%;20,11%;21,19%
M. Líquida;18,33%;13,09%;12,66%;4,42%;12,17%;10,17%;11,99%;12,41%;26,74%
ROE;23,29%;18,92%;18,61%;6,63%;14,73%;11,66%;15,57%;16,18%;32,73%
ROA;8,28%;6,08%;5,81%;2,09%;5,13%;3,85%;4,96%;4,66%;12,13%
ROIC;-0,13%;10,84%;10,68%;4,88%;9,24%;7,67%;9,34%;8,69%;8,11%
Giro ativos;0,45;0,46;0,46;0,47;0,42;0,38;0,41;0,38;0,45
CAGR Receitas 5 anos;2,58%;5,17%;7,39%;7,59%;6,81%;9,64%;7,89%;6,33%;7,65%
CAGR Lucros 5 anos;4,40%;5,58%;-25,07%;10,29%;5,23%;9,27%;11,47%;29,66%;15,84%
