;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,59%;0,49%;2,87%;0,76%;0,54%;3,38%;0,86%;1,08%;4,81%
Div;5.1;;;3.47;3.07;12.73;2.53;2.2;8.95
P/L;47.37;;;34.66;50.28;41.7;35.49;28.63;30.51
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;13,16;17.218,32;11.688,73;9,81;14,33;9,13;8,33;6,85;7,38
EV/EBITDA;27,92;35.299,94;28.739,71;20,01;28,62;22,48;20,15;15,03;15,06
EV/EBIT;34,10;43.804,62;36.096,42;24,76;36,06;29,17;26,50;19,86;20,07
P/EBITDA;28,64;35.300,40;28.740,68;20,47;29,16;23,27;20,84;15,17;14,91
P/EBIT;34,97;43.805,20;36.097,64;25,33;36,74;30,20;27,41;20,03;19,88
VPA;65,70;0,05;0,06;46,52;39,61;41,28;35,28;29,75;25,23
P/Ativo;4,98;5.824,51;4.245,24;3,16;4,25;3,00;2,86;2,20;2,25
LPA;18.25;0.02;0.01;13.17;11.29;9.03;8.28;7.11;6.1
P/SR;1,39;1.598,45;1.208,87;0,89;1,28;1,00;0,85;0,63;0,63
P/Cap. Giro;301,64;-333.933,70;127.568,05;290,20;3.933,38;50,95;523,55;247,20;-459,14
P/Ativo Circ. Liq.;-9,91;-11.429,85;-8.844,82;-6,44;-8,46;-6,08;-5,92;-4,37;-4,29
Dív. líquida/PL;-0,33;-0,23;-0,39;-0,22;-0,27;-0,31;-0,28;-0,06;0,07
Dív. líquida/EBITDA;-0,71;-0,46;-0,97;-0,45;-0,54;-0,79;-0,69;-0,13;0,14
Dív. líquida/EBIT;-0,87;-0,58;-1,21;-0,56;-0,68;-1,03;-0,91;-0,17;0,19
PL/Ativos;0,38;0,34;0,36;0,32;0,30;0,33;0,34;0,32;0,30
Passivos/Ativos;0,62;0,66;0,64;0,68;0,70;0,67;0,66;0,68;0,70
Liq. corrente;1,03;0,97;1,07;1,02;1,00;1,13;1,01;1,02;0,99
M. Bruta;12,84%;12,61%;12,26%;12,15%;12,88%;13,09%;12,98%;13,01%;13,29%
M. EBITDA;4,87%;4,53%;4,21%;4,36%;4,41%;4,30%;4,08%;4,18%;4,25%
M. EBIT;3,99%;3,65%;3,35%;3,52%;3,50%;3,31%;3,10%;3,16%;3,19%
M. Líquida;2,94%;2,90%;2,60%;2,57%;2,56%;2,40%;2,40%;2,21%;2,08%
ROE;27,77%;31,19%;25,11%;28,31%;28,51%;21,89%;23,48%;23,92%;24,18%
ROA;10,50%;10,55%;9,12%;9,11%;8,45%;7,20%;8,06%;7,68%;7,37%
ROIC;23,66%;23,50%;19,45%;22,33%;20,95%;16,29%;17,75%;16,42%;15,78%
Giro ativos;3,57;3,64;3,51;3,54;3,31;3,00;3,36;3,47;3,55
CAGR Receitas 5 anos;-72,18%;-72,03%;11,96%;10,54%;7,49%;6,27%;6,13%;5,41%;5,95%
CAGR Lucros 5 anos;-71,11%;-71,12%;16,88%;16,33%;10,98%;12,20%;8,98%;9,41%;9,96%
