;2025;2024;2023;2022;2021;2020;2019;2018
D.Y;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;
P/L;;943.48;-334.6;-105.11;-506.94;-330.57;-73.18;
PEG Ratio;-;-;-;-;-;-;-;-
P/VP;36,43;36,58;41,89;24,06;53,94;63,16;146,19;-
EV/EBITDA;188,17;153,73;456,34;488,96;2.197,00;-563,08;-107,04;0,45
EV/EBIT;1.433,55;548,86;-441,05;-173,77;-530,37;-329,81;-73,50;0,38
P/EBITDA;193,98;158,88;471,45;515,20;2.253,66;-574,26;-109,08;-
P/EBIT;1.477,82;567,25;-455,65;-183,09;-544,05;-336,36;-74,90;-
VPA;13,01;9,35;6,09;4,38;3,80;3,35;0,34;-
P/Ativo;13,73;12,68;12,20;6,82;17,18;33,36;23,66;-
LPA;-0.08;0.36;-0.76;-1.0;-0.4;-0.64;-0.68;
P/SR;30,22;27,58;27,36;17,00;53,70;97,36;41,03;-
P/Cap. Giro;45,05;40,91;40,04;21,20;32,87;69,07;205,14;-
P/Ativo Circ. Liq.;-46,16;-44,61;-44,23;-23,56;-106,66;-200,92;-100,66;-
Dív. líquida/PL;-1,09;-1,19;-1,34;-1,23;-1,36;-1,23;-2,73;-
Dív. líquida/EBITDA;-5,81;-5,15;-15,10;-26,24;-56,66;11,18;2,04;0,45
Dív. líquida/EBIT;-44,27;-18,39;14,60;9,33;13,68;6,55;1,40;0,38
PL/Ativos;0,38;0,35;0,29;0,28;0,32;0,53;0,16;-1,70
Passivos/Ativos;0,62;0,65;0,71;0,72;0,68;0,47;0,84;1,08
Liq. corrente;1,77;1,76;1,73;1,83;2,65;2,38;1,18;0,93
M. Bruta;74,92%;75,27%;73,17%;73,60%;73,75%;70,58%;65,08%;54,12%
M. EBITDA;15,58%;17,36%;5,80%;3,30%;2,38%;-16,95%;-37,62%;-93,66%
M. EBIT;2,04%;4,86%;-6,00%;-9,29%;-9,87%;-28,94%;-54,78%;-110,68%
M. Líquida;-0,49%;2,92%;-8,18%;-16,18%;-10,59%;-29,45%;-56,07%;-119,02%
ROE;-0,59%;3,88%;-12,52%;-22,89%;-10,64%;-19,10%;-199,77%;-38,26%
ROA;-0,22%;1,34%;-3,65%;-6,49%;-3,39%;-10,09%;-32,33%;-64,92%
ROIC;0,24%;3,82%;-7,12%;-11,73%;-5,66%;-19,05%;-197,14%;37,44%
Giro ativos;0,45;0,46;0,45;0,40;0,32;0,34;0,58;0,55
CAGR Receitas 5 anos;65,00%;79,96%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%
