;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,89%;0,80%;0,83%;0,93%;0,77%;0,99%;0,95%;1,22%;1,04%
Div;1.69;1.46;1.25;1.05;3.41;3.5;2.56;2.05;1.62
P/L;42.16;46.91;45.32;37.14;41.38;42.36;31.53;20.96;34.51
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;16,31;17,08;15,81;13,87;12,47;11,47;9,29;5,85;7,20
EV/EBITDA;27,48;29,97;28,54;24,45;27,07;-;19,60;16,30;20,13
EV/EBIT;33,22;36,57;35,17;30,61;34,65;33,95;25,46;21,09;25,24
P/EBITDA;26,72;29,13;27,47;23,09;25,92;-;17,84;14,35;17,10
P/EBIT;32,30;35,54;33,86;28,91;33,17;31,89;23,17;18,57;21,44
VPA;11,63;10,70;9,53;8,14;35,55;30,82;28,96;28,70;21,63
P/Ativo;7,78;8,04;7,15;5,63;5,58;4,84;3,75;2,54;2,42
LPA;4.5;3.89;3.32;3.04;10.71;8.34;8.53;8.02;4.51
P/SR;7,39;7,68;6,93;5,84;6,46;5,24;4,05;2,73;3,12
P/Cap. Giro;42,65;54,34;35,76;38,27;50,56;26,05;25,17;14,69;20,14
P/Ativo Circ. Liq.;-11,96;-12,32;-10,89;-8,32;-8,52;-6,92;-5,37;-3,55;-3,39
Dív. líquida/PL;0,46;0,49;0,61;0,82;0,56;0,74;0,92;0,79;1,28
Dív. líquida/EBITDA;0,76;0,84;1,06;1,36;1,15;-;1,76;1,95;3,03
Dív. líquida/EBIT;0,91;1,03;1,31;1,70;1,48;2,06;2,29;2,52;3,80
PL/Ativos;0,48;0,47;0,45;0,41;0,45;0,42;0,40;0,43;0,34
Passivos/Ativos;0,52;0,53;0,55;0,59;0,55;0,58;0,60;0,57;0,66
Liq. corrente;2,09;1,74;2,39;1,84;1,47;2,61;1,98;2,55;1,73
M. Bruta;50,04%;48,83%;47,34%;46,24%;46,58%;45,64%;45,39%;44,91%;44,71%
M. EBITDA;27,65%;26,38%;25,22%;25,30%;24,93%;-%;22,70%;19,00%;18,23%
M. EBIT;22,87%;21,62%;20,47%;20,21%;19,48%;16,42%;17,47%;14,69%;14,54%
M. Líquida;17,53%;16,38%;15,29%;15,73%;15,61%;12,36%;12,84%;13,01%;9,03%
ROE;38,69%;36,41%;34,89%;37,35%;30,13%;27,08%;29,47%;27,93%;20,87%
ROA;18,45%;17,14%;15,77%;15,17%;13,49%;11,42%;11,90%;12,11%;7,02%
ROIC;26,91%;24,62%;22,98%;21,70%;19,41%;17,00%;16,82%;16,10%;10,00%
Giro ativos;1,05;1,05;1,03;0,96;0,86;0,92;0,93;0,93;0,78
CAGR Receitas 5 anos;6,84%;6,36%;8,09%;8,21%;10,15%;10,45%;8,81%;5,35%;4,71%
CAGR Lucros 5 anos;12,17%;9,85%;20,78%;9,88%;15,26%;18,77%;21,71%;10,20%;22,94%
