;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;36.08;52.73;88.32;128.21;336.68;17.98;198.03;-83.74;-99.35
PEG Ratio;-0,48;-;-;-;-;-;-;-;-
P/VP;9,54;14,45;23,12;20,52;23,13;4,86;22,68;16,05;11,89
EV/EBITDA;55,14;32,64;53,03;79,13;135,71;20,79;91,69;-137,46;-241,95
EV/EBIT;118,92;42,66;66,91;110,69;186,20;25,30;118,83;-98,92;-133,14
P/EBITDA;57,06;32,79;53,35;80,02;138,45;23,56;93,91;-142,48;-253,17
P/EBIT;123,06;42,86;67,32;111,94;189,95;28,66;121,71;-102,54;-139,31
VPA;6,99;5,38;5,37;5,52;5,80;19,02;9,64;7,47;4,83
P/Ativo;3,47;4,69;7,63;8,11;10,71;2,07;8,36;5,56;5,52
LPA;1.85;1.47;1.41;0.88;0.4;5.14;1.1;-1.43;-0.58
P/SR;5,76;7,53;13,20;15,03;21,27;4,61;13,56;10,32;6,94
P/Cap. Giro;13,81;22,19;16,66;23,91;17,57;3,16;12,44;7,21;8,23
P/Ativo Circ. Liq.;-11,40;-13,92;-26,01;-25,39;-44,17;-10,25;-47,04;-49,16;-31,29
Dív. líquida/PL;-0,32;-0,07;-0,14;-0,23;-0,46;-0,57;-0,54;-0,57;-0,53
Dív. líquida/EBITDA;-1,92;-0,15;-0,32;-0,89;-2,73;-2,76;-2,22;5,02;11,22
Dív. líquida/EBIT;-4,14;-0,19;-0,41;-1,24;-3,75;-3,36;-2,88;3,62;6,17
PL/Ativos;0,36;0,32;0,33;0,40;0,46;0,43;0,37;0,35;0,46
Passivos/Ativos;0,64;0,68;0,67;0,60;0,54;0,57;0,63;0,65;0,54
Liq. corrente;1,56;1,47;2,84;1,99;5,11;5,58;5,47;7,64;5,36
M. Bruta;59,01%;60,46%;63,19%;64,72%;68,63%;66,44%;63,11%;64,36%;68,49%
M. EBITDA;10,09%;22,98%;24,75%;18,79%;15,36%;19,56%;14,44%;-7,24%;-2,74%
M. EBIT;4,68%;17,58%;19,61%;13,43%;11,20%;16,07%;11,14%;-10,06%;-4,98%
M. Líquida;15,96%;14,29%;14,95%;11,73%;6,32%;25,62%;6,85%;-12,32%;-6,99%
ROE;26,44%;27,40%;26,18%;16,01%;6,87%;27,02%;11,45%;-19,16%;-11,97%
ROA;9,61%;8,89%;8,64%;6,33%;3,18%;11,50%;4,22%;-6,63%;-5,55%
ROIC;-0,52%;12,68%;12,03%;8,32%;6,45%;1,18%;8,31%;-6,24%;-5,01%
Giro ativos;0,60;0,62;0,58;0,54;0,50;0,45;0,62;0,54;0,79
CAGR Receitas 5 anos;22,27%;28,56%;32,28%;33,69%;36,81%;41,61%;45,17%;48,38%;49,68%
CAGR Lucros 5 anos;41,63%;-%;-%;-%;-%;-%;-%;-%;-%
