;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,37%;0,52%;0,56%;0,61%;0,52%;0,12%;-%;-%;-%
Div;0.76;0.76;0.77;0.75;0.69;0.17;;;
P/L;45.56;30.06;45.75;42.58;44.44;13.7;30.81;22.86;33.45
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;8,00;5,09;5,03;4,41;4,74;5,58;5,89;5,19;7,97
EV/EBITDA;25,86;18,51;19,23;20,69;27,30;22,25;23,61;12,42;20,64
EV/EBIT;31,59;23,21;27,00;29,99;32,16;24,46;27,05;13,60;23,54
P/EBITDA;26,04;19,20;19,71;21,44;31,05;25,10;27,51;15,19;23,17
P/EBIT;31,82;24,08;27,67;31,08;36,57;27,60;31,52;16,63;26,43
VPA;25,60;28,73;27,19;27,73;27,80;25,74;18,26;15,21;13,19
P/Ativo;4,13;2,85;2,73;2,43;2,80;3,75;3,50;2,78;4,19
LPA;4.49;4.87;2.99;2.87;2.97;10.48;3.49;3.45;3.14
P/SR;6,84;5,06;4,94;4,81;6,61;7,52;6,34;4,63;6,68
P/Cap. Giro;-279,06;33,07;53,64;52,66;8,75;10,80;7,63;6,79;11,62
P/Ativo Circ. Liq.;-5,62;-4,17;-3,87;-3,48;-6,12;-9,06;-12,19;-9,24;-12,84
Dív. líquida/PL;-0,06;-0,18;-0,12;-0,16;-0,57;-0,64;-0,83;-0,94;-0,87
Dív. líquida/EBITDA;-0,19;-0,69;-0,48;-0,76;-3,75;-2,86;-3,90;-2,76;-2,54
Dív. líquida/EBIT;-0,23;-0,87;-0,67;-1,10;-4,41;-3,14;-4,47;-3,03;-2,89
PL/Ativos;0,52;0,56;0,54;0,55;0,59;0,67;0,60;0,54;0,53
Passivos/Ativos;0,48;0,44;0,46;0,45;0,41;0,33;0,40;0,46;0,47
Liq. corrente;0,95;1,37;1,21;1,18;2,43;2,45;2,82;2,41;2,15
M. Bruta;79,32%;77,39%;75,87%;73,41%;73,46%;75,28%;73,29%;75,20%;73,21%
M. EBITDA;26,28%;26,36%;25,07%;22,41%;21,28%;29,94%;23,05%;30,49%;28,81%
M. EBIT;21,51%;21,01%;17,86%;15,46%;18,07%;27,23%;20,12%;27,84%;25,26%
M. Líquida;15,02%;16,83%;10,80%;11,29%;14,87%;54,89%;20,59%;20,25%;19,96%
ROE;17,55%;16,94%;11,00%;10,35%;10,68%;40,73%;19,11%;22,70%;23,82%
ROA;9,06%;9,49%;5,96%;5,72%;6,30%;27,35%;11,38%;12,15%;12,53%
ROIC;13,56%;13,55%;8,74%;8,30%;8,61%;-0,27%;14,80%;18,40%;19,43%
Giro ativos;0,60;0,56;0,55;0,51;0,42;0,50;0,55;0,60;0,63
CAGR Receitas 5 anos;8,84%;7,59%;7,61%;5,07%;4,17%;6,72%;6,29%;3,18%;4,14%
CAGR Lucros 5 anos;4,55%;-5,12%;-3,99%;-6,25%;28,28%;163,64%;60,48%;66,31%;-%
