;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,66%;5,06%;5,15%;6,55%;2,09%;3,10%;0,74%;0,40%;-%
Div;4.01;8.29;7.99;8.96;2.26;1.5;0.69;0.37;
P/L;10.32;14.28;8.82;5.61;8.78;-1.69;62.08;17.98;25.71
PEG Ratio;0,34;-;-;-;-;-;-;-;-
P/VP;1,10;1,26;1,67;1,64;1,58;0,87;1,12;1,11;2,36
EV/EBITDA;9,43;8,09;5,50;4,25;5,78;-3,18;10,14;10,60;15,95
EV/EBIT;40,90;13,06;7,68;5,21;8,16;-2,44;37,77;16,22;25,76
P/EBITDA;6,91;6,37;4,50;3,40;4,37;-1,79;7,49;8,29;14,26
P/EBIT;29,99;10,28;6,29;4,17;6,17;-1,37;27,90;12,68;23,04
VPA;136,42;129,68;93,02;83,46;68,08;55,67;82,58;83,49;53,53
P/Ativo;0,57;0,71;0,96;0,94;0,84;0,43;0,63;0,70;1,59
LPA;14.6;11.47;17.59;24.39;12.29;-28.59;1.5;5.16;4.91
P/SR;2,81;4,31;3,29;2,55;2,82;2,72;3,76;6,99;10,29
P/Cap. Giro;-27,64;-17,65;-56,91;-75,92;2.393,61;-12,06;-37,81;-161,82;-56,64
P/Ativo Circ. Liq.;-0,59;-0,73;-1,01;-0,99;-0,89;-0,45;-0,66;-0,74;-1,67
Dív. líquida/PL;0,40;0,34;0,37;0,41;0,51;0,68;0,40;0,31;0,28
Dív. líquida/EBITDA;2,51;1,72;1,00;0,85;1,41;-1,39;2,65;2,32;1,69
Dív. líquida/EBIT;10,91;2,77;1,39;1,04;1,99;-1,07;9,87;3,54;2,72
PL/Ativos;0,51;0,56;0,57;0,57;0,53;0,50;0,56;0,63;0,68
Passivos/Ativos;0,49;0,44;0,43;0,43;0,47;0,50;0,44;0,37;0,32
Liq. corrente;0,62;0,44;0,77;0,81;1,01;0,49;0,69;0,91;0,62
M. Bruta;19,07%;76,84%;84,90%;90,56%;87,26%;76,18%;83,12%;86,08%;87,55%
M. EBITDA;40,65%;67,65%;73,15%;75,07%;64,45%;-151,97%;50,20%;84,33%;72,12%
M. EBIT;9,37%;41,89%;52,39%;61,13%;45,70%;-198,33%;13,47%;55,15%;44,65%
M. Líquida;27,22%;30,16%;37,36%;45,48%;32,10%;-160,58%;6,05%;38,88%;40,00%
ROE;10,70%;8,85%;18,91%;29,22%;18,05%;-51,36%;1,81%;6,18%;9,17%
ROA;5,49%;4,96%;10,84%;16,73%;9,53%;-25,64%;1,02%;3,92%;6,20%
ROIC;0,78%;7,56%;14,97%;22,16%;13,06%;-44,98%;2,61%;5,68%;7,58%
Giro ativos;0,20;0,16;0,29;0,37;0,30;0,16;0,17;0,10;0,16
CAGR Receitas 5 anos;22,79%;31,05%;51,58%;66,76%;44,49%;51,56%;59,93%;74,27%;60,58%
CAGR Lucros 5 anos;69,30%;30,02%;55,53%;-%;-%;4,37%;73,00%;-%;-%
