;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,57%;3,33%;3,70%;3,40%;3,91%;4,67%;3,88%;3,65%;2,90%
Div;3.17;3.11;3.0;2.92;2.84;2.77;2.52;2.28;2.08
P/L;18.84;239.83;17.82;23.31;14.63;593.74;15.26;14.83;20.22
PEG Ratio;-0,03;-;-;-;-;-;-;-;-
P/VP;7,09;5,96;4,42;5,04;4,32;4,01;3,63;3,76;4,56
EV/EBITDA;32,88;29,73;11,31;14,22;9,82;23,48;14,23;7,94;6,45
EV/EBIT;70,53;79,09;15,21;18,65;11,99;36,57;18,89;9,32;7,04
P/EBITDA;29,49;25,96;9,62;12,09;8,04;17,67;14,45;8,40;6,07
P/EBIT;63,25;69,06;12,94;15,86;9,81;27,53;19,18;9,87;6,63
VPA;17,36;15,51;18,32;17,03;16,80;14,52;17,90;16,65;15,69
P/Ativo;2,61;1,95;1,62;1,69;1,34;1,07;1,33;1,27;1,33
LPA;6.54;0.39;4.55;3.68;4.96;0.1;4.26;4.22;3.54
P/SR;5,25;4,00;3,72;3,92;3,33;2,96;3,66;3,66;3,58
P/Cap. Giro;27,40;16,06;21,01;33,39;28,80;15,88;4,00;3,21;4,64
P/Ativo Circ. Liq.;-3,76;-2,89;-2,19;-2,20;-1,71;-1,39;-2,62;-2,91;-2,43
Dív. líquida/PL;0,82;0,86;0,78;0,89;0,96;1,32;-0,06;-0,21;0,29
Dív. líquida/EBITDA;3,39;3,77;1,69;2,13;1,78;5,81;-0,22;-0,46;0,38
Dív. líquida/EBIT;7,28;10,03;2,27;2,79;2,17;9,04;-0,29;-0,55;0,41
PL/Ativos;0,37;0,33;0,37;0,34;0,31;0,27;0,37;0,34;0,29
Passivos/Ativos;0,63;0,67;0,63;0,66;0,69;0,73;0,63;0,66;0,71
Liq. corrente;1,45;1,60;1,43;1,29;1,27;1,40;3,10;3,38;2,74
M. Bruta;20,59%;78,26%;76,04%;79,26%;75,82%;81,48%;79,18%;78,07%;83,26%
M. EBITDA;17,82%;15,42%;38,71%;32,45%;41,49%;16,74%;25,35%;43,52%;59,03%
M. EBIT;8,31%;5,80%;28,78%;24,74%;33,98%;10,75%;19,10%;37,06%;54,10%
M. Líquida;27,88%;1,67%;20,89%;16,83%;22,80%;0,50%;23,99%;24,65%;17,73%
ROE;37,65%;2,48%;24,81%;21,62%;29,55%;0,68%;23,78%;25,33%;22,57%
ROA;13,86%;0,81%;9,12%;7,27%;9,16%;0,18%;8,74%;8,57%;6,58%
ROIC;1,38%;3,16%;13,71%;11,84%;15,08%;2,16%;8,92%;12,43%;10,10%
Giro ativos;0,50;0,49;0,44;0,43;0,40;0,36;0,36;0,35;0,37
CAGR Receitas 5 anos;5,08%;4,15%;0,88%;-2,12%;-5,43%;-2,04%;14,58%;21,89%;29,37%
CAGR Lucros 5 anos;-38,34%;0,76%;-0,16%;-14,34%;-63,15%;-14,95%;12,15%;12,29%;36,94%
