;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;73.78;80.14;66.1;70.24;75.4;30.23;16.51;16.16;20.32
PEG Ratio;-1,15;-;-;-;-;-;-;-;-
P/VP;11,97;11,33;8,93;8,41;10,80;3,29;2,76;2,73;2,85
EV/EBITDA;138,41;57,39;47,08;44,40;55,94;-;11,38;10,74;9,61
EV/EBIT;244,20;68,11;58,01;55,24;65,77;22,32;13,02;11,85;10,56
P/EBITDA;141,84;58,65;49,24;46,45;57,83;-;13,25;12,90;11,22
P/EBIT;250,27;69,61;60,67;57,80;67,99;26,56;15,16;14,25;12,34
VPA;47,76;46,08;37,77;31,55;33,27;82,78;71,50;58,48;42,65
P/Ativo;10,47;9,93;7,70;7,16;9,48;2,87;2,34;2,32;2,36
LPA;7.75;6.51;5.1;3.78;4.77;9.02;11.93;9.88;5.99
P/SR;21,08;22,29;16,68;14,93;22,51;7,36;5,09;4,90;4,34
P/Cap. Giro;30,15;34,69;19,08;19,22;27,37;5,66;6,27;5,19;6,35
P/Ativo Circ. Liq.;-18,72;-16,00;-15,73;-13,82;-16,67;-7,06;-4,49;-5,19;-4,59
Dív. líquida/PL;-0,29;-0,24;-0,39;-0,37;-0,35;-0,53;-0,39;-0,46;-0,41
Dív. líquida/EBITDA;-3,44;-1,26;-2,16;-2,06;-1,89;-;-1,87;-2,17;-1,61
Dív. líquida/EBIT;-6,06;-1,50;-2,67;-2,56;-2,22;-4,23;-2,14;-2,39;-1,77
PL/Ativos;0,87;0,88;0,86;0,85;0,88;0,87;0,85;0,85;0,83
Passivos/Ativos;0,13;0,12;0,14;0,15;0,12;0,13;0,15;0,15;0,17
Liq. corrente;4,73;4,07;4,76;4,40;5,08;6,86;4,53;5,28;4,24
M. Bruta;66,38%;67,46%;66,39%;67,44%;69,32%;65,65%;69,45%;69,92%;70,17%
M. EBITDA;14,86%;38,00%;33,88%;32,13%;38,92%;-%;38,37%;37,94%;38,71%
M. EBIT;8,42%;32,01%;27,50%;25,82%;33,10%;27,69%;33,54%;34,36%;35,20%
M. Líquida;28,58%;27,81%;25,24%;21,25%;29,85%;24,33%;30,80%;30,29%;21,38%
ROE;16,23%;14,13%;13,51%;11,98%;14,32%;10,90%;16,69%;16,89%;14,04%
ROA;14,19%;12,39%;11,64%;10,19%;12,58%;9,50%;14,17%;14,37%;11,61%
ROIC;2,42%;14,22%;13,66%;12,18%;14,52%;10,96%;16,72%;16,84%;14,04%
Giro ativos;0,50;0,45;0,46;0,48;0,42;0,39;0,46;0,47;0,54
CAGR Receitas 5 anos;13,27%;13,85%;14,67%;16,10%;12,82%;16,01%;10,46%;7,57%;9,02%
CAGR Lucros 5 anos;10,98%;9,78%;14,53%;18,22%;12,49%;26,92%;10,95%;0,43%;8,32%
