;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;6,56%;5,21%;4,33%;3,93%;4,46%;4,62%;4,98%;5,81%;3,15%
Div;1.6;1.6;1.6;1.6;1.61;1.59;1.6;2.5;2.45
P/L;-6.61;13.37;15.78;21.1;43.42;119.03;20.28;-5.15;8.66
PEG Ratio;0,02;-;-;-;-;-;-;-;-
P/VP;0,70;0,75;0,91;1,02;0,89;0,85;0,76;1,02;1,44
EV/EBITDA;49,92;20,34;11,56;14,34;13,38;20,56;14,06;-8,79;16,87
EV/EBIT;-4.266,12;31,24;14,01;17,73;16,59;27,75;16,46;-8,22;18,64
P/EBITDA;30,71;13,51;8,18;10,38;9,43;12,96;8,33;-5,59;12,83
P/EBIT;-2.624,49;20,76;9,91;12,83;11,70;17,48;9,76;-5,23;14,18
VPA;35,02;41,16;40,66;39,74;40,28;40,98;42,27;42,36;54,05
P/Ativo;0,35;0,42;0,50;0,55;0,47;0,42;0,39;0,51;0,79
LPA;-3.69;2.3;2.34;1.93;0.83;0.29;1.58;-8.36;8.98
P/SR;4,39;1,42;1,69;1,88;1,69;1,62;1,57;2,00;3,63
P/Cap. Giro;25,66;91,29;-417,05;-44,09;-627,74;15,35;176,74;33,39;-32,09
P/Ativo Circ. Liq.;-0,40;-0,46;-0,55;-0,60;-0,52;-0,48;-0,42;-0,56;-0,84
Dív. líquida/PL;0,44;0,38;0,38;0,39;0,37;0,50;0,52;0,58;0,45
Dív. líquida/EBITDA;19,21;6,82;3,38;3,96;3,94;7,61;5,73;-3,20;4,04
Dív. líquida/EBIT;-1.641,64;10,48;4,10;4,90;4,89;10,27;6,70;-2,99;4,47
PL/Ativos;0,51;0,56;0,55;0,54;0,53;0,50;0,51;0,50;0,55
Passivos/Ativos;0,49;0,44;0,45;0,46;0,47;0,50;0,49;0,50;0,45
Liq. corrente;1,13;1,06;0,99;0,87;0,99;1,34;1,03;1,21;0,71
M. Bruta;128,98%;34,70%;33,51%;30,67%;33,34%;35,05%;32,62%;33,96%;34,64%
M. EBITDA;14,29%;10,51%;20,67%;18,15%;17,89%;12,49%;18,86%;-35,76%;28,33%
M. EBIT;-0,17%;6,84%;17,06%;14,68%;14,42%;9,26%;16,10%;-38,21%;25,63%
M. Líquida;-66,39%;10,62%;10,72%;8,92%;3,89%;1,36%;7,75%;-38,80%;41,96%
ROE;-10,53%;5,58%;5,76%;4,85%;2,05%;0,71%;3,75%;-19,73%;16,61%
ROA;-5,34%;3,11%;3,16%;2,61%;1,08%;0,36%;1,91%;-9,85%;9,11%
ROIC;-3,56%;-0,18%;5,40%;4,78%;4,32%;2,24%;4,07%;-13,41%;1,23%
Giro ativos;0,08;0,29;0,29;0,29;0,28;0,26;0,25;0,25;0,22
CAGR Receitas 5 anos;0,69%;0,28%;0,31%;-0,20%;7,38%;17,99%;17,90%;7,37%;7,20%
CAGR Lucros 5 anos;7,24%;-%;-26,40%;-22,40%;-%;-%;-%;46,22%;15,17%
