;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,57%;9,04%;9,51%;1,53%;0,78%;1,04%;1,54%;2,79%;1,01%
Div;0.98;6.53;7.46;6.43;5.61;4.91;4.5;3.8;1.86
P/L;40.41;24.25;22.79;123.58;25.81;30.2;19.36;8.88;17.56
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;21,96;10,87;12,52;90,64;16,74;13,15;9,08;3,25;4,37
EV/EBITDA;33,83;19,48;18,80;103,21;21,41;23,55;15,01;5,33;12,34
EV/EBIT;36,02;21,09;20,06;109,85;22,91;26,06;16,95;5,90;14,61
P/EBITDA;34,13;19,66;18,86;102,97;21,56;23,87;15,35;6,05;13,90
P/EBIT;36,34;21,29;20,13;109,59;23,08;26,41;17,34;6,70;16,45
VPA;7,85;6,65;6,25;4,64;42,97;35,92;32,22;41,90;42,10
P/Ativo;10,14;4,95;5,47;33,10;6,35;4,67;3,53;1,69;2,46
LPA;4.27;2.98;3.44;3.4;27.86;15.64;15.11;15.34;10.48
P/SR;11,74;6,23;5,90;33,04;6,90;6,77;4,39;1,91;3,72
P/Cap. Giro;27,24;10,86;11,37;73,71;12,42;8,84;6,85;3,52;4,81
P/Ativo Circ. Liq.;-31,71;-15,83;-18,52;-115,90;-23,79;-18,35;-12,33;-6,35;-10,00
Dív. líquida/PL;-0,19;-0,10;-0,04;0,21;-0,12;-0,17;-0,20;-0,39;-0,49
Dív. líquida/EBITDA;-0,30;-0,18;-0,06;0,24;-0,16;-0,32;-0,34;-0,73;-1,56
Dív. líquida/EBIT;-0,32;-0,20;-0,06;0,26;-0,17;-0,35;-0,38;-0,80;-1,85
PL/Ativos;0,46;0,46;0,44;0,37;0,38;0,36;0,39;0,52;0,56
Passivos/Ativos;0,54;0,54;0,56;0,63;0,62;0,64;0,61;0,47;0,42
Liq. corrente;2,21;2,97;3,16;2,69;3,30;3,43;3,61;2,90;3,10
M. Bruta;48,71%;47,32%;44,62%;45,69%;46,53%;45,88%;45,15%;46,63%;44,97%
M. EBITDA;34,41%;31,67%;31,28%;32,08%;31,98%;28,37%;28,62%;31,53%;26,75%
M. EBIT;32,32%;29,25%;29,32%;30,15%;29,88%;25,64%;25,34%;28,45%;22,61%
M. Líquida;29,06%;25,68%;25,88%;26,73%;26,72%;22,42%;22,70%;21,49%;21,19%
ROE;54,33%;44,82%;54,94%;73,35%;64,85%;43,53%;46,89%;36,62%;24,90%
ROA;25,10%;20,42%;24,02%;26,78%;24,59%;15,47%;18,26%;19,08%;14,00%
ROIC;37,35%;28,31%;34,12%;40,81%;35,44%;20,50%;23,91%;26,69%;17,85%
Giro ativos;0,86;0,80;0,93;1,00;0,92;0,69;0,80;0,89;0,66
CAGR Receitas 5 anos;9,08%;9,49%;16,54%;19,97%;13,82%;15,94%;25,21%;24,63%;12,70%
CAGR Lucros 5 anos;11,80%;13,64%;22,09%;33,72%;27,99%;28,22%;83,68%;58,69%;4,78%
