;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;17.65;30.04;75.48;41.89;85.94;70.26;62.39;62.25;35.07
PEG Ratio;1,21;-;-;-;-;-;-;-;-
P/VP;6,15;11,00;20,49;14,91;19,78;23,24;20,88;10,08;7,82
EV/EBITDA;-;17,35;39,01;25,41;49,22;42,12;35,38;26,59;19,40
EV/EBIT;46,26;20,37;47,55;29,68;60,37;49,79;41,52;32,85;23,43
P/EBITDA;-;18,23;39,72;26,22;50,37;43,16;36,44;28,34;20,84
P/EBIT;48,62;21,40;48,42;30,63;61,77;51,02;42,77;35,00;25,17
VPA;33,98;34,75;24,95;21,49;19,79;14,98;11,10;12,06;10,05
P/Ativo;3,46;6,57;11,51;8,27;12,09;13,82;14,48;8,06;6,42
LPA;11.84;12.73;6.77;7.65;4.55;4.95;3.71;1.95;2.24
P/SR;2,53;4,84;7,96;6,53;11,50;11,40;9,18;6,08;4,54
P/Cap. Giro;13,61;19,17;38,70;33,78;40,78;38,20;32,50;14,08;11,56
P/Ativo Circ. Liq.;-7,05;-15,36;-26,36;-17,55;-24,56;-30,79;-46,05;-28,64;-21,50
Dív. líquida/PL;-0,30;-0,53;-0,37;-0,46;-0,45;-0,56;-0,61;-0,62;-0,54
Dív. líquida/EBITDA;-;-0,88;-0,71;-0,81;-1,14;-1,04;-1,06;-1,74;-1,44
Dív. líquida/EBIT;-2,36;-1,03;-0,87;-0,94;-1,40;-1,23;-1,25;-2,15;-1,74
PL/Ativos;0,56;0,60;0,56;0,55;0,61;0,59;0,69;0,80;0,82
Passivos/Ativos;0,44;0,40;0,44;0,45;0,39;0,41;0,31;0,20;0,18
Liq. corrente;2,00;2,49;2,12;1,86;2,41;2,91;2,86;4,91;4,80
M. Bruta;58,45%;58,31%;55,39%;57,68%;55,98%;55,87%;55,23%;52,80%;51,17%
M. EBITDA;-%;26,56%;20,03%;24,90%;22,83%;26,41%;25,19%;21,45%;21,77%
M. EBIT;5,21%;22,62%;16,43%;21,32%;18,61%;22,34%;21,46%;17,36%;18,03%
M. Líquida;14,34%;16,12%;10,54%;15,59%;13,38%;16,22%;14,71%;9,76%;12,94%
ROE;34,85%;36,63%;27,15%;35,60%;23,02%;33,07%;33,46%;16,20%;22,31%
ROA;19,61%;21,86%;15,25%;19,73%;14,07%;19,67%;23,21%;12,94%;18,30%
ROIC;-2,49%;36,63%;27,15%;35,60%;23,02%;32,65%;32,81%;16,20%;22,31%
Giro ativos;1,37;1,36;1,45;1,27;1,05;1,21;1,58;1,33;1,41
CAGR Receitas 5 anos;23,95%;25,08%;21,69%;16,39%;17,23%;15,62%;14,09%;18,56%;23,69%
CAGR Lucros 5 anos;26,22%;27,01%;26,31%;17,22%;21,98%;11,59%;-0,90%;10,51%;16,90%
