;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,85%;0,86%;0,87%;0,67%;-%;0,36%;1,22%;1,44%;0,95%
Div;2.66;2.4;1.96;1.0;;0.47;1.85;1.56;1.29
P/L;32.11;32.49;21.25;19.61;48.97;-160.25;38.89;19.42;33.92
PEG Ratio;-5,66;-;-;-;-;-;-;-;-
P/VP;-26,88;-25,79;-96,07;81,42;38,06;99,50;70,42;16,64;13,81
EV/EBITDA;74,61;21,03;17,60;14,69;33,01;114,41;25,13;15,52;16,16
EV/EBIT;127,46;23,72;19,54;15,87;39,10;-2.489,75;30,22;17,16;17,54
P/EBITDA;63,09;17,79;14,96;12,17;28,40;93,62;20,66;12,47;13,94
P/EBIT;107,77;20,07;16,62;13,15;33,63;-2.037,42;24,84;13,79;15,13
VPA;-11,62;-10,81;-2,35;1,83;4,34;1,33;2,15;6,52;9,82
P/Ativo;3,01;2,95;2,55;1,86;2,11;1,73;1,98;1,56;2,08
LPA;9.73;8.58;10.61;7.59;3.37;-0.82;3.89;5.59;4.0
P/SR;3,23;3,07;2,76;2,23;3,88;4,05;2,36;1,78;2,42
P/Cap. Giro;-17,89;-14,94;-14,72;-11,49;-19,35;-14,62;-13,95;-9,93;-16,13
P/Ativo Circ. Liq.;-3,53;-3,40;-2,93;-2,15;-2,45;-1,96;-2,26;-1,76;-2,34
Dív. líquida/PL;-;-;-;16,83;6,18;22,09;15,24;4,06;2,19
Dív. líquida/EBITDA;11,53;3,24;2,63;2,52;4,61;20,79;4,47;3,04;2,21
Dív. líquida/EBIT;19,69;3,65;2,93;2,72;5,47;-452,33;5,38;3,36;2,40
PL/Ativos;-0,11;-0,11;-0,03;0,02;0,06;0,02;0,03;0,09;0,15
Passivos/Ativos;1,11;1,11;1,03;0,98;0,94;0,98;0,97;0,91;0,85
Liq. corrente;0,47;0,40;0,43;0,45;0,57;0,49;0,47;0,42;0,47
M. Bruta;4,39%;20,32%;21,61%;21,94%;20,21%;13,80%;15,34%;17,70%;18,64%
M. EBITDA;5,13%;17,28%;18,47%;18,29%;13,68%;4,32%;11,42%;14,30%;17,35%
M. EBIT;3,00%;15,32%;16,63%;16,93%;11,55%;-0,20%;9,50%;12,93%;15,99%
M. Líquida;10,07%;9,46%;13,00%;11,35%;7,93%;-2,53%;6,07%;9,19%;7,13%
ROE;-83,71%;-79,38%;-452,05%;415,14%;77,72%;-62,09%;181,08%;85,71%;40,73%
ROA;9,38%;9,07%;12,01%;9,50%;4,30%;-1,08%;5,08%;8,05%;6,12%
ROIC;-0,16%;26,80%;32,60%;25,97%;13,15%;-2,04%;14,32%;19,42%;14,78%
Giro ativos;0,93;0,96;0,92;0,84;0,54;0,43;0,84;0,88;0,86
CAGR Receitas 5 anos;3,66%;2,70%;0,31%;-2,10%;-6,11%;8,74%;10,18%;11,60%;4,58%
CAGR Lucros 5 anos;13,28%;10,08%;10,08%;6,35%;-%;11,07%;24,96%;20,64%;32,48%
