;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;0,19%
Div;;;;;;;;;
P/L;49.28;45.11;80.72;88.24;816.11;;-165.3;-361.83;
PEG Ratio;1,11;-;-;-;-;-;-;-;-
P/VP;16,46;19,81;25,94;23,28;44,39;50,58;14,34;39,32;42,65
EV/EBITDA;65,03;26,35;34,62;27,97;100,09;277,14;820,03;356,57;112,51
EV/EBIT;123,72;32,62;45,13;38,21;143,58;431,92;-633,31;-1.417,65;169,67
P/EBITDA;66,33;26,82;35,39;28,28;100,98;285,13;889,86;361,79;114,40
P/EBIT;126,20;33,20;46,13;38,63;144,85;444,36;-687,24;-1.438,41;172,52
VPA;122,65;85,82;60,58;36,35;30,38;33,12;39,89;7,45;7,38
P/Ativo;2,79;3,42;4,52;3,10;6,73;12,80;5,95;5,91;8,30
LPA;40.97;37.69;19.47;9.59;1.65;-0.01;-3.46;-0.81;0.31
P/SR;3,91;4,15;5,27;4,04;9,62;21,03;12,38;9,20;11,42
P/Cap. Giro;23,95;24,36;26,58;17,79;29,07;48,83;13,96;38,38;43,57
P/Ativo Circ. Liq.;-12,96;-17,06;-23,77;-15,28;-35,30;-70,83;-28,64;-18,17;-35,97
Dív. líquida/PL;-0,32;-0,35;-0,57;-0,25;-0,39;-1,42;-1,13;-0,57;-0,70
Dív. líquida/EBITDA;-1,31;-0,47;-0,77;-0,30;-0,89;-7,99;-69,83;-5,22;-1,89
Dív. líquida/EBIT;-2,48;-0,58;-1,01;-0,41;-1,27;-12,45;53,93;20,76;-2,85
PL/Ativos;0,17;0,17;0,17;0,13;0,15;0,25;0,41;0,15;0,19
Passivos/Ativos;0,83;0,83;0,83;0,87;0,85;0,75;0,56;0,85;0,81
Liq. corrente;1,17;1,21;1,27;1,28;1,40;1,47;2,16;1,30;1,33
M. Bruta;45,14%;46,09%;50,24%;49,00%;42,51%;43,02%;48,00%;48,42%;59,15%
M. EBITDA;5,89%;15,47%;14,90%;14,27%;9,52%;7,37%;1,39%;2,54%;9,98%
M. EBIT;3,10%;12,50%;11,43%;10,45%;6,64%;4,73%;-1,80%;-0,64%;6,62%
M. Líquida;7,93%;9,20%;6,53%;4,57%;1,18%;-0,02%;-7,49%;-2,54%;1,13%
ROE;33,40%;43,92%;32,14%;26,38%;5,44%;-0,04%;-8,67%;-10,87%;4,23%
ROA;5,66%;7,58%;5,60%;3,51%;0,82%;-0,01%;-3,60%;-1,63%;0,82%
ROIC;0,39%;17,26%;13,37%;11,35%;5,95%;3,46%;-3,79%;-3,55%;5,80%
Giro ativos;0,71;0,82;0,86;0,77;0,70;0,61;0,48;0,64;0,73
CAGR Receitas 5 anos;55,35%;60,02%;54,70%;52,96%;43,55%;32,77%;24,96%;26,63%;23,08%
CAGR Lucros 5 anos;-%;-%;103,59%;-9,39%;-%;-%;-%;-32,89%;12,17%
