;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;43.5;33.89;36.79;89.0;73.81;34.64;30.84;27.41;43.67
PEG Ratio;5,74;-;-;-;-;-;-;-;-
P/VP;9,70;8,58;7,29;15,10;15,48;9,46;8,19;7,54;9,20
EV/EBITDA;148,44;24,15;26,55;63,30;53,25;27,72;22,18;19,45;27,70
EV/EBIT;187,90;25,13;27,44;65,77;54,73;28,75;23,19;20,30;28,83
P/EBITDA;153,72;24,71;28,07;64,94;54,91;28,94;23,08;20,16;28,66
P/EBIT;194,58;25,71;29,01;67,47;56,44;30,02;24,13;21,05;29,83
VPA;7,93;6,12;7,90;6,73;6,20;9,78;7,76;6,53;6,88
P/Ativo;7,82;6,63;6,19;12,79;13,03;7,87;6,63;6,01;7,48
LPA;1.77;1.55;1.57;1.14;1.3;2.67;2.06;1.8;1.45
P/SR;9,42;6,83;8,40;16,81;18,35;10,62;8,13;7,15;10,64
P/Cap. Giro;21,61;20,10;13,55;28,19;27,35;20,42;20,64;22,62;23,49
P/Ativo Circ. Liq.;-16,53;-12,54;-14,64;-30,06;-32,56;-15,95;-12,06;-10,00;-13,25
Dív. líquida/PL;-0,33;-0,19;-0,40;-0,38;-0,47;-0,40;-0,32;-0,27;-0,31
Dív. líquida/EBITDA;-5,28;-0,56;-1,52;-1,63;-1,66;-1,22;-0,90;-0,71;-0,96
Dív. líquida/EBIT;-6,68;-0,58;-1,57;-1,70;-1,71;-1,27;-0,94;-0,74;-1,00
PL/Ativos;0,81;0,77;0,85;0,85;0,84;0,83;0,81;0,80;0,81
Passivos/Ativos;0,19;0,23;0,15;0,15;0,16;0,17;0,19;0,20;0,19
Liq. corrente;3,19;3,32;4,81;4,76;4,85;4,19;3,50;3,00;3,72
M. Bruta;55,81%;54,04%;53,14%;50,30%;56,10%;59,23%;59,95%;60,29%;63,45%
M. EBITDA;6,13%;27,63%;29,94%;25,88%;33,41%;36,69%;35,25%;35,47%;37,12%
M. EBIT;4,84%;26,55%;28,97%;24,91%;32,51%;35,36%;33,71%;33,97%;35,67%
M. Líquida;21,65%;20,14%;22,84%;18,88%;24,86%;30,65%;26,37%;26,08%;24,36%
ROE;22,30%;25,33%;19,82%;16,96%;20,98%;27,31%;26,56%;27,50%;21,07%
ROA;17,97%;19,55%;16,84%;14,37%;17,65%;22,73%;21,51%;21,94%;17,13%
ROIC;-2,42%;23,83%;19,82%;16,96%;20,98%;27,31%;26,56%;27,50%;21,07%
Giro ativos;0,83;0,97;0,74;0,76;0,71;0,74;0,82;0,84;0,70
CAGR Receitas 5 anos;12,27%;13,40%;13,38%;12,69%;11,05%;11,25%;11,13%;10,33%;12,35%
CAGR Lucros 5 anos;6,38%;10,43%;7,74%;14,09%;20,85%;18,05%;24,00%;19,27%;20,02%
