;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;5.73;-61.01;24.83;-1.11;-11.48;-478.56;42.63;65.11;82.6
PEG Ratio;0,00;-;-;-;-;-;-;-;-
P/VP;0,85;3,90;4,92;-4,27;6,28;6,51;2,88;2,77;2,48
EV/EBITDA;1.068,82;-42,59;-244,84;-3,17;-10,39;-792,89;16,33;36,72;9,50
EV/EBIT;-;-41,84;-169,23;-3,12;-10,15;-201,79;23,46;43,35;11,57
P/EBITDA;903,27;-38,70;-203,99;-1,31;-7,75;-709,08;26,64;60,58;17,27
P/EBIT;-;-38,02;-140,99;-1,29;-7,57;-180,46;38,27;71,52;21,03
VPA;182,11;74,17;12,83;-3,32;86,74;59,68;49,53;46,19;52,92
P/Ativo;0,60;2,75;2,24;0,68;1,73;2,46;1,60;1,71;1,61
LPA;26.9;-4.75;2.54;-12.73;-47.45;-0.81;3.35;1.96;1.59
P/SR;125,03;153,59;21,47;3,27;12,03;7,49;3,01;2,94;2,98
P/Cap. Giro;-402,13;-690,69;-192,39;-30,94;-139,60;-277,02;3,03;2,82;2,55
P/Ativo Circ. Liq.;-0,60;-2,78;-2,37;-0,76;-1,87;-3,02;-8,98;-18,93;-20,71
Dív. líquida/PL;0,16;0,39;0,99;-;2,14;0,77;-1,11;-1,09;-1,12
Dív. líquida/EBITDA;165,56;-3,89;-40,86;-1,86;-2,64;-83,81;-10,31;-23,86;-7,77
Dív. líquida/EBIT;-;-3,82;-28,24;-1,83;-2,58;-21,33;-14,81;-28,17;-9,46
PL/Ativos;0,71;0,71;0,45;-0,16;0,28;0,38;0,55;0,62;0,65
Passivos/Ativos;0,21;0,29;0,55;1,16;0,72;0,62;0,45;0,38;0,35
Liq. corrente;0,66;0,71;0,83;0,83;0,86;0,95;2,79;3,01;3,18
M. Bruta;69,59%;72,06%;77,85%;79,37%;82,01%;81,06%;79,44%;80,01%;80,82%
M. EBITDA;13,84%;-396,86%;-10,52%;-250,32%;-155,22%;-1,06%;11,30%;4,86%;17,27%
M. EBIT;0,00%;-404,01%;-15,23%;-254,24%;-158,86%;-4,15%;7,87%;4,12%;14,19%
M. Líquida;2.181,73%;-251,73%;86,47%;-294,39%;-104,84%;-1,57%;7,06%;4,52%;3,61%
ROE;14,77%;-6,40%;19,82%;-383,64%;-54,70%;-1,36%;6,76%;4,25%;3,00%
ROA;10,50%;-4,51%;9,01%;-60,98%;-15,05%;-0,51%;3,75%;2,63%;1,95%
ROIC;-%;-10,39%;-14,47%;-70,98%;-34,69%;-3,12%;6,76%;3,49%;3,00%
Giro ativos;0,00;0,02;0,10;0,21;0,14;0,33;0,53;0,58;0,54
CAGR Receitas 5 anos;-0,96%;-0,06%;-0,18%;-0,11%;-1,93%;-3,46%;-2,88%;-2,29%;-0,89%
CAGR Lucros 5 anos;-%;80,33%;-%;-%;-%;46,82%;-23,04%;-2,40%;38,75%
