;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,02%;0,09%;0,03%;0,11%;0,14%;0,49%;1,09%;1,83%;1,18%
Div;0.04;0.12;0.02;0.02;0.41;0.64;0.64;0.61;0.57
P/L;62.9;110.51;280.04;36.86;169.73;28.9;8.69;6.68;17.6
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;57,79;76,52;55,35;13,51;43,53;6,62;3,85;2,73;5,09
EV/EBITDA;52,82;91,97;203,92;30,77;128,39;21,13;7,25;4,41;11,77
EV/EBIT;53,98;96,04;274,78;34,32;159,08;23,79;7,73;4,68;12,89
P/EBITDA;53,22;92,43;204,31;31,67;129,20;23,75;8,54;5,89;13,64
P/EBIT;54,40;96,52;275,31;35,33;160,09;26,74;9,10;6,25;14,93
VPA;3,26;1,75;0,89;1,08;6,76;19,72;15,26;12,25;9,51
P/Ativo;41,08;50,04;29,70;8,14;25,54;4,67;2,71;1,81;2,98
LPA;3.0;1.22;0.18;0.4;1.73;4.52;6.77;5.0;2.75
P/SR;35,13;53,98;45,35;13,36;44,09;7,40;3,07;2,10;4,24
P/Cap. Giro;73,84;97,55;74,09;14,68;60,62;6,79;3,90;2,51;4,34
P/Ativo Circ. Liq.;-145,64;-153,80;-67,55;-23,41;-57,73;-22,29;-13,16;-10,25;-22,46
Dív. líquida/PL;-0,44;-0,38;-0,11;-0,39;-0,27;-0,73;-0,58;-0,68;-0,70
Dív. líquida/EBITDA;-0,40;-0,46;-0,39;-0,90;-0,81;-2,62;-1,29;-1,48;-1,87
Dív. líquida/EBIT;-0,41;-0,48;-0,53;-1,01;-1,00;-2,95;-1,37;-1,57;-2,05
PL/Ativos;0,71;0,65;0,54;0,60;0,59;0,70;0,70;0,66;0,59
Passivos/Ativos;0,29;0,35;0,46;0,40;0,41;0,30;0,30;0,34;0,41
Liq. corrente;4,44;4,17;3,52;6,65;4,09;7,67;7,94;8,03;4,77
M. Bruta;74,99%;72,72%;56,93%;64,93%;62,34%;61,99%;61,21%;59,93%;58,80%
M. EBITDA;66,01%;58,41%;22,20%;42,18%;34,13%;31,17%;35,98%;35,58%;31,11%
M. EBIT;64,58%;55,93%;16,47%;37,81%;27,54%;27,68%;33,75%;33,53%;28,41%
M. Líquida;55,85%;48,85%;16,19%;36,23%;25,98%;25,61%;35,34%;31,37%;24,11%
ROE;91,87%;69,24%;19,76%;36,65%;25,64%;22,91%;44,33%;40,78%;28,91%
ROA;65,30%;45,28%;10,61%;22,07%;15,05%;16,15%;31,15%;27,11%;16,93%
ROIC;83,30%;56,97%;12,88%;26,59%;18,93%;20,06%;32,74%;32,82%;20,18%
Giro ativos;1,17;0,93;0,65;0,61;0,58;0,63;0,88;0,86;0,70
CAGR Receitas 5 anos;39,06%;22,66%;31,25%;27,19%;18,45%;23,19%;17,81%;11,57%;7,17%
CAGR Lucros 5 anos;48,36%;7,47%;42,39%;47,81%;34,68%;56,58%;40,20%;23,45%;19,39%
