;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;68.67;16.96;16.31;14.16;29.09;57.47;47.3;11.08;10.96
PEG Ratio;-0,84;-;-;-;-;-;-;-;-
P/VP;2.752,54;3,03;4,58;4,35;6,41;3,80;3,03;2,19;3,20
EV/EBITDA;-;10,59;11,29;9,02;16,40;-;12,35;6,15;9,17
EV/EBIT;-;14,24;13,98;11,09;24,14;46,00;29,96;9,79;15,80
P/EBITDA;-;10,44;11,02;8,92;15,50;-;9,71;4,95;7,49
P/EBIT;47,87;14,04;13,64;10,96;22,80;39,01;23,57;7,87;12,90
VPA;-;20,80;18,25;14,33;10,60;8,60;8,04;7,53;6,55
P/Ativo;1.669,45;1,89;2,70;2,25;3,05;1,55;1,19;0,92;1,23
LPA;;3.72;5.12;4.4;2.33;0.57;0.52;1.49;1.91
P/SR;3,54;3,77;4,32;3,24;4,36;2,56;1,81;1,18;1,60
P/Cap. Giro;4.308,00;4,92;9,55;7,34;13,12;8,92;8,33;4,09;5,83
P/Ativo Circ. Liq.;-3.234,56;-3,63;-4,88;-4,31;-5,03;-2,45;-1,85;-1,57;-2,08
Dív. líquida/PL;-;0,04;0,11;0,05;0,38;0,68;0,82;0,53;0,72
Dív. líquida/EBITDA;-;0,15;0,27;0,10;0,91;-;2,64;1,21;1,69
Dív. líquida/EBIT;-;0,20;0,34;0,13;1,34;6,99;6,40;1,92;2,91
PL/Ativos;-;0,62;0,59;0,52;0,48;0,41;0,39;0,42;0,39
Passivos/Ativos;-;0,38;0,41;0,48;0,52;0,59;0,61;0,58;0,61
Liq. corrente;-;5,06;2,71;2,78;2,45;1,90;1,66;2,16;2,08
M. Bruta;-%;45,41%;47,06%;48,97%;40,27%;32,65%;35,77%;38,08%;36,72%
M. EBITDA;-%;36,06%;39,15%;36,27%;28,13%;-%;18,68%;23,90%;21,41%
M. EBIT;-%;26,82%;31,63%;29,51%;19,11%;6,57%;7,70%;15,02%;12,42%
M. Líquida;-%;22,21%;26,46%;22,85%;14,98%;4,46%;3,84%;10,67%;14,63%
ROE;-%;17,88%;28,06%;30,74%;22,02%;6,62%;6,41%;19,78%;29,17%
ROA;-%;11,16%;16,52%;15,88%;10,49%;2,70%;2,51%;8,27%;11,27%
ROIC;-%;13,46%;20,29%;21,22%;14,90%;4,06%;5,24%;12,77%;7,38%
Giro ativos;-;0,50;0,62;0,70;0,70;0,61;0,65;0,77;0,77
CAGR Receitas 5 anos;-%;7,02%;8,48%;11,52%;8,49%;11,78%;16,13%;13,87%;2,56%
CAGR Lucros 5 anos;-%;28,33%;18,60%;40,85%;2,58%;2,22%;33,06%;-%;73,45%
