;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;12.0;8.77;23.78;23.72;60.47;-198.46;-43.95;-16.7;
PEG Ratio;0,22;-;-;-;-;-;-;-;-
P/VP;3,19;3,15;7,62;6,35;6,25;23,68;12,42;9,07;-
EV/EBITDA;-;5,04;16,66;15,80;31,25;-237,60;-44,04;-15,41;5,05
EV/EBIT;7,78;5,14;17,09;16,98;36,64;-208,37;-39,94;-14,66;5,03
P/EBITDA;-;7,28;19,34;19,08;37,49;-249,74;-49,29;-17,56;-
P/EBIT;12,81;7,43;19,85;20,51;43,96;-219,01;-44,70;-16,70;-
VPA;35,58;30,83;19,19;12,84;9,32;7,50;3,04;2,47;-
P/Ativo;2,04;1,95;4,10;3,15;2,59;8,97;4,03;3,95;-
LPA;9.47;11.06;6.15;3.44;0.96;-0.9;-0.86;-1.34;
P/SR;2,87;2,50;5,77;5,73;5,00;23,95;10,16;13,01;-
P/Cap. Giro;4,22;4,34;10,06;7,50;6,99;21,71;11,24;10,65;-
P/Ativo Circ. Liq.;-12,69;-11,03;-26,77;-36,49;-23,14;-151,83;-100,21;-61,15;-
Dív. líquida/PL;-1,25;-0,97;-1,06;-1,09;-1,04;-1,15;-1,32;-1,11;-
Dív. líquida/EBITDA;-;-2,24;-2,69;-3,28;-6,25;12,14;5,25;2,15;5,05
Dív. líquida/EBIT;-5,03;-2,28;-2,76;-3,53;-7,32;10,65;4,76;2,05;5,03
PL/Ativos;0,64;0,62;0,54;0,50;0,41;0,38;0,32;0,44;-0,07
Passivos/Ativos;0,36;0,38;0,46;0,50;0,59;0,62;0,68;0,56;0,91
Liq. corrente;2,36;2,21;1,93;1,85;1,72;1,78;1,60;1,66;1,08
M. Bruta;57,42%;60,92%;62,96%;75,90%;66,24%;67,59%;78,97%;77,86%;58,56%
M. EBITDA;-%;34,36%;29,81%;30,03%;13,34%;-9,59%;-20,61%;-74,09%;-29,98%
M. EBIT;22,38%;33,69%;29,04%;27,93%;11,37%;-10,94%;-22,73%;-77,87%;-30,11%
M. Líquida;23,89%;28,55%;24,24%;24,16%;8,27%;-12,07%;-23,12%;-77,87%;-30,11%
ROE;26,62%;35,89%;32,06%;26,78%;10,34%;-11,93%;-28,27%;-54,28%;-52,94%
ROA;16,98%;22,26%;17,25%;13,30%;4,29%;-4,52%;-9,16%;-23,66%;-3,94%
ROIC;19,88%;27,40%;22,41%;16,15%;5,86%;-4,99%;-11,29%;-28,30%;-5,94%
Giro ativos;0,71;0,78;0,71;0,55;0,52;0,37;0,40;0,30;0,13
CAGR Receitas 5 anos;65,64%;78,80%;133,98%;189,38%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
