;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,91%;3,51%;2,91%;2,50%;2,45%;2,71%;2,77%;3,25%;2,64%
Div;5.62;5.34;4.94;4.52;4.26;4.02;3.79;3.59;3.17
P/L;27.22;21.78;25.72;27.92;31.54;28.78;26.06;12.46;35.11
PEG Ratio;-0,47;-;-;-;-;-;-;-;-
P/VP;10,68;11,56;12,61;14,51;14,97;15,23;12,89;10,74;15,44
EV/EBITDA;-;14,61;16,98;18,93;18,43;18,80;17,11;13,84;14,50
EV/EBIT;115,80;18,94;21,86;24,26;23,50;23,49;21,17;17,03;17,70
P/EBITDA;-;12,51;14,81;16,67;16,12;16,08;15,03;12,18;13,00
P/EBIT;94,86;16,22;19,07;21,36;20,56;20,10;18,60;14,98;15,86
VPA;13,47;13,15;13,47;12,45;11,60;9,74;10,60;10,29;7,77
P/Ativo;1,87;2,10;2,32;2,70;2,60;2,21;2,43;2,01;2,14
LPA;5.28;6.98;6.6;6.47;5.51;5.15;5.25;8.87;3.42
P/SR;2,13;2,27;2,55;2,88;3,02;2,91;2,84;2,41;2,68
P/Cap. Giro;-24,02;-36,54;-49,68;-47,42;-54,14;-552,41;-67,68;-636,53;16,20
P/Ativo Circ. Liq.;-2,55;-2,83;-3,17;-3,52;-3,40;-2,93;-3,13;-2,80;-3,50
Dív. líquida/PL;2,36;1,94;1,84;1,97;2,14;2,57;1,78;1,47;1,79
Dív. líquida/EBITDA;-;2,10;2,16;2,26;2,31;2,71;2,08;1,67;1,51
Dív. líquida/EBIT;20,94;2,72;2,79;2,90;2,94;3,39;2,57;2,05;1,84
PL/Ativos;0,17;0,18;0,18;0,19;0,17;0,14;0,19;0,19;0,14
Passivos/Ativos;0,83;0,82;0,82;0,81;0,83;0,86;0,81;0,81;0,86
Liq. corrente;0,78;0,82;0,85;0,80;0,83;0,98;0,86;0,99;1,51
M. Bruta;53,96%;54,55%;54,21%;53,03%;53,35%;54,82%;55,13%;54,56%;54,67%
M. EBITDA;-%;18,16%;17,22%;17,27%;18,75%;18,11%;18,88%;19,81%;20,66%
M. EBIT;2,24%;14,01%;13,38%;13,48%;14,70%;14,49%;15,26%;16,10%;16,93%
M. Líquida;7,82%;10,43%;9,92%;10,31%;9,59%;10,12%;10,89%;19,35%;7,65%
ROE;39,22%;53,09%;49,04%;51,96%;47,48%;52,92%;49,47%;86,20%;43,97%
ROA;6,86%;9,63%;9,03%;9,67%;8,25%;7,66%;9,31%;16,12%;6,09%
ROIC;0,42%;16,91%;15,93%;17,64%;16,93%;14,41%;17,69%;15,03%;12,04%
Giro ativos;0,88;0,92;0,91;0,94;0,86;0,76;0,86;0,83;0,80
CAGR Receitas 5 anos;6,46%;7,18%;6,34%;4,82%;2,22%;0,14%;-0,53%;-0,61%;-1,14%
CAGR Lucros 5 anos;5,54%;-6,23%;12,90%;3,78%;5,48%;2,38%;13,18%;-4,68%;-0,33%
