;2025;2024;2023;2022;2021;2020;2019;2018
D.Y;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;
P/L;390.12;382.71;180.04;-36.06;-70.95;-35.17;;
PEG Ratio;3,00;-;-;-;-;-;-;-
P/VP;64,84;35,35;10,87;5,25;16,12;26,95;-;-
EV/EBITDA;3.945,67;329,62;126,10;-32,42;-73,11;-34,03;1,33;2,04
EV/EBIT;5.225,96;350,90;143,84;-30,37;-70,86;-33,63;1,30;1,99
P/EBITDA;4.006,02;339,66;139,68;-40,29;-78,56;-35,64;-;-
P/EBIT;5.305,90;361,60;159,33;-37,75;-76,15;-35,22;-;-
VPA;2,77;2,14;1,58;1,22;1,13;0,87;-;-
P/Ativo;52,67;27,90;8,35;3,89;11,37;15,25;-;-
LPA;0.46;0.2;0.1;-0.18;-0.26;-0.67;;
P/SR;109,68;61,73;16,98;7,07;23,94;37,55;-;-
P/Cap. Giro;66,71;35,82;11,13;5,49;16,76;24,81;-;-
P/Ativo Circ. Liq.;-809,63;-435,04;-98,43;-32,11;-96,10;-94,73;-;-
Dív. líquida/PL;-0,98;-1,05;-1,06;-1,03;-1,12;-1,22;-;-
Dív. líquida/EBITDA;-60,35;-10,04;-13,59;7,87;5,45;1,61;1,33;2,04
Dív. líquida/EBIT;-79,94;-10,69;-15,50;7,38;5,28;1,59;1,30;1,99
PL/Ativos;0,81;0,79;0,77;0,74;0,71;0,57;-1,24;-1,22
Passivos/Ativos;0,19;0,21;0,23;0,26;0,29;0,43;0,91;0,64
Liq. corrente;6,43;5,96;5,55;5,17;4,34;3,74;1,67;2,29
M. Bruta;80,81%;80,25%;80,62%;78,56%;77,99%;67,74%;67,36%;72,22%
M. EBITDA;2,74%;18,17%;12,15%;-17,55%;-30,48%;-105,34%;-74,33%;-92,97%
M. EBIT;2,07%;17,07%;10,66%;-18,73%;-31,45%;-106,61%;-75,98%;-95,31%
M. Líquida;28,11%;16,13%;9,43%;-19,61%;-33,75%;-106,75%;-78,06%;-97,42%
ROE;16,62%;9,24%;6,04%;-14,57%;-22,71%;-76,61%;-29,27%;-33,12%
ROA;13,50%;7,29%;4,64%;-10,80%;-16,02%;-43,35%;-36,36%;-40,53%
ROIC;0,97%;9,35%;6,25%;-14,31%;-22,55%;-68,44%;36,39%;32,92%
Giro ativos;0,48;0,45;0,49;0,55;0,47;0,41;0,47;0,42
CAGR Receitas 5 anos;31,01%;30,17%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%
