;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,45%;-%;-%;-%;-%;-%;-%;-%;-%
Div;3.48;;;;;;;;
P/L;17.77;17.7;24.31;18.23;8.5;3.91;10.53;4.14;2.61
PEG Ratio;0,57;-;-;-;-;-;-;-;-
P/VP;2,63;2,66;3,70;3,49;3,66;1,10;0,87;0,77;0,73
EV/EBITDA;50,61;13,50;18,74;14,08;6,79;3,60;6,47;3,59;3,42
EV/EBIT;78,05;14,84;20,59;15,05;7,00;4,27;9,25;4,32;4,12
P/EBITDA;54,45;14,68;20,48;15,03;7,10;2,64;4,37;2,42;2,42
P/EBIT;83,97;16,15;22,49;16,08;7,31;3,13;6,24;2,92;2,92
VPA;294,56;267,78;237,37;206,79;172,71;440,77;431,69;483,63;517,68
P/Ativo;2,02;2,07;2,91;2,71;2,70;0,42;0,36;0,34;0,33
LPA;43.56;40.25;36.13;39.58;74.31;123.43;35.65;90.17;143.77
P/SR;5,71;5,50;7,33;6,50;4,27;0,72;0,61;0,60;0,62
P/Cap. Giro;6,00;5,31;5,99;6,21;6,81;-10,22;-5,45;-8,21;-10,78
P/Ativo Circ. Liq.;-3,67;-4,09;-7,07;-5,93;-6,01;-0,55;-0,44;-0,43;-0,43
Dív. líquida/PL;-0,19;-0,21;-0,31;-0,22;-0,16;0,40;0,42;0,37;0,30
Dív. líquida/EBITDA;-3,84;-1,19;-1,73;-0,96;-0,31;0,96;2,11;1,17;0,99
Dív. líquida/EBIT;-5,92;-1,30;-1,91;-1,02;-0,32;1,14;3,01;1,41;1,20
PL/Ativos;0,77;0,78;0,79;0,78;0,74;0,39;0,41;0,44;0,46
Passivos/Ativos;0,23;0,22;0,21;0,22;0,26;0,61;0,59;0,56;0,54
Liq. corrente;4,06;4,73;5,69;5,06;3,56;0,85;0,75;0,83;0,88
M. Bruta;22,63%;86,13%;86,16%;87,18%;84,83%;50,32%;48,63%;48,48%;49,83%
M. EBITDA;10,48%;37,45%;35,78%;43,21%;60,16%;27,22%;13,89%;24,94%;25,43%
M. EBIT;6,80%;34,05%;32,57%;40,40%;58,38%;22,97%;9,72%;20,70%;21,09%
M. Líquida;32,13%;31,07%;30,14%;35,64%;50,25%;18,36%;5,76%;14,59%;23,56%
ROE;14,79%;15,03%;15,22%;19,14%;43,03%;28,00%;8,26%;18,64%;27,77%
ROA;11,40%;11,69%;11,95%;14,85%;31,75%;10,79%;3,39%;8,24%;12,73%
ROIC;1,19%;13,94%;14,04%;17,34%;37,88%;16,70%;5,79%;12,40%;12,28%
Giro ativos;0,35;0,38;0,40;0,42;0,63;0,59;0,59;0,56;0,54
CAGR Receitas 5 anos;-26,82%;-27,79%;-28,48%;27,02%;76,83%;88,83%;99,69%;116,16%;61,25%
CAGR Lucros 5 anos;2,52%;-16,52%;-22,31%;55,25%;82,92%;63,05%;88,13%;82,83%;-%
