;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,89%;0,97%;0,97%;1,07%;1,00%;0,23%;0,88%;1,08%;0,80%
Div;1.61;1.47;1.34;1.24;1.14;0.28;1.02;0.9;0.64
P/L;28.03;26.62;30.81;23.2;472.92;26.36;26.32;22.63;27.44
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;10,64;10,25;10,86;9,85;12,27;13,03;12,64;10,11;11,16
EV/EBITDA;0,12;0,11;18,68;14,32;80,91;17,12;17,16;12,64;14,34
EV/EBIT;21,42;20,47;22,39;16,60;358,17;19,91;19,93;14,57;16,77
P/EBITDA;0,13;0,12;19,56;15,26;85,81;17,53;17,62;13,06;14,68
P/EBIT;22,67;21,63;23,44;17,70;379,87;20,40;20,47;15,05;17,17
VPA;17,03;14,76;12,74;11,79;9,31;9,42;9,21;8,23;7,19
P/Ativo;3,93;3,49;3,47;2,93;3,17;4,68;6,88;5,39;5,78
LPA;6.46;5.68;4.49;5.0;0.24;4.66;4.42;3.68;2.92
P/SR;2,77;2,45;2,49;2,11;3,22;2,73;2,79;2,18;2,38
P/Cap. Giro;20,37;15,54;14,25;12,27;14,82;59,90;29,96;25,17;28,92
P/Ativo Circ. Liq.;-7,96;-7,23;-7,16;-6,48;-6,70;-7,40;-15,65;-11,99;-12,29
Dív. líquida/PL;-0,58;-0,55;-0,49;-0,61;-0,70;-0,31;-0,33;-0,32;-0,26
Dív. líquida/EBITDA;-0,01;-0,01;-0,88;-0,94;-4,90;-0,42;-0,46;-0,41;-0,34
Dív. líquida/EBIT;-1,24;-1,15;-1,05;-1,09;-21,70;-0,48;-0,54;-0,48;-0,40
PL/Ativos;0,37;0,34;0,32;0,30;0,26;0,36;0,54;0,53;0,52
Passivos/Ativos;0,63;0,66;0,68;0,70;0,74;0,64;0,46;0,47;0,48
Liq. corrente;1,62;1,77;1,90;1,77;1,69;1,27;1,69;1,64;1,61
M. Bruta;27,78%;27,36%;25,40%;27,53%;21,49%;28,07%;28,41%;28,95%;28,70%
M. EBITDA;2.126,79%;2.069,69%;12,74%;13,85%;3,75%;15,57%;15,82%;16,71%;16,23%
M. EBIT;12,24%;11,32%;10,63%;11,94%;0,85%;13,38%;13,62%;14,49%;13,88%
M. Líquida;9,89%;9,20%;8,09%;9,11%;0,68%;10,36%;10,59%;9,64%;8,69%
ROE;37,95%;38,48%;35,26%;42,43%;2,59%;49,44%;48,02%;44,69%;40,67%
ROA;14,03%;13,11%;11,27%;12,63%;0,67%;17,77%;26,14%;23,82%;21,05%
ROIC;27,32%;24,15%;22,42%;26,45%;1,47%;44,74%;43,59%;40,77%;35,54%
Giro ativos;1,42;1,42;1,39;1,39;0,99;1,72;2,47;2,47;2,42
CAGR Receitas 5 anos;6,34%;5,75%;8,01%;0,97%;7,75%;7,93%;7,77%;8,37%;8,70%
CAGR Lucros 5 anos;3,38%;2,10%;9,04%;-39,12%;12,43%;13,65%;11,61%;11,21%;12,97%
