;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;160.42;68.18;759.27;-12.79;59.5;43.46;-369.16;-236.64;-252.22
PEG Ratio;-0,84;-;-;-;-;-;-;-;-
P/VP;16,87;11,91;11,05;5,37;15,58;2,17;15,28;7,31;10,08
EV/EBITDA;-;58,79;376,99;-11,37;51,84;25,15;-725,20;-354,82;-550,75
EV/EBIT;-;59,74;519,63;-11,07;52,97;33,10;-455,37;-206,13;-228,77
P/EBITDA;-;60,80;393,03;-12,54;53,98;42,30;-766,01;-407,34;-607,21
P/EBIT;-;61,78;541,75;-12,22;55,15;55,67;-480,99;-236,64;-252,22
VPA;9,61;8,93;7,05;6,46;8,84;52,18;26,02;18,95;10,02
P/Ativo;14,04;9,89;8,87;4,11;13,00;1,79;13,21;6,77;9,06
LPA;1.01;1.56;0.1;-2.71;2.32;2.6;-1.08;-0.59;-0.4
P/SR;21,01;15,50;14,20;7,90;37,60;4,74;29,20;14,23;14,98
P/Cap. Giro;32,52;25,98;18,64;8,52;22,13;2,16;18,98;7,67;10,84
P/Ativo Circ. Liq.;-33,33;-20,64;-19,95;-9,40;-36,12;-15,69;-61,88;-121,52;-114,78
Dív. líquida/PL;-0,43;-0,39;-0,45;-0,50;-0,62;-0,88;-0,81;-0,94;-0,94
Dív. líquida/EBITDA;-;-2,01;-16,05;1,17;-2,13;-17,15;40,81;52,52;56,46
Dív. líquida/EBIT;-;-2,05;-22,12;1,14;-2,18;-22,57;25,62;30,51;23,45
PL/Ativos;0,83;0,83;0,80;0,77;0,83;0,82;0,86;0,93;0,90
Passivos/Ativos;0,17;0,17;0,20;0,23;0,17;0,18;0,14;0,07;0,10
Liq. corrente;3,93;3,71;6,99;7,07;12,15;15,69;8,68;15,35;10,82
M. Bruta;49,57%;50,36%;49,79%;49,18%;53,80%;52,62%;54,85%;55,56%;56,48%
M. EBITDA;-%;25,50%;3,61%;-63,04%;69,66%;11,21%;-3,81%;-3,49%;-2,47%
M. EBIT;0,00%;25,09%;2,62%;-64,70%;68,17%;8,52%;-6,07%;-6,01%;-5,94%
M. Líquida;13,10%;22,74%;1,87%;-61,79%;63,20%;10,91%;-7,91%;-6,01%;-5,94%
ROE;10,52%;17,47%;1,46%;-42,00%;26,18%;4,99%;-4,14%;-3,09%;-4,00%
ROA;8,75%;14,50%;1,17%;-32,17%;21,85%;4,12%;-3,58%;-2,86%;-3,59%
ROIC;-%;16,18%;1,32%;-41,37%;24,23%;2,38%;-4,14%;-3,09%;-4,00%
Giro ativos;0,67;0,64;0,62;0,52;0,35;0,38;0,45;0,48;0,60
CAGR Receitas 5 anos;41,27%;45,75%;52,75%;63,95%;70,18%;71,94%;84,46%;95,27%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
