;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;67.71;33.15;63.63;49.43;74.64;59.72;39.36;29.12;92.82
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;3,18;8,34;12,73;8,82;10,68;8,08;5,13;3,62;3,87
EV/EBITDA;38,60;36,35;46,84;33,54;51,27;42,41;25,14;21,55;20,56
EV/EBIT;54,75;45,78;58,63;42,70;68,36;60,43;37,33;33,95;30,73
P/EBITDA;34,57;38,42;47,79;34,64;52,65;43,63;25,87;21,99;22,14
P/EBIT;49,03;48,38;59,82;44,10;70,19;62,17;38,41;34,65;33,09
VPA;148,07;58,16;40,45;36,19;34,51;32,07;27,12;23,27;22,03
P/Ativo;1,87;5,74;7,57;5,17;6,46;4,94;3,27;2,05;2,35
LPA;6.96;14.64;8.09;6.46;4.94;4.34;3.54;2.89;0.92
P/SR;12,79;12,24;14,72;10,54;13,45;10,77;6,24;4,04;4,65
P/Cap. Giro;39,40;19,64;175,80;204,33;143,20;96,93;-1.548,05;-22,55;185,10
P/Ativo Circ. Liq.;-2,14;-11,36;-11,34;-7,60;-9,51;-7,24;-4,49;-2,74;-3,41
Dív. líquida/PL;0,37;-0,45;-0,25;-0,28;-0,28;-0,23;-0,14;-0,07;-0,28
Dív. líquida/EBITDA;4,03;-2,07;-0,96;-1,10;-1,38;-1,22;-0,73;-0,44;-1,58
Dív. líquida/EBIT;5,72;-2,60;-1,20;-1,40;-1,84;-1,74;-1,08;-0,70;-2,36
PL/Ativos;0,59;0,69;0,59;0,59;0,61;0,61;0,64;0,57;0,61
Passivos/Ativos;0,41;0,31;0,40;0,41;0,39;0,39;0,36;0,43;0,39
Liq. corrente;1,62;2,44;1,15;1,09;1,16;1,19;0,99;0,73;1,04
M. Bruta;76,98%;79,68%;80,62%;80,54%;79,50%;78,44%;77,60%;76,42%;75,99%
M. EBITDA;36,99%;31,87%;30,79%;30,44%;25,54%;24,67%;24,10%;18,35%;21,01%
M. EBIT;26,08%;25,31%;24,60%;23,91%;19,16%;17,32%;16,23%;11,65%;14,06%
M. Líquida;18,89%;36,94%;23,13%;21,33%;18,02%;18,03%;15,84%;13,86%;5,01%
ROE;4,70%;25,17%;20,01%;17,85%;14,31%;13,54%;13,04%;12,43%;4,17%
ROA;2,76%;17,31%;11,90%;10,45%;8,66%;8,27%;8,31%;7,04%;2,53%
ROIC;4,27%;16,11%;19,76%;17,41%;14,02%;12,17%;12,61%;7,46%;3,99%
Giro ativos;0,15;0,47;0,51;0,49;0,48;0,46;0,52;0,51;0,50
CAGR Receitas 5 anos;12,76%;11,25%;11,12%;11,66%;10,45%;10,31%;9,73%;9,19%;9,55%
CAGR Lucros 5 anos;33,57%;23,25%;48,45%;23,21%;24,07%;15,49%;11,78%;-5,62%;3,81%
