;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;-166.2;-212.23;-126.76;-53.7;-138.81;-166.21;-46.08;-186.81;-274.5
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;31,70;61,75;94,25;98,27;327,73;101,30;51,96;23,35;11,50
EV/EBITDA;-17.593,51;2.685,96;-275,32;-73,78;-311,05;-352,36;-62,78;575,60;1.055,19
EV/EBIT;-595,67;-1.216,19;-215,63;-60,35;-188,08;-194,35;-51,21;-399,11;-185,95
P/EBITDA;-18.435,97;2.744,17;-280,38;-74,83;-312,23;-356,26;-63,72;595,43;1.114,83
P/EBIT;-624,20;-1.242,55;-219,59;-61,21;-188,79;-196,50;-51,98;-412,86;-196,46
VPA;5,11;3,94;2,52;1,31;1,16;2,31;2,32;3,81;3,96
P/Ativo;7,06;12,24;15,02;9,81;32,82;14,97;9,87;8,75;8,01
LPA;-0.98;-1.15;-1.88;-2.4;-2.75;-1.41;-2.61;-0.48;-0.17
P/SR;8,18;14,63;17,46;11,77;46,26;36,11;24,28;24,05;16,40
P/Cap. Giro;60,05;136,83;87,06;108,06;-141,61;-155,42;-102,17;15,39;35,99
P/Ativo Circ. Liq.;-19,84;-29,86;-45,02;-22,56;-73,34;-46,61;-31,42;-35,33;-15,31
Dív. líquida/PL;-1,45;-1,31;-1,70;-1,38;-1,24;-1,11;-0,77;-0,78;-0,62
Dív. líquida/EBITDA;842,46;-58,21;5,06;1,05;1,18;3,90;0,94;-19,84;-59,64
Dív. líquida/EBIT;28,52;26,36;3,96;0,86;0,72;2,15;0,77;13,76;10,51
PL/Ativos;0,22;0,20;0,16;0,10;0,10;0,15;0,19;0,37;0,70
Passivos/Ativos;0,78;0,80;0,84;0,90;0,90;0,85;0,81;0,63;0,30
Liq. corrente;1,22;1,18;1,35;1,19;0,70;0,88;0,88;4,10;1,87
M. Bruta;82,84%;81,57%;82,07%;83,38%;83,92%;83,35%;82,62%;80,40%;80,99%
M. EBITDA;-0,04%;0,53%;-6,23%;-15,72%;-14,82%;-10,13%;-38,11%;4,04%;1,47%
M. EBIT;-1,31%;-1,18%;-7,95%;-19,22%;-24,51%;-18,37%;-46,72%;-5,83%;-8,35%
M. Líquida;-4,92%;-6,89%;-13,77%;-21,91%;-33,33%;-21,72%;-52,69%;-12,88%;-5,98%
ROE;-19,08%;-29,10%;-74,35%;-182,99%;-236,11%;-60,95%;-112,76%;-12,50%;-4,19%
ROA;-4,25%;-5,77%;-11,85%;-18,27%;-23,64%;-9,00%;-21,42%;-4,68%;-2,92%
ROIC;-9,69%;-13,20%;-27,60%;-43,31%;-40,51%;-10,95%;-26,27%;-5,51%;-7,52%
Giro ativos;0,86;0,84;0,86;0,83;0,71;0,41;0,41;0,36;0,49
CAGR Receitas 5 anos;29,21%;32,03%;34,93%;35,52%;38,26%;41,26%;42,77%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
