;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,80%;1,28%;0,41%;-%;-%;-%;-%;-%;-%
Div;3.66;2.83;0.66;;;;;;
P/L;19.19;22.28;23.05;66.7;47.91;54.63;19.35;18.69;12.25
PEG Ratio;1,33;-;-;-;-;-;-;-;-
P/VP;3,77;4,09;2,96;2,48;2,10;2,56;2,33;2,18;2,43
EV/EBITDA;17,61;10,51;9,67;11,97;9,15;11,07;6,38;5,59;6,23
EV/EBIT;66,15;18,01;18,32;37,06;31,47;36,09;13,74;12,46;13,95
P/EBITDA;12,96;8,14;7,06;8,57;6,27;8,20;5,43;4,59;5,07
P/EBIT;48,68;13,94;13,38;26,54;21,58;26,74;11,69;10,23;11,36
VPA;54,07;53,94;54,12;56,45;55,32;52,65;33,65;29,14;26,10
P/Ativo;1,05;1,21;0,92;0,82;0,70;0,84;0,77;0,74;0,78
LPA;10.61;9.91;6.96;2.1;2.42;2.47;4.05;3.4;5.19
P/SR;2,65;3,10;2,44;2,17;1,81;2,45;1,49;1,25;1,35
P/Cap. Giro;-87,69;-142,74;-100,22;-30,44;-55,55;76,71;-20,96;-27,17;-21,11
P/Ativo Circ. Liq.;-1,17;-1,33;-1,02;-0,90;-0,78;-0,95;-0,86;-0,84;-0,89
Dív. líquida/PL;1,35;1,19;1,10;0,98;0,96;0,90;0,41;0,48;0,55
Dív. líquida/EBITDA;4,65;2,37;2,61;3,40;2,87;2,87;0,95;1,00;1,16
Dív. líquida/EBIT;17,46;4,07;4,95;10,52;9,89;9,35;2,05;2,23;2,59
PL/Ativos;0,28;0,30;0,31;0,33;0,33;0,33;0,33;0,34;0,32
Passivos/Ativos;0,72;0,70;0,69;0,67;0,67;0,67;0,67;0,66;0,68
Liq. corrente;0,89;0,91;0,91;0,77;0,89;1,10;0,74;0,81;0,77
M. Bruta;15,24%;63,57%;61,57%;54,50%;54,31%;58,67%;58,84%;57,62%;56,39%
M. EBITDA;20,48%;38,14%;34,56%;25,34%;28,83%;29,84%;27,45%;27,15%;26,64%
M. EBIT;5,45%;22,26%;18,25%;8,18%;8,38%;9,15%;12,75%;12,18%;11,90%
M. Líquida;13,83%;13,93%;10,59%;3,25%;3,77%;4,48%;7,71%;6,67%;11,04%
ROE;19,63%;18,37%;12,85%;3,72%;4,38%;4,69%;12,05%;11,68%;19,86%
ROA;5,47%;5,45%;4,00%;1,23%;1,46%;1,53%;3,99%;3,99%;6,35%
ROIC;0,73%;10,47%;8,28%;4,17%;4,49%;4,08%;10,94%;11,27%;9,53%
Giro ativos;0,40;0,39;0,38;0,38;0,39;0,34;0,52;0,60;0,58
CAGR Receitas 5 anos;12,59%;12,65%;14,40%;16,40%;16,07%;8,76%;12,14%;15,54%;12,70%
CAGR Lucros 5 anos;26,74%;23,56%;-10,60%;15,68%;35,21%;69,62%;141,72%;-%;-%
