;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;297.5;183.15;52.77;31.04;197.8;323.14;-86.67;-58.56;-26.67
PEG Ratio;-4,91;-;-;-;-;-;-;-;-
P/VP;18,91;17,81;12,64;8,72;36,16;10,03;11,39;11,61;12,35
EV/EBITDA;171,43;86,37;51,88;20,99;112,29;48,88;34,95;37,98;-5.374,49
EV/EBIT;564,10;136,02;75,78;26,65;160,97;113,18;4.127,64;-190,78;-34,02
P/EBITDA;175,37;88,30;53,49;22,07;113,42;50,63;31,92;33,27;-4.757,07
P/EBIT;577,06;139,05;78,13;28,02;162,59;117,23;3.770,09;-167,11;-30,11
VPA;24,05;22,67;19,67;14,13;9,74;23,45;7,34;5,73;5,04
P/Ativo;11,31;10,64;7,42;4,73;17,57;4,28;2,20;1,92;1,83
LPA;1.53;2.2;4.71;3.97;1.78;0.73;-0.97;-1.14;-2.33
P/SR;15,81;13,29;8,18;4,78;20,28;7,07;3,07;2,66;4,45
P/Cap. Giro;45,32;43,97;37,92;27,43;147,62;17,88;52,51;-33,90;-47,39
P/Ativo Circ. Liq.;-21,89;-20,39;-13,88;-9,41;-31,16;-8,77;-3,40;-2,67;-2,37
Dív. líquida/PL;-0,42;-0,39;-0,38;-0,43;-0,36;-0,35;1,08;1,64;1,60
Dív. líquida/EBITDA;-3,94;-1,93;-1,61;-1,08;-1,13;-1,75;3,03;4,71;-617,42
Dív. líquida/EBIT;-12,96;-3,04;-2,36;-1,37;-1,62;-4,05;357,55;-23,66;-3,91
PL/Ativos;0,60;0,60;0,59;0,54;0,49;0,43;0,19;0,17;0,15
Passivos/Ativos;0,40;0,40;0,41;0,45;0,50;0,56;0,79;0,82;0,84
Liq. corrente;2,07;2,02;1,73;1,53;1,38;1,88;1,13;0,83;0,86
M. Bruta;17,01%;17,86%;18,25%;25,60%;25,28%;21,02%;16,56%;18,83%;18,90%
M. EBITDA;9,01%;15,06%;15,29%;21,68%;17,88%;13,96%;9,61%;8,01%;-0,09%
M. EBIT;2,74%;9,56%;10,47%;17,08%;12,47%;6,03%;0,08%;-1,59%;-14,78%
M. Líquida;5,31%;7,26%;15,50%;15,41%;10,25%;2,19%;-3,54%;-4,55%;-16,69%
ROE;6,35%;9,73%;23,94%;28,09%;18,28%;3,10%;-13,15%;-19,83%;-46,30%
ROA;3,80%;5,81%;14,07%;15,25%;8,88%;1,32%;-2,54%;-3,28%;-6,85%
ROIC;1,30%;9,25%;7,56%;26,73%;16,25%;4,75%;-0,45%;-2,37%;-12,16%
Giro ativos;0,72;0,80;0,91;0,99;0,87;0,60;0,72;0,72;0,41
CAGR Receitas 5 anos;31,78%;35,15%;47,27%;50,37%;50,78%;50,36%;60,52%;95,36%;102,76%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
