;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;42.24;148.33;196.62;411.87;321.59;156.49;109.07;57.76;37.49
PEG Ratio;1,00;-;-;-;-;-;-;-;-
P/VP;7,12;19,77;16,26;10,39;29,01;37,43;19,29;12,90;7,75
EV/EBITDA;51,83;94,80;97,02;112,99;263,88;216,16;83,83;41,54;25,06
EV/EBIT;77,08;111,15;126,13;161,27;355,17;259,17;99,46;46,19;27,90
P/EBITDA;56,22;98,03;100,98;120,95;269,72;219,78;85,68;43,30;26,88
P/EBIT;83,60;114,94;131,28;172,63;363,03;263,51;101,65;48,15;29,93
VPA;5,38;5,94;4,43;4,31;3,16;2,14;1,35;0,90;0,59
P/Ativo;3,12;9,54;7,20;5,02;12,38;13,77;6,83;4,55;2,39
LPA;0.91;0.79;0.37;0.11;0.28;0.51;0.24;0.2;0.12
P/SR;6,64;23,85;18,08;13,94;37,03;45,36;17,87;10,67;6,18
P/Cap. Giro;8,72;23,67;19,51;12,11;34,39;45,38;22,77;14,86;7,70
P/Ativo Circ. Liq.;-22,59;-75,19;-61,22;-41,09;-91,22;-85,53;-42,26;-82,98;-60,74
Dív. líquida/PL;-0,56;-0,65;-0,64;-0,68;-0,63;-0,62;-0,42;-0,53;-0,53
Dív. líquida/EBITDA;-4,39;-3,23;-3,96;-7,96;-5,84;-3,62;-1,85;-1,76;-1,82
Dív. líquida/EBIT;-6,52;-3,79;-5,15;-11,36;-7,86;-4,34;-2,19;-1,96;-2,03
PL/Ativos;0,44;0,48;0,44;0,48;0,43;0,37;0,35;0,35;0,31
Passivos/Ativos;0,56;0,52;0,56;0,52;0,57;0,63;0,65;0,65;0,69
Liq. corrente;1,71;1,86;1,72;1,90;1,71;1,57;1,56;1,48;1,48
M. Bruta;26,55%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;11,81%;24,33%;17,90%;11,52%;13,73%;20,64%;20,86%;24,63%;22,98%
M. EBIT;7,94%;20,75%;13,77%;8,07%;10,20%;17,21%;17,58%;22,15%;20,64%
M. Líquida;15,72%;16,08%;9,19%;3,38%;11,51%;28,98%;16,39%;18,47%;16,48%
ROE;16,86%;13,33%;8,27%;2,52%;9,02%;23,92%;17,68%;22,34%;20,68%
ROA;7,38%;6,43%;3,66%;1,22%;3,85%;8,80%;6,27%;7,88%;6,37%
ROIC;1,93%;13,33%;8,27%;2,52%;6,96%;4,49%;17,68%;22,34%;18,64%
Giro ativos;0,47;0,40;0,40;0,36;0,33;0,30;0,38;0,43;0,39
CAGR Receitas 5 anos;29,90%;32,46%;38,62%;42,60%;49,00%;71,51%;-%;-%;-%
CAGR Lucros 5 anos;29,41%;15,21%;1,00%;46,40%;94,24%;-%;-%;-%;-%
