;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,37%;2,81%;2,95%;2,84%;2,23%;2,27%;2,50%;2,78%;2,03%
Div;4.15;5.27;5.03;4.69;4.2;3.73;3.21;2.63;2.12
P/L;31.67;35.6;23.8;17.11;22.42;26.93;23.9;16.27;27.96
PEG Ratio;20,16;-;-;-;-;-;-;-;-
P/VP;9,57;10,11;9,17;10,27;13,06;16,40;13,46;10,09;9,96
EV/EBITDA;49,89;23,46;17,49;13,31;17,12;20,96;17,32;11,80;14,52
EV/EBIT;112,77;29,67;20,28;14,58;18,91;24,31;20,40;13,45;16,65
P/EBITDA;47,25;22,66;17,20;13,34;17,32;20,93;17,26;11,69;14,58
P/EBIT;106,82;28,66;19,94;14,61;19,13;24,27;20,33;13,33;16,72
VPA;18,30;18,55;18,59;16,09;14,43;10,01;9,53;9,36;10,49
P/Ativo;4,54;4,81;4,79;5,50;7,06;7,79;6,66;5,30;5,83
LPA;5.53;5.27;7.16;9.66;8.41;6.1;5.37;5.81;3.74
P/SR;9,21;10,92;8,84;7,47;9,49;10,42;8,34;5,75;6,88
P/Cap. Giro;14,78;15,01;13,13;13,56;15,67;19,20;18,07;16,14;15,89
P/Ativo Circ. Liq.;-7,53;-8,34;-9,00;-11,35;-15,84;-16,53;-12,95;-10,04;-11,56
Dív. líquida/PL;0,53;0,36;0,16;-0,02;-0,15;0,03;0,05;0,09;-0,04
Dív. líquida/EBITDA;2,63;0,80;0,29;-0,03;-0,20;0,03;0,06;0,11;-0,06
Dív. líquida/EBIT;5,95;1,01;0,34;-0,03;-0,22;0,04;0,07;0,12;-0,06
PL/Ativos;0,48;0,48;0,52;0,54;0,54;0,47;0,49;0,52;0,59
Passivos/Ativos;0,52;0,52;0,48;0,46;0,46;0,53;0,51;0,48;0,41
Liq. corrente;4,45;4,12;4,55;4,70;5,33;4,28;4,13;3,27;3,87
M. Bruta;57,48%;58,14%;62,90%;68,76%;67,47%;64,10%;63,71%;65,11%;64,26%
M. EBITDA;19,49%;48,21%;51,42%;56,05%;54,82%;49,78%;48,31%;49,20%;47,20%
M. EBIT;8,62%;38,11%;44,36%;51,16%;49,62%;42,92%;41,01%;43,15%;41,16%
M. Líquida;29,09%;30,68%;37,16%;43,68%;42,35%;38,69%;34,88%;35,35%;24,61%
ROE;30,20%;28,39%;38,53%;60,02%;58,27%;60,90%;56,33%;62,04%;35,62%
ROA;14,35%;13,51%;20,12%;32,16%;31,48%;28,91%;27,84%;32,56%;20,87%
ROIC;2,72%;17,40%;24,41%;38,45%;37,74%;36,19%;35,26%;40,57%;26,09%
Giro ativos;0,49;0,44;0,54;0,74;0,74;0,75;0,80;0,92;0,85
CAGR Receitas 5 anos;1,69%;2,11%;6,01%;6,53%;2,15%;1,97%;5,28%;3,13%;-0,54%
CAGR Lucros 5 anos;-0,88%;3,13%;18,90%;16,66%;13,38%;12,56%;21,30%;16,33%;10,31%
