;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;107.79;49.7;-197.83;;-241.81;-120.05;-90.43;-108.37;-55.54
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;6,28;8,49;13,00;9,48;20,84;23,21;19,31;22,03;16,74
EV/EBITDA;46,88;90,89;293,08;81,96;360,02;-927,26;-394,47;-425,77;-95,97
EV/EBIT;80,97;179,22;-267,15;2.546,00;-241,90;-118,19;-87,90;-104,94;-51,63
P/EBITDA;51,45;97,77;306,35;85,55;369,44;-938,35;-400,55;-448,67;-103,02
P/EBIT;88,86;192,80;-279,25;2.657,51;-248,22;-119,60;-89,26;-110,58;-55,42
VPA;34,35;30,38;21,24;17,65;13,11;10,33;8,51;7,25;6,08
P/Ativo;3,15;4,17;5,38;4,10;7,83;8,47;6,85;7,04;6,54
LPA;2.0;5.19;-1.4;0.11;-1.13;-2.0;-1.82;-1.47;-1.83
P/SR;6,71;9,46;11,68;8,37;15,82;15,91;13,40;16,24;13,57
P/Cap. Giro;11,35;14,05;20,86;294,12;131,49;460,82;140,14;18,34;17,24
P/Ativo Circ. Liq.;-7,63;-10,54;-13,50;-8,14;-17,44;-15,50;-13,41;-35,15;-28,72
Dív. líquida/PL;-0,56;-0,60;-0,56;-0,40;-0,53;-0,27;-0,29;-1,12;-1,15
Dív. líquida/EBITDA;-4,57;-6,88;-13,27;-3,59;-9,42;11,10;6,07;22,90;7,05
Dív. líquida/EBIT;-7,89;-13,58;12,10;-111,50;6,33;1,41;1,35;5,64;3,79
PL/Ativos;0,50;0,49;0,41;0,43;0,38;0,36;0,35;0,32;0,39
Passivos/Ativos;0,50;0,51;0,59;0,57;0,62;0,64;0,65;0,68;0,61
Liq. corrente;1,90;1,97;1,75;1,03;1,12;1,04;1,11;1,92;1,96
M. Bruta;75,50%;75,60%;72,49%;72,21%;72,25%;70,63%;70,41%;70,63%;69,29%
M. EBITDA;13,05%;9,67%;3,81%;9,78%;4,28%;-1,70%;-3,35%;-3,62%;-13,17%
M. EBIT;7,55%;4,90%;-4,18%;0,31%;-6,37%;-13,30%;-15,02%;-14,69%;-24,49%
M. Líquida;6,23%;19,02%;-5,90%;0,57%;-6,54%;-13,25%;-14,82%;-14,99%;-24,43%
ROE;5,82%;17,09%;-6,57%;0,65%;-8,62%;-19,33%;-21,36%;-20,33%;-30,13%
ROA;2,93%;8,39%;-2,72%;0,28%;-3,24%;-7,05%;-7,58%;-6,49%;-11,77%
ROIC;4,38%;-6,05%;-4,29%;0,05%;-5,57%;-12,92%;-13,57%;-10,46%;-21,33%
Giro ativos;0,47;0,44;0,46;0,49;0,50;0,53;0,51;0,43;0,48
CAGR Receitas 5 anos;20,80%;23,74%;26,69%;30,14%;35,71%;43,18%;50,93%;63,58%;175,56%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
