;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;-864.75;-479.71;-162.43;-41.35;-171.78;-232.8;-207.64;-142.47;
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;19,93;21,73;45,32;28,15;85,11;55,28;19,28;19,95;-
EV/EBITDA;127,28;146,89;-2.420,78;-104,35;-703,35;-;-41.068,94;-403,49;4,57
EV/EBIT;-3.876,91;-1.640,96;-181,22;-47,01;-217,96;-244,10;-200,11;-139,12;2,54
P/EBITDA;134,29;153,94;-2.494,10;-109,53;-712,67;-;-43.750,16;-430,29;-
P/EBIT;-4.090,35;-1.719,69;-186,71;-49,34;-220,85;-248,83;-213,17;-148,36;-
VPA;11,28;8,30;4,89;3,98;3,78;3,61;2,41;1,97;-
P/Ativo;5,59;5,88;9,11;5,70;19,94;14,62;9,85;10,70;-
LPA;-0.26;-0.38;-1.36;-2.71;-1.87;-0.86;-0.22;-0.28;
P/SR;13,42;12,77;20,33;14,79;66,87;62,14;19,65;25,21;-
P/Cap. Giro;14,55;97,56;24,26;14,38;39,90;23,15;25,41;23,46;-
P/Ativo Circ. Liq.;-23,51;-21,16;-45,77;-28,02;-109,97;-106,49;-55,05;-79,08;-
Dív. líquida/PL;-1,04;-0,99;-1,33;-1,33;-1,11;-1,05;-1,18;-1,24;-
Dív. líquida/EBITDA;-7,01;-7,05;73,32;5,18;9,33;-;2.681,22;26,80;4,57
Dív. líquida/EBIT;213,44;78,73;5,49;2,33;2,89;4,73;13,06;9,24;2,54
PL/Ativos;0,28;0,27;0,20;0,20;0,23;0,26;0,51;0,54;-0,83
Passivos/Ativos;0,72;0,73;0,80;0,80;0,77;0,74;0,49;0,46;0,73
Liq. corrente;2,01;1,09;1,88;1,99;2,57;3,73;1,89;2,12;1,19
M. Bruta;76,87%;77,99%;77,56%;77,79%;77,67%;77,80%;80,30%;80,08%;78,15%
M. EBITDA;9,99%;8,30%;-0,81%;-13,51%;-9,38%;-%;-0,04%;-5,86%;-15,33%
M. EBIT;-0,33%;-0,74%;-10,89%;-29,98%;-30,28%;-24,97%;-9,22%;-16,99%;-27,51%
M. Líquida;-1,55%;-2,66%;-12,51%;-35,77%;-38,93%;-26,69%;-9,46%;-17,69%;-28,21%
ROE;-2,31%;-4,53%;-27,90%;-68,08%;-49,54%;-23,74%;-9,29%;-14,01%;-23,46%
ROA;-0,65%;-1,23%;-5,61%;-13,78%;-11,61%;-6,28%;-4,74%;-7,51%;-19,39%
ROIC;-0,91%;-1,84%;-10,53%;-21,64%;-14,47%;-8,18%;-9,29%;-14,01%;23,46%
Giro ativos;0,42;0,46;0,45;0,39;0,30;0,24;0,50;0,42;0,69
CAGR Receitas 5 anos;48,24%;53,43%;54,06%;52,98%;51,69%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
