;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,18%;0,71%;0,66%;0,71%;0,49%;0,46%;0,79%;0,91%;0,81%
Div;0.25;0.95;0.92;1.06;0.78;0.54;0.67;0.61;0.54
P/L;29.86;29.76;32.85;35.33;39.85;50.57;24.71;68.0;31.63
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;5,77;6,51;6,97;8,35;8,95;7,46;5,57;4,71;4,48
EV/EBITDA;22,06;21,57;24,56;24,16;28,02;-;22,33;17,09;19,16
EV/EBIT;26,16;25,00;29,21;28,98;34,26;40,52;27,68;20,61;23,77
P/EBITDA;21,20;20,47;23,89;23,26;27,36;-;21,50;17,46;19,77
P/EBIT;25,15;23,73;28,41;27,90;33,46;39,52;26,65;21,05;24,53
VPA;23,78;20,65;19,95;17,92;17,84;15,88;15,31;14,34;14,96
P/Ativo;3,06;3,24;3,78;4,21;4,50;3,78;2,80;2,52;2,57
LPA;4.6;4.51;4.23;4.24;4.01;2.34;3.45;0.99;2.12
P/SR;5,60;5,89;5,96;6,47;7,63;6,81;5,13;4,37;4,84
P/Cap. Giro;17,32;18,59;15,77;23,11;23,06;18,66;23,86;8,03;7,44
P/Ativo Circ. Liq.;-4,78;-4,86;-6,19;-6,56;-6,98;-5,85;-4,23;-4,58;-5,08
Dív. líquida/PL;0,23;0,35;0,20;0,32;0,21;0,19;0,22;-0,10;-0,14
Dív. líquida/EBITDA;0,85;1,10;0,67;0,90;0,65;-;0,83;-0,36;-0,61
Dív. líquida/EBIT;1,01;1,27;0,80;1,08;0,80;1,00;1,03;-0,44;-0,76
PL/Ativos;0,53;0,50;0,54;0,50;0,50;0,51;0,50;0,53;0,57
Passivos/Ativos;0,47;0,50;0,46;0,50;0,50;0,49;0,50;0,47;0,43
Liq. corrente;1,96;2,09;2,61;2,03;2,22;2,33;1,53;3,29;3,30
M. Bruta;52,43%;54,30%;50,71%;54,35%;53,92%;53,14%;54,33%;54,54%;53,64%
M. EBITDA;26,41%;28,79%;24,95%;27,82%;27,88%;-%;23,84%;25,05%;24,46%
M. EBIT;22,27%;24,84%;20,99%;23,19%;22,80%;17,23%;19,23%;20,78%;19,72%
M. Líquida;18,75%;19,80%;18,15%;18,31%;19,15%;13,47%;20,74%;6,43%;15,30%
ROE;19,33%;21,85%;21,21%;23,64%;22,45%;14,75%;22,56%;6,92%;14,16%
ROA;10,24%;10,88%;11,52%;11,91%;11,30%;7,47%;11,33%;3,70%;8,12%
ROIC;14,02%;14,91%;15,56%;16,57%;15,90%;11,02%;11,75%;6,14%;11,15%
Giro ativos;0,55;0,55;0,63;0,65;0,59;0,55;0,55;0,58;0,53
CAGR Receitas 5 anos;4,75%;6,82%;8,90%;8,50%;5,74%;4,99%;4,76%;-8,20%;-8,68%
CAGR Lucros 5 anos;3,77%;31,45%;12,89%;21,24%;12,39%;14,30%;-15,51%;-9,92%;-14,51%
