;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,95%;1,85%;1,71%;1,28%;1,32%;1,47%;1,55%;1,86%
Div;;2.21;2.04;1.88;1.8;1.44;1.27;1.12;1.05
P/L;15.71;14.62;33.35;27.52;35.11;41.74;41.66;53.65;208.25
PEG Ratio;0,07;-;-;-;-;-;-;-;-
P/VP;4,29;4,11;4,94;5,20;6,93;5,72;4,94;4,16;3,22
EV/EBITDA;42,29;18,72;18,80;16,27;20,85;22,53;21,60;20,33;16,65
EV/EBIT;103,43;26,68;27,16;22,27;29,29;36,13;35,31;38,53;37,53
P/EBITDA;41,31;18,15;18,10;15,73;20,21;21,22;19,79;18,12;14,05
P/EBIT;101,02;25,87;26,14;21,52;28,39;34,02;32,36;34,34;31,69
VPA;29,30;27,52;22,26;21,11;20,29;19,13;17,58;17,38;17,75
P/Ativo;2,60;2,41;2,61;2,56;3,30;2,59;2,26;1,89;1,30
LPA;8.01;7.74;3.3;3.99;4.01;2.62;2.08;1.35;0.27
P/SR;4,99;4,67;4,76;4,37;5,76;5,42;4,81;4,15;3,63
P/Cap. Giro;21,33;20,62;21,62;19,60;22,30;21,98;31,98;22,60;8,84
P/Ativo Circ. Liq.;-3,69;-3,39;-3,78;-3,88;-4,87;-3,60;-2,94;-2,42;-1,77
Dív. líquida/PL;0,10;0,13;0,19;0,18;0,22;0,35;0,45;0,51;0,59
Dív. líquida/EBITDA;0,98;0,57;0,70;0,54;0,64;1,31;1,80;2,21;2,59
Dív. líquida/EBIT;2,40;0,81;1,01;0,74;0,89;2,10;2,95;4,18;5,84
PL/Ativos;0,61;0,59;0,53;0,49;0,48;0,45;0,46;0,45;0,41
Passivos/Ativos;0,39;0,41;0,47;0,51;0,52;0,55;0,54;0,55;0,59
Liq. corrente;1,70;1,67;1,64;1,63;1,85;1,72;1,44;1,62;2,26
M. Bruta;13,76%;55,41%;55,18%;56,15%;56,97%;56,65%;58,53%;58,45%;54,70%
M. EBITDA;12,08%;25,72%;26,29%;27,79%;28,51%;25,55%;24,33%;22,92%;25,81%
M. EBIT;4,94%;18,05%;18,20%;20,31%;20,30%;15,93%;14,88%;12,10%;11,45%
M. Líquida;31,77%;31,95%;14,27%;15,88%;16,42%;12,99%;11,56%;7,74%;1,74%
ROE;27,34%;28,12%;14,83%;18,90%;19,75%;13,71%;11,86%;7,76%;1,54%
ROA;16,55%;16,46%;7,82%;9,31%;9,40%;6,20%;5,43%;3,53%;0,63%
ROIC;-5,75%;1,91%;11,94%;14,01%;14,12%;9,74%;8,85%;6,31%;2,14%
Giro ativos;0,52;0,52;0,55;0,59;0,57;0,48;0,47;0,46;0,36
CAGR Receitas 5 anos;5,63%;5,58%;9,77%;15,61%;11,14%;9,52%;9,24%;7,53%;-0,52%
CAGR Lucros 5 anos;29,45%;19,30%;70,80%;38,25%;0,32%;10,05%;-1,67%;-39,66%;-21,60%
