;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;5,41%;-%;-%;-%;-%;-%;-%;-%
Div;;5.0;;;;;;;
P/L;8.64;8.14;6.3;16.19;8.05;10.71;10.86;15.2;20.82
PEG Ratio;0,41;-;-;-;-;-;-;-;-
P/VP;1,48;1,67;1,51;1,80;1,24;1,11;1,41;1,06;1,17
EV/EBITDA;30,54;7,45;8,23;14,83;8,08;8,85;9,37;12,77;13,14
EV/EBIT;38,23;7,82;8,45;15,80;8,38;9,21;9,76;14,28;14,80
P/EBITDA;28,75;7,17;7,68;13,49;7,24;8,16;8,35;10,86;10,57
P/EBIT;35,98;7,53;7,88;14,37;7,51;8,49;8,70;12,15;11,91
VPA;65,41;55,31;49,15;34,86;35,75;32,36;30,37;25,20;25,76
P/Ativo;0,44;0,49;0,47;0,48;0,37;0,34;0,46;0,34;0,37
LPA;11.19;11.35;11.79;3.88;5.52;3.37;3.95;1.76;1.45
P/SR;1,79;1,99;2,03;2,42;1,82;1,71;2,50;1,99;2,10
P/Cap. Giro;-;-;-;-;-;-;-1,61;-1,07;-1,19
P/Ativo Circ. Liq.;-0,44;-0,49;-0,47;-0,48;-0,37;-0,34;-0,63;-0,45;-0,48
Dív. líquida/PL;0,09;0,06;0,11;0,18;0,14;0,09;0,17;0,19;0,29
Dív. líquida/EBITDA;1,80;0,28;0,55;1,34;0,84;0,69;1,02;1,91;2,57
Dív. líquida/EBIT;2,25;0,29;0,57;1,43;0,87;0,72;1,06;2,14;2,90
PL/Ativos;0,30;0,29;0,31;0,27;0,30;0,30;0,32;0,32;0,31
Passivos/Ativos;0,70;0,71;0,69;0,73;0,70;0,70;0,68;0,68;0,69
Liq. corrente;-;-;-;-;-;-;0,49;0,44;0,43
M. Bruta;7,34%;36,97%;37,23%;29,60%;36,35%;33,21%;42,63%;32,20%;33,49%
M. EBITDA;6,24%;27,81%;26,50%;17,93%;25,14%;21,00%;29,92%;18,32%;19,84%
M. EBIT;4,98%;26,46%;25,80%;16,83%;24,25%;20,19%;28,73%;16,38%;17,60%
M. Líquida;20,75%;24,50%;32,29%;14,94%;22,63%;16,00%;23,02%;13,09%;10,07%
ROE;17,10%;20,52%;23,99%;11,12%;15,45%;10,41%;13,01%;6,97%;5,64%
ROA;5,12%;6,02%;7,47%;2,99%;4,64%;3,15%;4,21%;2,21%;1,77%
ROIC;1,22%;16,40%;11,33%;8,83%;11,68%;9,37%;12,16%;6,09%;6,39%
Giro ativos;0,25;0,25;0,23;0,20;0,21;0,20;0,18;0,17;0,18
CAGR Receitas 5 anos;20,28%;20,13%;11,30%;15,69%;16,71%;11,67%;9,10%;10,07%;7,82%
CAGR Lucros 5 anos;22,01%;44,16%;21,11%;26,54%;22,20%;14,44%;0,74%;0,31%;10,13%
